CORRECT LIST
['11982', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'O형', '1954****', '*************', '*************', 'naver.com', '불교', '147.220.161.249', '39:ac:a2:c4:c8:72']
['31777', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'naver.com', '무교', '213.146.4.34', 'ef:6a:4a:af:94:ce']
['28867', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1946****', '*************', '*************', 'gmail.com', '불교', '48.180.213.39', '72:fc:4d:43:87:b9']
['35291', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'naver.com', '무교', '49.216.127.150', 'b2:f1:2d:06:55:f8']
['39317', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'naver.com', '무교', '13.17.153.223', 'e1:75:40:e7:4d:23']
['16804', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1947****', '*************', '*************', 'naver.com', '무교', '132.199.98.231', '0d:39:e4:f6:ba:6e']
['27453', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1947****', '*************', '*************', 'gmail.com', '무교', '15.62.242.85', '48:3b:a9:92:ff:ac']
['18506', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1947****', '*************', '*************', 'naver.com', '무교', '70.241.109.117', '4c:f2:69:35:a7:30']
['33640', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'yahoo.com', '기독교', '69.112.209.30', 'f9:c9:3f:c5:2e:4c']
['23834', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1948****', '*************', '*************', 'naver.com', '기독교', '192.186.7.193', '46:ca:dd:4b:df:a1']
['31353', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1948****', '*************', '*************', 'yahoo.com', '불교', '151.14.250.61', '6b:46:3d:df:86:18']
['23365', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1948****', '*************', '*************', 'daum.net', '불교', '145.108.251.181', '78:0e:f7:b6:e8:e7']
['5476', '박**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1948****', '*************', '*************', 'gmail.com', '무교', '255.252.91.23', 'f5:93:36:ad:72:59']
['3778', '이**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'B형', '1948****', '*************', '*************', 'naver.com', '무교', '170.161.116.132', '7a:d2:f0:23:09:c9']
['1260', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1948****', '*************', '*************', 'naver.com', '불교', '99.32.174.223', 'f2:5b:37:79:a4:7c']
['32461', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1948****', '*************', '*************', 'gmail.com', '불교', '21.247.53.23', 'e6:41:2f:cd:43:9f']
['801', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1948****', '*************', '*************', 'yahoo.com', '기독교', '27.248.45.4', '17:2b:b7:f4:b9:68']
['35021', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1949****', '*************', '*************', 'naver.com', '기독교', '191.75.222.237', '3b:55:94:44:1d:cc']
['21368', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1949****', '*************', '*************', 'daum.net', '기독교', '63.4.191.109', 'f0:3a:a2:4c:dd:1d']
['3736', '오**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1949****', '*************', '*************', 'daum.net', '불교', '199.238.6.70', '90:9a:f2:bc:cb:20']
['17844', '오**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1949****', '*************', '*************', 'yahoo.com', '무교', '116.161.59.225', '06:6c:1b:5f:ae:d7']
['11555', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1949****', '*************', '*************', 'gmail.com', '천주교', '138.81.90.31', 'f9:a7:dc:01:01:cc']
['37815', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1949****', '*************', '*************', 'daum.net', '불교', '62.150.139.99', 'a4:22:d3:fb:56:2d']
['406', '이**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1949****', '*************', '*************', 'gmail.com', '불교', '160.190.241.112', '9f:18:10:eb:90:5b']
['20987', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1949****', '*************', '*************', 'gmail.com', '기독교', '222.5.2.26', '07:10:66:4a:a9:77']
['11891', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'A형', '1950****', '*************', '*************', 'gmail.com', '기독교', '154.36.164.173', '87:76:56:c7:d1:d4']
['39084', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'B형', '1950****', '*************', '*************', 'daum.net', '무교', '69.25.124.116', '74:25:9a:2e:c0:4a']
['7767', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1950****', '*************', '*************', 'yahoo.com', '불교', '75.232.66.19', '36:3e:e2:39:44:7a']
['13384', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1950****', '*************', '*************', 'gmail.com', '무교', '51.44.148.174', '11:81:ca:f4:c3:6a']
['23858', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1950****', '*************', '*************', 'naver.com', '무교', '64.94.179.158', '90:f4:de:96:00:81']
['26453', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1950****', '*************', '*************', 'yahoo.com', '무교', '228.184.194.110', 'a2:54:08:c3:18:b8']
['30952', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1950****', '*************', '*************', 'gmail.com', '불교', '232.195.73.26', '86:57:4c:9b:a4:1a']
['8293', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1950****', '*************', '*************', 'gmail.com', '불교', '103.71.224.188', 'fd:28:82:e3:fa:17']
['5204', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1950****', '*************', '*************', 'daum.net', '무교', '115.38.165.83', 'f3:15:02:82:28:e9']
['34220', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1951****', '*************', '*************', 'daum.net', '기독교', '156.52.29.43', 'ec:ee:c2:e5:24:9d']
['25745', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1951****', '*************', '*************', 'daum.net', '무교', '252.111.214.225', '7d:16:85:64:c4:1d']
['38919', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1951****', '*************', '*************', 'yahoo.com', '기독교', '134.162.132.190', 'aa:6d:98:cd:27:d1']
['12323', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1951****', '*************', '*************', 'daum.net', '불교', '149.101.67.48', '96:96:a1:fc:17:f4']
['9829', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1952****', '*************', '*************', 'daum.net', '천주교', '29.47.8.71', 'b2:09:bb:03:2e:f0']
['37056', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1952****', '*************', '*************', 'yahoo.com', '천주교', '244.126.76.36', 'db:1c:84:5e:d7:2a']
['8317', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1952****', '*************', '*************', 'daum.net', '천주교', '180.177.138.96', '11:35:6c:01:d6:f5']
['38421', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1952****', '*************', '*************', 'naver.com', '무교', '52.226.127.56', 'ee:1e:99:2d:ab:57']
['11010', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1952****', '*************', '*************', 'naver.com', '불교', '88.84.16.168', '83:9a:f1:23:85:ca']
['34953', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1952****', '*************', '*************', 'gmail.com', '무교', '155.229.34.170', '53:05:f1:eb:3f:fe']
['17880', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1953****', '*************', '*************', 'gmail.com', '무교', '135.44.119.117', '31:40:ec:67:c4:37']
['24378', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1953****', '*************', '*************', 'daum.net', '무교', '162.31.142.122', '0a:3b:86:6b:36:c7']
['32772', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1953****', '*************', '*************', 'gmail.com', '기독교', '189.202.146.128', '8e:52:e2:92:4f:93']
['12195', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1953****', '*************', '*************', 'yahoo.com', '불교', '85.79.59.92', 'd8:98:8a:39:38:72']
['27349', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1953****', '*************', '*************', 'yahoo.com', '기독교', '230.132.126.231', '95:8d:52:c4:fa:47']
['6728', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1954****', '*************', '*************', 'gmail.com', '기독교', '176.153.68.233', '06:d7:31:67:3c:8c']
['26764', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1954****', '*************', '*************', 'yahoo.com', '무교', '205.145.101.2', 'b5:0c:01:f7:a2:c9']
['14939', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1954****', '*************', '*************', 'yahoo.com', '기독교', '229.73.236.39', '50:18:47:0b:0f:e6']
['30323', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'yahoo.com', '무교', '96.95.218.70', '94:3e:fa:f1:e9:d1']
['34922', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1954****', '*************', '*************', 'naver.com', '무교', '62.43.132.32', '80:e6:c9:58:6f:87']
['15216', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'gmail.com', '무교', '111.164.200.227', '80:21:8b:64:79:4b']
['37656', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1954****', '*************', '*************', 'naver.com', '불교', '194.209.33.77', '32:c9:68:f0:d0:50']
['2102', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1955****', '*************', '*************', 'gmail.com', '무교', '131.248.239.230', '42:12:1d:19:56:fb']
['28329', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1955****', '*************', '*************', 'yahoo.com', '무교', '239.27.71.32', 'ab:10:c6:6f:e8:cb']
['32108', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1955****', '*************', '*************', 'naver.com', '불교', '90.55.171.26', 'a2:fc:c2:70:f2:40']
['761', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1955****', '*************', '*************', 'yahoo.com', '불교', '111.242.125.118', '8b:7b:85:e6:24:6d']
['3539', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1955****', '*************', '*************', 'daum.net', '무교', '202.81.97.164', '8d:88:5d:43:6d:92']
['11341', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1955****', '*************', '*************', 'yahoo.com', '천주교', '104.203.178.200', '5b:7a:9a:36:1a:3e']
['17373', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1955****', '*************', '*************', 'naver.com', '불교', '153.39.213.142', '63:ad:70:f1:a7:52']
['37558', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1955****', '*************', '*************', 'daum.net', '불교', '241.80.4.95', '76:71:a6:91:32:9f']
['8832', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1955****', '*************', '*************', 'daum.net', '천주교', '179.100.155.180', '0f:88:ae:e3:bd:cc']
['16637', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1956****', '*************', '*************', 'yahoo.com', '무교', '16.156.72.74', 'd7:74:3b:dc:25:e2']
['23398', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1956****', '*************', '*************', 'daum.net', '무교', '222.194.37.220', '17:bb:c6:64:7b:92']
['8580', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1956****', '*************', '*************', 'gmail.com', '불교', '242.148.160.243', 'a9:a4:c3:48:a2:06']
['7271', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1957****', '*************', '*************', 'gmail.com', '천주교', '91.125.105.1', 'eb:b5:0a:3a:0e:99']
['7717', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'gmail.com', '불교', '7.206.240.89', '12:fb:7e:c8:92:72']
['10281', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'daum.net', '무교', '190.141.37.58', '1d:4d:81:ea:0c:69']
['18641', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1957****', '*************', '*************', 'gmail.com', '불교', '51.182.183.59', '35:14:08:4b:93:96']
['22389', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1957****', '*************', '*************', 'naver.com', '불교', '78.143.69.252', 'cd:ff:78:49:79:76']
['23257', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'naver.com', '무교', '166.29.104.214', 'fb:f4:2d:ec:9b:b4']
['5131', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1957****', '*************', '*************', 'yahoo.com', '천주교', '25.115.171.203', '6f:90:ff:fe:58:0c']
['28209', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1957****', '*************', '*************', 'gmail.com', '기독교', '17.191.166.232', '2c:ad:e3:15:4e:8e']
['32399', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1957****', '*************', '*************', 'naver.com', '기독교', '175.149.13.53', 'd3:e1:7c:59:44:78']
['5672', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1957****', '*************', '*************', 'yahoo.com', '무교', '2.15.123.162', 'ee:58:83:93:87:b6']
['378', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1958****', '*************', '*************', 'yahoo.com', '기독교', '129.215.184.32', 'f4:6e:b2:10:8b:02']
['5981', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1958****', '*************', '*************', 'daum.net', '무교', '102.83.13.174', 'da:02:d0:db:ce:97']
['24204', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1958****', '*************', '*************', 'yahoo.com', '기독교', '64.227.12.142', 'a0:b6:c3:ce:f4:59']
['24843', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1958****', '*************', '*************', 'gmail.com', '기독교', '150.117.17.29', 'db:b5:15:10:11:ab']
['21819', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1958****', '*************', '*************', 'daum.net', '무교', '20.90.131.50', '84:3c:61:09:95:76']
['29182', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1958****', '*************', '*************', 'daum.net', '무교', '113.76.245.124', '7f:47:7a:37:fd:3d']
['36676', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1958****', '*************', '*************', 'gmail.com', '기독교', '147.124.70.217', '94:e5:da:d4:a8:5a']
['39114', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1958****', '*************', '*************', 'daum.net', '무교', '220.132.74.5', '1a:76:9b:51:d9:8a']
['33455', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1958****', '*************', '*************', 'daum.net', '무교', '7.85.129.198', '8a:41:d8:7d:16:95']
['18659', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1958****', '*************', '*************', 'yahoo.com', '무교', '243.250.206.16', '63:ef:0b:fc:e5:84']
['36205', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1958****', '*************', '*************', 'naver.com', '불교', '136.45.14.215', '48:fc:ab:86:0c:1f']
['2743', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1959****', '*************', '*************', 'yahoo.com', '무교', '238.67.177.237', 'dc:04:19:93:02:ab']
['14956', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1959****', '*************', '*************', 'yahoo.com', '불교', '12.44.29.41', '29:5c:50:4e:ec:21']
['14170', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1960****', '*************', '*************', 'daum.net', '기독교', '126.207.47.56', '3d:dd:7b:97:92:fb']
['25741', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1960****', '*************', '*************', 'daum.net', '불교', '206.57.210.194', '43:c1:e4:d7:b2:b8']
['29543', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1960****', '*************', '*************', 'yahoo.com', '무교', '134.44.102.240', '92:b7:53:e4:43:52']
['30679', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1960****', '*************', '*************', 'naver.com', '무교', '69.31.244.200', '64:d1:f6:22:f5:1f']
['24577', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1960****', '*************', '*************', 'yahoo.com', '무교', '243.194.165.170', 'ee:81:28:cc:d8:f5']
['24263', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1960****', '*************', '*************', 'yahoo.com', '무교', '56.76.91.56', '70:41:8a:56:34:80']
['1267', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1961****', '*************', '*************', 'yahoo.com', '기독교', '87.172.213.14', '1a:d2:e9:6b:71:8d']
['29520', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1961****', '*************', '*************', 'daum.net', '기독교', '20.44.195.143', '2f:75:63:a5:84:cf']
['34693', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1961****', '*************', '*************', 'daum.net', '무교', '170.161.223.19', '73:4d:79:76:83:22']
['4898', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1961****', '*************', '*************', 'daum.net', '불교', '92.64.65.125', 'b5:fe:8a:66:35:0b']
['3628', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1961****', '*************', '*************', 'yahoo.com', '불교', '91.133.138.37', '26:f0:22:71:8c:58']
['17017', '박**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'B형', '1962****', '*************', '*************', 'gmail.com', '무교', '135.83.100.240', '75:ec:2e:e5:6a:80']
['37809', '박**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'A형', '1962****', '*************', '*************', 'naver.com', '무교', '71.145.32.241', 'ee:79:32:c7:23:a4']
['15985', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1962****', '*************', '*************', 'yahoo.com', '무교', '161.94.219.19', '9f:7c:4a:c2:2f:ba']
['17376', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1962****', '*************', '*************', 'yahoo.com', '무교', '159.202.33.203', '4a:9a:20:47:09:59']
['4661', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'AB형', '1963****', '*************', '*************', 'yahoo.com', '무교', '253.167.60.114', '4d:ca:76:92:91:14']
['14960', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'A형', '1963****', '*************', '*************', 'naver.com', '천주교', '63.77.56.132', '73:6b:fd:b0:ec:ca']
['36859', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1963****', '*************', '*************', 'naver.com', '불교', '128.250.226.132', '03:1f:8a:54:50:41']
['31588', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1963****', '*************', '*************', 'daum.net', '무교', '178.121.157.185', '20:1f:5d:c7:61:f7']
['34410', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1963****', '*************', '*************', 'gmail.com', '무교', '196.6.238.205', '27:1b:bf:d3:2a:26']
['19459', '권**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1964****', '*************', '*************', 'daum.net', '불교', '156.121.130.91', 'aa:50:6d:6a:04:48']
['29885', '권**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1964****', '*************', '*************', 'naver.com', '불교', '38.76.88.199', 'dc:32:25:83:c6:05']
['36873', '권**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1964****', '*************', '*************', 'gmail.com', '무교', '92.51.93.172', '6f:b2:78:a5:e0:6f']
['2730', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1964****', '*************', '*************', 'naver.com', '불교', '98.157.160.123', 'ce:51:98:84:c5:32']
['37998', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1964****', '*************', '*************', 'naver.com', '무교', '196.23.164.137', '75:6e:a4:39:fc:5f']
['17646', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1964****', '*************', '*************', 'daum.net', '불교', '16.251.28.149', '49:47:97:87:73:06']
['5722', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1964****', '*************', '*************', 'daum.net', '무교', '51.104.204.40', '1d:23:c6:20:a5:e2']
['33984', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1965****', '*************', '*************', 'naver.com', '무교', '54.190.36.200', '6e:88:2b:a7:56:83']
['31775', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1965****', '*************', '*************', 'yahoo.com', '무교', '119.109.96.57', 'cb:bc:65:48:99:87']
['38948', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1965****', '*************', '*************', 'yahoo.com', '기독교', '102.49.206.5', '60:60:45:59:cf:eb']
['14700', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1966****', '*************', '*************', 'naver.com', '불교', '74.94.58.72', 'e9:46:7d:ac:4e:75']
['24093', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1966****', '*************', '*************', 'gmail.com', '무교', '87.227.145.232', '0e:2c:4c:9e:51:35']
['29483', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1966****', '*************', '*************', 'daum.net', '불교', '48.202.175.134', '4d:02:6e:9f:aa:3a']
['38108', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1966****', '*************', '*************', 'yahoo.com', '무교', '223.95.155.93', '2a:16:fe:c6:bc:d7']
['27061', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'naver.com', '불교', '119.160.208.214', 'dc:2c:67:f4:59:e1']
['30219', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'gmail.com', '천주교', '125.91.13.122', 'ec:06:e7:0d:38:9b']
['19445', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1966****', '*************', '*************', 'daum.net', '무교', '109.54.29.57', '4e:a7:19:86:ad:9f']
['19347', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'A형', '1967****', '*************', '*************', 'daum.net', '불교', '216.158.119.101', 'b1:05:c9:27:a4:82']
['31499', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'O형', '1967****', '*************', '*************', 'naver.com', '무교', '180.146.113.128', '03:15:b6:4d:42:48']
['7500', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1967****', '*************', '*************', 'daum.net', '불교', '238.252.213.1', '8c:14:11:e0:87:f8']
['35806', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1967****', '*************', '*************', 'gmail.com', '무교', '167.59.9.60', 'ab:9c:72:1c:15:1d']
['22149', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1967****', '*************', '*************', 'gmail.com', '무교', '235.123.164.143', 'b8:5d:ef:46:31:3b']
['3188', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1967****', '*************', '*************', 'daum.net', '천주교', '199.236.196.178', 'b3:92:4e:38:c7:00']
['9685', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1967****', '*************', '*************', 'gmail.com', '무교', '27.247.137.96', '5b:61:11:0e:9f:4d']
['34361', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1967****', '*************', '*************', 'gmail.com', '기독교', '197.50.249.22', '54:cf:1b:cf:4c:70']
['17753', '이**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'O형', '1967****', '*************', '*************', 'yahoo.com', '불교', '182.72.204.16', '5a:eb:32:59:bc:32']
['2866', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1967****', '*************', '*************', 'gmail.com', '무교', '78.221.229.83', 'de:98:2e:23:e2:3b']
