['1', '***', '남성', '160.0~170.0', '60.0~70.0', 'B형', '1995******', '*********', '*************', 'naver.com', '무교']
=> ['3343', '이준종', '여성', '159.0', '62.3', 'B형', '1953-01-21', '1701-3414', 'djkkenmagpj', 'naver.com', '무교']: 1.4313

['12', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '불교']
=> ['12', '김덕협', '여성', '151.5', '66.0', 'B형', '1978-06-16', '6665-6767', 'c561ct', 'daum.net', '불교']: 0.4908

['13', '***', '여성', '150.0~160.0', '50.0~60.0', 'B형', '1955******', '*********', '*************', 'gmail.com', '불교']
=> ['1441', '이석훈', '여성', '160.7', '54.4', 'B형', '1957-07-18', '9639-3029', 'b11n3cnb3zyj', 'gmail.com', '불교']: 1.2001
=> ['13', '이준종', '여성', '154.1', '57.3', 'B형', '1955-06-12', '9901-4667', 'j1wfxe', 'gmail.com', '불교']: 1.2019

['14', '***', '남성', '170.0~180.0', '60.0~70.0', 'AB형', '1979******', '*********', '*************', 'daum.net', '무교']
=> ['2653', '이덕지', '남성', '174.0', '68.7', 'AB형', '1959-05-30', '4214-1210', 'd0dt7illlpl', 'daum.net', '무교']: 1.2849
=> ['14', '박훈훈', '남성', '175.3', '64.1', 'AB형', '1979-06-28', '8101-7986', 'gx14kge', 'daum.net', '무교']: 1.2864

['15', '***', '여성', '150.0~160.0', '50.0~60.0', 'O형', '1977******', '*********', '*************', 'daum.net', '불교']
=> ['452', '김희준', '여성', '151.5', '57.0', 'O형', '1979-11-25', '5638-8536', 'fo61tlgn', 'daum.net', '불교']: 1.2122
=> ['15', '나준지', '여성', '155.9', '58.0', 'O형', '1977-07-15', '5261-0829', 'gdjgufz06k', 'daum.net', '불교']: 1.2138

['16', '***', '여성', '150.0~160.0', '50.0~60.0', 'B형', '1984******', '*********', '*************', 'yahoo.com', '무교']
=> ['55', '김희영', '여성', '157.8', '54.0', 'B형', '1985-12-14', '9452-6228', 'rt6wxxs3', 'yahoo.com', '무교']: 1.4364
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 1.4383

['17', '***', '남성', '170.0~180.0', '60.0~70.0', 'O형', '1978******', '*********', '*************', 'naver.com', '무교']
=> ['17', '성훈현', '남성', '173.0', '66.0', 'O형', '1978-09-26', '0448-3312', 'cvhp5rrvai', 'naver.com', '무교']: 1.4545
=> ['43', '조상훈', '남성', '177.5', '67.7', 'O형', '1976-02-21', '7088-3788', 'e22deq', 'naver.com', '무교']: 1.4528

['18', '***', '여성', '150.0~160.0', '50.0~60.0', 'O형', '1959******', '*********', '*************', 'daum.net', '기독교']
=> ['18', '채준현', '여성', '159.8', '59.7', 'O형', '1959-05-27', '2509-2076', 'uiinz9ytw4', 'daum.net', '기독교']: 1.1812
=> ['1298', '박서지', '여성', '158.6', '55.4', 'O형', '1969-10-10', '1917-3037', 'v8u8wfil', 'daum.net', '기독교']: 1.1795

['19', '***', '여성', '150.0~160.0', '50.0~60.0', 'B형', '1949******', '*********', '*************', 'gmail.com', '불교']
=> ['19', '이서영', '여성', '152.0', '51.2', 'B형', '1949-09-24', '3841-8713', 'wb67him', 'gmail.com', '불교']: 1.2016
=> ['4744', '이용정', '여성', '158.0', '52.7', 'B형', '1947-06-22', '3610-1691', 'pvloi7o', 'gmail.com', '불교']: 1.1999

['20', '***', '남성', '160.0~170.0', '60.0~70.0', 'B형', '1955******', '*********', '*************', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.4448
=> ['20', '류훈희', '남성', '167.5', '69.4', 'B형', '1955-02-16', '5011-8773', 'dlzkv4', 'naver.com', '무교']: 1.4465

['21', '***', '여성', '150.0~160.0', '50.0~60.0', 'B형', '1984******', '*********', '*************', 'naver.com', '무교']
=> ['21', '이희정', '여성', '151.4', '52.4', 'B형', '1984-09-19', '5712-5285', 'ybs75m2', 'naver.com', '무교']: 1.434
=> ['926', '육덕성', '여성', '158.0', '51.7', 'B형', '1987-10-04', '0045-0107', 'h9pqpks8', 'naver.com', '무교']: 1.4321

['22', '***', '여성', '160.0~170.0', '50.0~60.0', 'B형', '1987******', '*********', '*************', 'naver.com', '불교']
=> ['3749', '최정은', '여성', '162.0', '53.8', 'B형', '1988-04-24', '4497-7910', 'eusfavec6mr24', 'naver.com', '불교']: 1.201
=> ['22', '김남준', '여성', '166.6', '57.1', 'B형', '1987-07-26', '2581-2587', 'i6psi3ep1lh', 'naver.com', '불교']: 1.2028
=> ['366', '이준우', '여성', '165.5', '57.4', 'B형', '1950-02-24', '9878-4757', 'btyw6bl', 'naver.com', '불교']: 1.1992

['23', '***', '남성', '160.0~170.0', '60.0~70.0', 'B형', '1986******', '*********', '*************', 'naver.com', '불교']
=> ['2239', '황보진', '남성', '170.6', '69.3', 'B형', '1981-06-23', '9302-1663', 'fw18mpu', 'naver.com', '불교']: 1.2151
=> ['23', '박협현', '남성', '165.1', '68.2', 'B형', '1986-12-26', '3121-9412', 'eif247715ei', 'naver.com', '불교']: 1.2169

['24', '***', '남성', '160.0~170.0', '60.0~70.0', 'B형', '1990******', '*********', '*************', 'yahoo.com', '무교']
=> ['121', '김훈택', '남성', '164.4', '67.5', 'B형', '1996-07-18', '4817-0767', 'qesmpx9', 'yahoo.com', '무교']: 1.4488
=> ['24', '신종준', '남성', '169.3', '61.5', 'B형', '1990-05-09', '6053-0479', 'w1a6e27540dpg', 'yahoo.com', '무교']: 1.4504

['25', '***', '여성', '150.0~160.0', '50.0~60.0', 'B형', '1960******', '*********', '*************', 'gmail.com', '무교']
=> ['25', '김정준', '여성', '151.0', '52.1', 'B형', '1960-09-01', '5607-1137', 'cmuitj', 'gmail.com', '무교']: 1.4308
=> ['214', '김진용', '여성', '159.0', '52.7', 'B형', '1965-06-09', '7992-6231', 'b35v7x59', 'gmail.com', '무교']: 1.4292

['26', '***', '여성', '150.0~160.0', '50.0~60.0', 'AB형', '1986******', '*********', '*************', 'naver.com', '무교']
=> ['26', '김상상', '여성', '154.0', '55.9', 'AB형', '1986-12-09', '4593-7442', 'epurc1w1bab', 'naver.com', '무교']: 1.2857
=> ['917', '황택훈', '여성', '156.2', '56.4', 'AB형', '1988-07-15', '0773-5861', 'ny3a4c3', 'naver.com', '무교']: 1.284

['27', '***', '남성', '170.0~180.0', '60.0~70.0', 'O형', '1957******', '*********', '*************', 'daum.net', '기독교']
=> ['27', '양남성', '남성', '179.8', '69.5', 'O형', '1957-07-03', '6092-5561', 'gpd49mpdq', 'daum.net', '기독교']: 1.1872
=> ['3893', '이은택', '남성', '171.2', '67.2', 'O형', '1956-10-08', '5984-0523', 'mv8gxbqggoihb', 'daum.net', '기독교']: 1.1855

['28', '***', '남성', '160.0~170.0', '60.0~70.0', 'B형', '1966******', '*********', '*************', 'gmail.com', '불교']
=> ['850', '류은석', '남성', '169.2', '66.1', 'B형', '1946-01-24', '4762-5227', 's46f8hii83mg', 'gmail.com', '불교']: 1.2136
=> ['28', '천우훈', '남성', '164.9', '67.5', 'B형', '1966-06-18', '8204-8663', 'cluygs2', 'gmail.com', '불교']: 1.2154

['29', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '기독교']
=> ['6', '이협현', '여성', '147.7', '55.0', 'A형', '1958-12-29', '3400-5887', 'pmgi8qzuw7wm7', 'gmail.com', '기독교']: 0.4604

['30', '***', '여성', '150.0~160.0', '50.0~60.0', 'B형', '1960******', '*********', '*************', 'gmail.com', '천주교']
=> ['30', '안준용', '여성', '155.5', '53.3', 'B형', '1960-03-17', '5836-7474', 'zuabo7c7', 'gmail.com', '천주교']: 1.0255
=> ['1727', '이지준', '여성', '152.7', '53.4', 'B형', '1963-06-29', '8880-6181', 'ui4jj3owm9', 'gmail.com', '천주교']: 1.0239

['31', '***', '남성', '160.0~170.0', '70.0~80.0', 'B형', '1958******', '*********', '*************', 'daum.net', '기독교']
=> ['6610', '조준훈', '남성', '168.4', '71.3', 'B형', '1956-04-19', '3952-1022', 'njoy5pa', 'daum.net', '기독교']: 1.1455
=> ['2020', '한덕훈', '남성', '161.5', '61.6', 'B형', '1958-07-22', '4793-8899', 'f220sgfp2hy', 'daum.net', '기독교']: 1.1429
=> ['7359', '전훈현', '남성', '163.9', '70.0', 'B형', '1989-06-23', '1153-0089', 'ejj5og', 'daum.net', '기독교']: 1.1439
=> ['31', '정영종', '남성', '169.0', '70.8', 'B형', '1958-06-07', '9271-9672', 'wdaqpntz3m', 'daum.net', '기독교']: 1.1472
=> ['2344', '김석영', '남성', '168.3', '66.4', 'B형', '1950-12-06', '5833-2208', 'huvfg2', 'daum.net', '기독교']: 1.1413

['32', '***', '남성', '160.0~170.0', '60.0~70.0', 'O형', '1965******', '*********', '*************', 'gmail.com', '천주교']
=> ['1734', '류영택', '남성', '167.2', '63.2', 'O형', '1967-11-13', '4926-1619', 'v0n3tcmavf0', 'gmail.com', '천주교']: 1.0527
=> ['32', '김훈진', '남성', '169.8', '64.9', 'O형', '1965-10-15', '1372-6692', 't4p3d4', 'gmail.com', '천주교']: 1.0544

['33', '***', '여성', '160.0~170.0', '50.0~60.0', 'AB형', '1989******', '*********', '*************', 'daum.net', '기독교']
=> ['33', '김영석', '여성', '163.2', '58.3', 'AB형', '1989-02-03', '0444-4687', 'amrcgywdei', 'daum.net', '기독교']: 1.0168
=> ['1481', '오준훈', '여성', '166.9', '54.8', 'AB형', '1967-09-07', '1468-4618', 'g5e14zw', 'daum.net', '기독교']: 1.0136
=> ['783', '권희종', '여성', '160.7', '57.9', 'AB형', '1982-09-26', '2559-4879', 'er1ifu5gl4u6u', 'daum.net', '기독교']: 1.0152

['34', '***', '남성', '160.0~170.0', '60.0~70.0', 'A형', '1964******', '*********', '*************', 'yahoo.com', '불교']
=> ['169', '김종협', '남성', '168.1', '62.9', 'A형', '1965-06-05', '2627-9919', 'iu1p9d2l7', 'yahoo.com', '불교']: 1.2892
=> ['34', '박택서', '남성', '167.6', '60.6', 'A형', '1964-01-31', '6790-8927', 'ng32ep', 'yahoo.com', '불교']: 1.2907

['35', '***', '여성', '160.0~170.0', '50.0~60.0', 'O형', '1988******', '*********', '*************', 'yahoo.com', '무교']
=> ['35', '권영택', '여성', '162.2', '58.4', 'O형', '1988-09-09', '3899-3725', 'bxzww5vu3gmmr', 'yahoo.com', '무교']: 1.4509
=> ['982', '김성지', '여성', '160.0', '55.5', 'O형', '1985-12-21', '9190-6540', 'n2p2mece3', 'yahoo.com', '무교']: 1.4493

['36', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 0.7249

['37', '***', '남성', '170.0~180.0', '50.0~60.0', 'O형', '1977******', '*********', '*************', 'gmail.com', '무교']
=> ['2897', '김훈우', '남성', '174.8', '60.7', 'O형', '1968-09-03', '2852-8111', 'vhwbxhbogjq', 'gmail.com', '무교']: 1.4474
=> ['37', '김영택', '남성', '171.1', '58.1', 'O형', '1977-04-28', '4756-9422', 'u5egdjicaslt', 'gmail.com', '무교']: 1.4506

['38', '***', '여성', '160.0~170.0', '50.0~60.0', 'O형', '1957******', '*********', '*************', 'yahoo.com', '천주교']
=> ['409', '이남상', '여성', '160.7', '58.0', 'O형', '1948-09-11', '5570-5405', 'tyvhfkcuct', 'yahoo.com', '천주교']: 1.0427
=> ['38', '연서영', '여성', '161.5', '50.3', 'O형', '1957-04-07', '8658-5541', 'ckxb6b97ol', 'yahoo.com', '천주교']: 1.046
=> ['6807', '하덕지', '여성', '165.0', '54.3', 'O형', '1950-11-27', '2297-9543', 'ln8tqq', 'yahoo.com', '천주교']: 1.0444

['39', '***', '남성', '160.0~170.0', '60.0~70.0', 'B형', '1975******', '*********', '*************', 'yahoo.com', '무교']
=> ['137', '백성협', '남성', '169.6', '63.3', 'B형', '1978-08-16', '2291-2029', 'vf5b0a3m', 'yahoo.com', '무교']: 1.4494
=> ['39', '김영종', '남성', '160.0', '64.1', 'B형', '1975-05-22', '3771-3417', 'jjd674', 'yahoo.com', '무교']: 1.4512

['40', '***', '여성', '150.0~160.0', '50.0~60.0', 'A형', '1995******', '*********', '*************', 'daum.net', '천주교']
=> ['949', '양성준', '여성', '151.4', '53.5', 'A형', '1956-08-27', '9177-5351', 'bz3i7c8vq7m', 'daum.net', '천주교']: 1.0904
=> ['2663', '문협석', '여성', '151.7', '56.5', 'A형', '1992-12-02', '5788-4517', 's01fajn1tj68a', 'daum.net', '천주교']: 1.092
=> ['40', '채용덕', '여성', '159.5', '53.1', 'A형', '1995-09-07', '7281-0768', 'qlsrpc', 'daum.net', '천주교']: 1.0937

['41', '***', '남성', '170.0~180.0', '60.0~70.0', 'A형', '1974******', '*********', '*************', 'daum.net', '무교']
=> ['41', '권진진', '남성', '171.6', '69.9', 'A형', '1974-11-28', '2133-2388', 'nm5uyl635um', 'daum.net', '무교']: 1.5057
=> ['232', '강택지', '남성', '176.8', '64.4', 'A형', '1975-06-22', '7005-7775', 'mxrnr8hfr67r', 'daum.net', '무교']: 1.504

['42', '***', '남성', '160.0~170.0', '60.0~70.0', 'AB형', '1988******', '*********', '*************', 'yahoo.com', '무교']
=> ['42', '정우덕', '남성', '166.2', '66.1', 'AB형', '1988-06-01', '3388-6562', 'o6etjmgeh62', 'yahoo.com', '무교']: 1.3025
=> ['4167', '황정종', '남성', '165.2', '68.8', 'AB형', '1978-07-10', '4272-1545', 'jgvjuzzzxbaqv', 'yahoo.com', '무교']: 1.3009

['43', '***', '남성', '170.0~180.0', '60.0~70.0', 'O형', '1976******', '*********', '*************', 'naver.com', '무교']
=> ['17', '성훈현', '남성', '173.0', '66.0', 'O형', '1978-09-26', '0448-3312', 'cvhp5rrvai', 'naver.com', '무교']: 1.4522
=> ['43', '조상훈', '남성', '177.5', '67.7', 'O형', '1976-02-21', '7088-3788', 'e22deq', 'naver.com', '무교']: 1.4538

['44', '***', '남성', '170.0~180.0', '60.0~70.0', 'O형', '1983******', '*********', '*************', 'gmail.com', '무교']
=> ['44', '형훈성', '남성', '177.1', '63.4', 'O형', '1983-07-26', '4315-9561', 'q7tdmm0xdw2m', 'gmail.com', '무교']: 1.4525
=> ['493', '오상성', '남성', '177.1', '66.2', 'O형', '1963-11-12', '9305-9692', 'mbwxc2', 'gmail.com', '무교']: 1.4509

['45', '***', '남성', '170.0~180.0', '60.0~70.0', 'A형', '1946******', '*********', '*************', 'yahoo.com', '불교']
=> ['2', '강훈희', '남성', '174.9', '63.4', 'A형', '1946-10-10', '1715-9263', 'frlfize7ir88', 'yahoo.com', '불교']: 1.2848
=> ['4720', '함남정', '남성', '173.5', '66.3', 'A형', '1947-04-25', '9825-9023', 'ucow55g6qkgk2', 'yahoo.com', '불교']: 1.2831

['46', '***', '여성', '150.0~160.0', '50.0~60.0', 'O형', '1978******', '*********', '*************', 'gmail.com', '기독교']
=> ['197', '김지택', '여성', '159.3', '60.8', 'O형', '1948-07-13', '0117-6743', 'b5lo4yy', 'gmail.com', '기독교']: 1.1821
=> ['46', '강준서', '여성', '152.7', '55.2', 'O형', '1978-01-21', '7610-1327', 'ynzoqewz', 'gmail.com', '기독교']: 1.1838

['47', '***', '여성', '160.0~170.0', '50.0~60.0', 'B형', '1992******', '*********', '*************', 'gmail.com', '무교']
=> ['2286', '정용덕', '여성', '162.4', '50.2', 'B형', '1962-09-02', '4278-7431', 'p1cnk92l3', 'gmail.com', '무교']: 1.428
=> ['47', '곽현덕', '여성', '161.0', '50.3', 'B형', '1992-10-23', '7311-5787', 'uu2dykmvdq', 'gmail.com', '무교']: 1.4296
=> ['1504', '정지택', '여성', '160.4', '53.2', 'B형', '1973-10-12', '6839-3376', 'weshfhho4z', 'gmail.com', '무교']: 1.4264

['48', '***', '여성', '150.0~160.0', '50.0~60.0', 'O형', '1981******', '*********', '*************', 'yahoo.com', '불교']
=> ['48', '연현영', '여성', '153.7', '59.9', 'O형', '1981-04-17', '3628-5400', 'e6xh3cgigw9', 'yahoo.com', '불교']: 1.2233

['49', '***', '남성', '160.0~170.0', '70.0~80.0', 'B형', '1959******', '*********', '*************', 'yahoo.com', '불교']
=> ['49', '최준준', '남성', '169.3', '71.7', 'B형', '1959-08-27', '4781-3776', 'hg58qw4n', 'yahoo.com', '불교']: 1.1894
=> ['7186', '조석성', '남성', '164.1', '59.4', 'B형', '1959-07-13', '8193-2794', 'pu5l3bq1wq', 'yahoo.com', '불교']: 1.1851
=> ['3828', '오석은', '남성', '160.6', '71.0', 'B형', '1989-02-07', '9075-5098', 'hyxlse2pjh1', 'yahoo.com', '불교']: 1.1876
=> ['1030', '문덕석', '남성', '169.5', '65.4', 'B형', '1953-08-01', '1181-1620', 'am8cixyd9l', 'yahoo.com', '불교']: 1.1834

['50', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '무교']
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 0.7292

['51', '***', '남성', '160.0~170.0', '60.0~70.0', 'A형', '1992******', '*********', '*************', 'naver.com', '무교']
=> ['51', '노정영', '남성', '169.7', '67.8', 'A형', '1992-11-13', '3682-7904', 'dx7a0uae2uc', 'naver.com', '무교']: 1.5164
=> ['512', '황택준', '남성', '170.6', '64.2', 'A형', '1952-11-01', '5063-4067', 'lms9mvd95', 'naver.com', '무교']: 1.5149

['52', '***', '남성', '170.0~180.0', '60.0~70.0', 'A형', '1954******', '*********', '*************', 'yahoo.com', '무교']
=> ['52', '최영석', '남성', '170.3', '63.2', 'A형', '1954-07-31', '1755-7439', 'korax4aie8', 'yahoo.com', '무교']: 1.514
=> ['535', '김훈덕', '남성', '174.1', '69.3', 'A형', '1984-10-20', '8147-0502', 'l26ncaj1foxtv', 'yahoo.com', '무교']: 1.5123

['53', '***', '여성', '150.0~160.0', '60.0~70.0', 'O형', '1990******', '*********', '*************', 'naver.com', '불교']
=> ['53', '김지영', '여성', '157.1', '61.6', 'O형', '1990-03-07', '1157-9781', 'mqm1cd8', 'naver.com', '불교']: 1.2203
=> ['2438', '안훈은', '여성', '156.1', '61.3', 'O형', '1980-10-20', '1091-7556', 'yb2fq63imd6', 'naver.com', '불교']: 1.2186
=> ['1568', '김정준', '여성', '153.2', '60.5', 'O형', '1986-03-07', '1994-2696', 'bu0k3aok3rcd', 'naver.com', '불교']: 1.2169

['54', '***', '남성', '170.0~180.0', '60.0~70.0', 'O형', '1961******', '*********', '*************', 'naver.com', '무교']
=> ['245', '박은지', '남성', '174.3', '68.0', 'O형', '1951-10-19', '5884-3560', 'lxdss5j8', 'naver.com', '무교']: 1.453
=> ['54', '이정정', '남성', '170.1', '67.5', 'O형', '1961-01-03', '0552-0116', 'nlpdun4wf', 'naver.com', '무교']: 1.4548

['55', '***', '여성', '150.0~160.0', '50.0~60.0', 'B형', '1985******', '*********', '*************', 'yahoo.com', '무교']
=> ['55', '김희영', '여성', '157.8', '54.0', 'B형', '1985-12-14', '9452-6228', 'rt6wxxs3', 'yahoo.com', '무교']: 1.4358
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 1.4345

['56', '***', '여성', '150.0~160.0', '50.0~60.0', 'A형', '1974******', '*********', '*************', 'naver.com', '불교']
=> ['69', '이덕훈', '여성', '159.0', '55.4', 'A형', '1984-12-13', '7306-3507', 'ygwjxhfgcd', 'naver.com', '불교']: 1.2726
=> ['56', '유지희', '여성', '151.9', '56.3', 'A형', '1974-09-12', '4987-9336', 'xd1aqb', 'naver.com', '불교']: 1.2744

['57', '***', '남성', '170.0~180.0', '60.0~70.0', 'A형', '1980******', '*********', '*************', 'yahoo.com', '무교']
=> ['57', '김서우', '남성', '177.6', '69.1', 'A형', '1980-02-23', '8499-8929', 'uuawcz4zxu3', 'yahoo.com', '무교']: 1.5136
=> ['102', '황우진', '남성', '171.1', '68.6', 'A형', '1989-05-06', '0700-6845', 'kdsvld', 'yahoo.com', '무교']: 1.5121

['58', '***', '여성', '150.0~160.0', '41.2~50.0', 'A형', '1951******', '*********', '*************', 'daum.net', '무교']
=> ['58', '김남상', '여성', '157.3', '49.3', 'A형', '1951-02-23', '7367-4247', 'j01str4yz0', 'daum.net', '무교']: 1.4671
=> ['4138', '고우지', '여성', '158.1', '50.7', 'A형', '1954-12-31', '3232-8458', 'taibggup3mcaq', 'daum.net', '무교']: 1.4654

['59', '***', '여성', '150.0~160.0', '50.0~60.0', 'A형', '1990******', '*********', '*************', 'yahoo.com', '무교']
=> ['59', '정지은', '여성', '150.6', '51.8', 'A형', '1990-04-10', '4021-1565', 'tohkxubow', 'yahoo.com', '무교']: 1.5079

['60', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 0.7231

['61', '***', '남성', '160.0~170.0', '60.0~70.0', 'B형', '1968******', '*********', '*************', 'naver.com', '천주교']
=> ['1545', '김용협', '남성', '169.0', '70.6', 'B형', '1965-05-12', '3844-1179', 'm3lxznb', 'naver.com', '천주교']: 1.0384
=> ['3101', '최상현', '남성', '164.9', '69.2', 'B형', '1976-04-21', '1123-6894', 'rog5opb2feqxv', 'naver.com', '천주교']: 1.037
=> ['61', '김석지', '남성', '167.5', '69.9', 'B형', '1968-11-13', '4637-4299', 'ko9ngcku5a5gv', 'naver.com', '천주교']: 1.0398

['62', '***', '남성', '160.0~170.0', '60.0~70.0', 'A형', '1989******', '*********', '*************', 'gmail.com', '무교']
=> ['205', '박용용', '남성', '165.1', '60.4', 'A형', '1959-07-09', '4327-6522', 'b3wv0s', 'gmail.com', '무교']: 1.5131
=> ['62', '윤용은', '남성', '163.7', '66.5', 'A형', '1989-09-10', '8517-2831', 'oikb5ocs9', 'gmail.com', '무교']: 1.5147

['63', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '불교']
=> ['22', '김남준', '여성', '166.6', '57.1', 'B형', '1987-07-26', '2581-2587', 'i6psi3ep1lh', 'naver.com', '불교']: 0.4953

['64', '***', '남성', '160.0~170.0', '60.0~70.0', 'O형', '1947******', '*********', '*************', 'naver.com', '무교']
=> ['692', '김훈준', '남성', '167.1', '64.9', 'O형', '1977-11-17', '5295-7059', 'd866oybw37ol7', 'naver.com', '무교']: 1.4597
=> ['64', '김훈희', '남성', '167.8', '68.4', 'O형', '1947-09-02', '6942-9252', 'gzv6zao5qm', 'naver.com', '무교']: 1.4613

['65', '***', '남성', '170.0~180.0', '60.0~70.0', 'A형', '1988******', '*********', '*************', 'daum.net', '천주교']
