['578', '***', '여성', '150.0~160.0', '45.0~50.0', 'A형', '1958******', '*************', '*************', 'yahoo.com', '불교']
['312', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1953******', '*************', '*************', 'yahoo.com', '무교']
=> ['312', '권훈준', '여', '152.3', '53.5', 'O형', '1953-04-27', '010-5817-9876', 'k26hb49ny', 'yahoo.com', '무교']: 4.1576

['15', '***', '여성', '160.0~170.0', '50.0~55.0', 'O형', '1954******', '*************', '*************', 'gmail.com', '무교']
=> ['15', '정훈현', '여', '165.9', '52.9', 'O형', '1954-10-27', '010-0172-0213', 'kxlbc0esphy', 'gmail.com', '무교']: 4.1576

['350', '***', '여성', '160.0~170.0', '50.0~55.0', 'O형', '1954******', '*************', '*************', 'gmail.com', '불교']
=> ['350', '오준훈', '여', '160.8', '50.4', 'O형', '1954-01-12', '010-9884-7049', 'qken9rb4wa', 'gmail.com', '불교']: 4.1576

['609', '***', '여성', '160.0~170.0', '50.0~55.0', 'A형', '1954******', '*************', '*************', 'daum.net', '무교']
=> ['609', '백은현', '여', '161', '54.1', 'A형', '1954-01-18', '010-6047-6173', 'ebsgcg3d', 'daum.net', '무교']: 4.1576

['287', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1956******', '*************', '*************', 'daum.net', '기독교']
=> ['287', '박훈덕', '여', '157.6', '51.2', 'B형', '1956-10-23', '010-3008-6309', 'y4z2vp5cyb5p', 'daum.net', '기독교']: 4.1576

['138', '***', '여성', '150.0~160.0', '50.0~55.0', 'AB형', '1956******', '*************', '*************', 'yahoo.com', '무교']
=> ['138', '이준석', '여', '155.6', '54.7', 'AB형', '1956-04-22', '010-1773-9340', 'b032agjqu', 'yahoo.com', '무교']: 4.1576

['672', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1956******', '*************', '*************', 'yahoo.com', '무교']
=> ['672', '조훈택', '여', '158.1', '54', 'B형', '1956-06-18', '010-6948-5195', 'm0u5b9w', 'yahoo.com', '무교']: 4.1576

['425', '***', '여성', '150.0~160.0', '50.0~55.0', 'AB형', '1956******', '*************', '*************', 'gmail.com', '무교']
=> ['425', '윤준협', '여', '150.5', '54.2', 'AB형', '1956-06-12', '010-3686-5874', 'pe066xst', 'gmail.com', '무교']: 4.1576

['43', '***', '여성', '160.0~170.0', '50.0~55.0', 'O형', '1956******', '*************', '*************', 'daum.net', '무교']
=> ['43', '김서희', '여', '169.8', '54.6', 'O형', '1956-06-13', '010-4400-8631', 'xaffxose0uyl', 'daum.net', '무교']: 4.1576

['708', '***', '여성', '160.0~170.0', '50.0~55.0', 'B형', '1956******', '*************', '*************', 'yahoo.com', '불교']
=> ['708', '김덕준', '여', '161.5', '53.2', 'B형', '1956-05-22', '010-0635-5609', 'c241yfqgzo', 'yahoo.com', '불교']: 4.1576

['117', '***', '여성', '160.0~170.0', '50.0~55.0', 'O형', '1956******', '*************', '*************', 'gmail.com', '무교']
=> ['117', '이상용', '여', '160.9', '50.2', 'O형', '1956-02-24', '010-2776-4887', 'ljwghr4lrw3', 'gmail.com', '무교']: 4.1576

['993', '***', '여성', '160.0~170.0', '50.0~55.0', 'O형', '1956******', '*************', '*************', 'daum.net', '기독교']
=> ['993', '이성종', '여', '160.8', '50.7', 'O형', '1956-12-23', '010-5031-5134', 'kii6vzd', 'daum.net', '기독교']: 4.1576

['154', '***', '여성', '160.0~170.0', '50.0~55.0', 'A형', '1956******', '*************', '*************', 'yahoo.com', '무교']
=> ['154', '백용종', '여', '161.7', '50.4', 'A형', '1956-04-17', '010-4905-9461', 'w3g2e0e', 'yahoo.com', '무교']: 4.1576

['594', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1958******', '*************', '*************', 'yahoo.com', '무교']
=> ['593', '엄상택', '남', '175.5', '69.2', 'B형', '1947-07-08', '010-0332-7791', 'oxvcvg9pbqr', 'yahoo.com', '불교']: 4.1576
=> ['142', '정지은', '여', '160.3', '53.3', 'A형', '1958-05-28', '010-0516-5252', 'zelurxuze', 'yahoo.com', '무교']: 4.1576

['933', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1958******', '*************', '*************', 'naver.com', '무교']
=> ['933', '김남우', '여', '150', '54.4', 'O형', '1958-07-14', '010-8739-8956', 'd3jcq31yse', 'naver.com', '무교']: 4.1576

['481', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1958******', '*************', '*************', 'gmail.com', '불교']
=> ['481', '박진서', '여', '153.8', '52.6', 'A형', '1958-11-10', '010-7560-4473', 'ruzzs9', 'gmail.com', '불교']: 4.1576

['944', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1958******', '*************', '*************', 'yahoo.com', '무교']
=> ['944', '오지용', '여', '159.2', '54.9', 'B형', '1958-10-15', '010-6859-8197', 'qy4z7b', 'yahoo.com', '무교']: 4.1576

['271', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1963******', '*************', '*************', 'gmail.com', '불교']
=> ['271', '김지현', '여', '158.8', '52.9', 'A형', '1963-03-09', '010-5567-6561', 'onw8wwee', 'gmail.com', '불교']: 4.1576

['621', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1963******', '*************', '*************', 'naver.com', '기독교']
=> ['621', '김준현', '여', '159.9', '50.2', 'A형', '1963-04-21', '010-4451-5974', 'fkx1s0n', 'naver.com', '기독교']: 4.1576

['942', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1963******', '*************', '*************', 'naver.com', '천주교']
=> ['942', '정훈현', '여', '159.7', '50.5', 'A형', '1963-11-09', '010-9217-7533', 'zpvfpohm7jsxb', 'naver.com', '천주교']: 4.1576

['504', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1967******', '*************', '*************', 'daum.net', '기독교']
=> ['573', '장성진', '여', '152.2', '57.3', 'AB형', '1969-02-03', '010-1670-9140', 'm0jkqod7rko', 'naver.com', '기독교']: 4.1576
=> ['504', '김지남', '여', '154.2', '53.4', 'B형', '1967-01-29', '010-5361-3694', 'hfwt5utv331', 'daum.net', '기독교']: 4.1576

['777', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1967******', '*************', '*************', 'daum.net', '불교']
=> ['777', '김지준', '여', '156.2', '50.5', 'A형', '1967-02-26', '010-9881-9322', 'rdi7s1iso0xk', 'daum.net', '불교']: 4.1576

['574', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1967******', '*************', '*************', 'daum.net', '기독교']
=> ['573', '장성진', '여', '152.2', '57.3', 'AB형', '1969-02-03', '010-1670-9140', 'm0jkqod7rko', 'naver.com', '기독교']: 4.1576
=> ['504', '김지남', '여', '154.2', '53.4', 'B형', '1967-01-29', '010-5361-3694', 'hfwt5utv331', 'daum.net', '기독교']: 4.1576

['941', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1967******', '*************', '*************', 'yahoo.com', '무교']
=> ['941', '임훈협', '여', '153.3', '53.8', 'B형', '1967-06-12', '010-7636-8969', 'eprv646nknlpj', 'yahoo.com', '무교']: 4.1576

['825', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1967******', '*************', '*************', 'naver.com', '기독교']
=> ['825', '장지영', '여', '159.1', '54.8', 'A형', '1967-10-17', '010-2280-6693', 'k7de1fk3fz', 'naver.com', '기독교']: 4.1576

['95', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1969******', '*************', '*************', 'naver.com', '무교']
=> ['95', '박지남', '여', '156.3', '53.6', 'O형', '1969-10-25', '010-6912-6843', 'l7xuw88zdy3fj', 'naver.com', '무교']: 4.1576

['74', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1969******', '*************', '*************', 'naver.com', '불교']
=> ['74', '신상석', '여', '159.5', '50.3', 'B형', '1969-06-27', '010-9924-6394', 'ghgfjmgl', 'naver.com', '불교']: 4.1576

['147', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1969******', '*************', '*************', 'gmail.com', '무교']
=> ['147', '오서남', '여', '157.3', '53.1', 'A형', '1969-07-25', '010-5607-0266', 'z36hl5lqmc', 'gmail.com', '무교']: 4.1576

['797', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1969******', '*************', '*************', 'gmail.com', '무교']
=> ['797', '주서진', '여', '152.1', '51.3', 'O형', '1969-01-10', '010-9909-3015', 'ji1vbtu3o9a4k', 'gmail.com', '무교']: 4.1576

['427', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1971******', '*************', '*************', 'naver.com', '무교']
=> ['427', '장지준', '여', '153.9', '53.5', 'O형', '1971-09-03', '010-2564-8697', 'glk2o3', 'naver.com', '무교']: 4.1576

['250', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1971******', '*************', '*************', 'yahoo.com', '기독교']
=> ['250', '전진현', '여', '151.7', '54.9', 'A형', '1971-04-25', '010-1861-9086', 'mlaienbab0', 'yahoo.com', '기독교']: 4.1576

['532', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1971******', '*************', '*************', 'yahoo.com', '불교']
=> ['532', '도서남', '여', '151.6', '53.8', 'O형', '1971-02-22', '010-7808-1337', 'bta5azh', 'yahoo.com', '불교']: 4.1576

['604', '***', '여성', '140.0~150.0', '50.0~55.0', 'A형', '1972******', '*************', '*************', 'naver.com', '무교']
=> ['604', '이택훈', '여', '146', '53.1', 'A형', '1972-06-06', '010-7172-6290', 'kazp5f3', 'naver.com', '무교']: 4.1576

['666', '***', '여성', '140.0~150.0', '50.0~55.0', 'A형', '1972******', '*************', '*************', 'gmail.com', '기독교']
=> ['666', '이훈용', '여', '146.5', '51.7', 'A형', '1972-02-21', '010-8353-2965', 'f76busa9mdx', 'gmail.com', '기독교']: 4.1576

['568', '***', '여성', '140.0~150.0', '50.0~55.0', 'B형', '1972******', '*************', '*************', 'naver.com', '불교']
=> ['568', '안택지', '여', '145.9', '53.1', 'B형', '1972-01-14', '010-0259-0401', 'y4yoqj5uaud95', 'naver.com', '불교']: 4.1576

['344', '***', '여성', '150.0~160.0', '50.0~55.0', 'AB형', '1980******', '*************', '*************', 'naver.com', '무교']
=> ['344', '김훈지', '여', '153.4', '54.6', 'AB형', '1980-08-08', '010-7692-7511', 'nyr01hn9uks', 'naver.com', '무교']: 4.1576

['723', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1980******', '*************', '*************', 'naver.com', '천주교']
=> ['723', '박덕정', '여', '154', '52.3', 'O형', '1980-09-11', '010-1987-2086', 'vo5cmvhxuns', 'naver.com', '천주교']: 4.1576

['303', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1980******', '*************', '*************', 'gmail.com', '불교']
=> ['303', '이정서', '여', '155.6', '53.9', 'A형', '1980-05-31', '010-4785-4217', 'uqf3q3', 'gmail.com', '불교']: 4.1576

['699', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1980******', '*************', '*************', 'gmail.com', '무교']
=> ['699', '이준진', '여', '151.7', '50.7', 'O형', '1980-08-07', '010-2437-1134', 'zsu5px', 'gmail.com', '무교']: 4.1576

['900', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1980******', '*************', '*************', 'yahoo.com', '무교']
=> ['900', '최종성', '여', '158.5', '53.2', 'A형', '1980-03-11', '010-1026-9795', 'm7m3sax882lgz', 'yahoo.com', '무교']: 4.1576

['980', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1980******', '*************', '*************', 'yahoo.com', '무교']
=> ['980', '방상용', '여', '155.2', '53.3', 'O형', '1980-01-30', '010-9554-4277', 'h4yss9hce8', 'yahoo.com', '무교']: 4.1576

['739', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1983******', '*************', '*************', 'daum.net', '무교']
=> ['739', '고석정', '여', '156.3', '54.8', 'B형', '1983-11-15', '010-3899-0250', 'aw53jb1o', 'daum.net', '무교']: 4.1576

['838', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1983******', '*************', '*************', 'daum.net', '무교']
=> ['873', '김협서', '여', '160.1', '53.9', 'O형', '1985-04-23', '010-0217-5312', 'farhph6', 'daum.net', '무교']: 4.1576
=> ['838', '김석상', '여', '157.6', '53.7', 'O형', '1983-01-01', '010-8391-3657', 'zf41avqemxt', 'daum.net', '무교']: 4.1576

['874', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1983******', '*************', '*************', 'daum.net', '무교']
=> ['873', '김협서', '여', '160.1', '53.9', 'O형', '1985-04-23', '010-0217-5312', 'farhph6', 'daum.net', '무교']: 4.1576
=> ['838', '김석상', '여', '157.6', '53.7', 'O형', '1983-01-01', '010-8391-3657', 'zf41avqemxt', 'daum.net', '무교']: 4.1576

['73', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1983******', '*************', '*************', 'naver.com', '기독교']
=> ['73', '민영성', '여', '156.1', '51.5', 'B형', '1983-01-16', '010-0134-2416', 'ruyldrt', 'naver.com', '기독교']: 4.1576

['877', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1983******', '*************', '*************', 'gmail.com', '기독교']
=> ['877', '유준우', '여', '152.3', '53.7', 'O형', '1983-12-08', '010-4220-9610', 'dhosc91wj844k', 'gmail.com', '기독교']: 4.1576

['683', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1984******', '*************', '*************', 'yahoo.com', '불교']
=> ['683', '박지서', '여', '157.7', '54.9', 'A형', '1984-09-26', '010-4296-7591', 'qbm7klh3msz69', 'yahoo.com', '불교']: 4.1576

['92', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1984******', '*************', '*************', 'gmail.com', '기독교']
=> ['92', '신용택', '여', '155.6', '50.2', 'B형', '1984-11-17', '010-0350-9744', 'y5uqz3wh1', 'gmail.com', '기독교']: 4.1576

['656', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1984******', '*************', '*************', 'yahoo.com', '무교']
=> ['656', '신희지', '여', '154.8', '53.7', 'A형', '1984-08-07', '010-4910-6936', 'et5015l', 'yahoo.com', '무교']: 4.1576

['239', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1984******', '*************', '*************', 'yahoo.com', '기독교']
=> ['239', '정서석', '여', '152.1', '54.9', 'A형', '1984-02-14', '010-1382-9763', 'c973wu', 'yahoo.com', '기독교']: 4.1576

['79', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1985******', '*************', '*************', 'daum.net', '무교']
=> ['79', '김영정', '여', '153.8', '53.9', 'A형', '1985-01-07', '010-8121-4975', 'ugn9idlo4su', 'daum.net', '무교']: 4.1576

['455', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1985******', '*************', '*************', 'daum.net', '불교']
=> ['455', '이진준', '여', '150.1', '51.7', 'A형', '1985-05-16', '010-2051-1889', 'zp5o0sj9n', 'daum.net', '불교']: 4.1576

['789', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1985******', '*************', '*************', 'daum.net', '불교']
=> ['789', '이현훈', '여', '159.2', '52.5', 'B형', '1985-05-23', '010-0955-3066', 'gbykf24uol0r', 'daum.net', '불교']: 4.1576

['244', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1987******', '*************', '*************', 'naver.com', '무교']
=> ['244', '김서정', '여', '155.9', '53.5', 'A형', '1987-12-28', '010-8955-2705', 'a3q7uwl', 'naver.com', '무교']: 4.1576

['985', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1987******', '*************', '*************', 'yahoo.com', '무교']
=> ['985', '김협상', '여', '151.8', '54.3', 'O형', '1987-08-01', '010-4977-7033', 'dj4jx0l4z', 'yahoo.com', '무교']: 4.1576

['918', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1987******', '*************', '*************', 'daum.net', '무교']
=> ['918', '남지훈', '여', '153.1', '53.8', 'B형', '1987-05-11', '010-6912-0228', 'dwk3ti66hh', 'daum.net', '무교']: 4.1576

['581', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1987******', '*************', '*************', 'gmail.com', '기독교']
=> ['581', '이용지', '여', '151.5', '52.4', 'B형', '1987-09-11', '010-6219-9331', 'p1ajvj1y', 'gmail.com', '기독교']: 4.1576

['459', '***', '여성', '150.0~160.0', '50.0~55.0', 'AB형', '1988******', '*************', '*************', 'yahoo.com', '무교']
=> ['459', '박훈서', '여', '156.9', '54.9', 'AB형', '1988-07-06', '010-8607-0512', 'xxajghtei40d5', 'yahoo.com', '무교']: 4.1576

['331', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1988******', '*************', '*************', 'daum.net', '무교']
=> ['331', '류남준', '여', '157', '53.4', 'B형', '1988-10-28', '010-1521-6820', 'qxzdpo', 'daum.net', '무교']: 4.1576

['491', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1988******', '*************', '*************', 'daum.net', '기독교']
=> ['491', '황우은', '여', '159.4', '54.5', 'O형', '1988-10-18', '010-6029-9776', 'hxzwluc6g9hw2', 'daum.net', '기독교']: 4.1576

['401', '***', '여성', '150.0~160.0', '50.0~55.0', 'AB형', '1992******', '*************', '*************', 'gmail.com', '무교']
=> ['401', '고상석', '여', '154.5', '53.9', 'AB형', '1992-12-30', '010-5985-8139', 'yehzbcn7u9x4', 'gmail.com', '무교']: 4.1576

['720', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1992******', '*************', '*************', 'daum.net', '무교']
=> ['720', '이훈서', '여', '151', '53.2', 'O형', '1992-01-13', '010-0104-6068', 'w1ur1pkzu', 'daum.net', '무교']: 4.1576

['411', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1992******', '*************', '*************', 'naver.com', '무교']
=> ['411', '임용진', '여', '156.4', '50.8', 'A형', '1992-08-06', '010-2962-2090', 'qt3pjuby7rqx', 'naver.com', '무교']: 4.1576

['595', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1992******', '*************', '*************', 'naver.com', '무교']
=> ['595', '임준종', '여', '150.1', '54.5', 'O형', '1992-09-27', '010-6150-3389', 'imvxsylkhtgxc', 'naver.com', '무교']: 4.1576

['984', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1993******', '*************', '*************', 'naver.com', '기독교']
=> ['984', '고덕진', '여', '151.7', '50.3', 'O형', '1993-03-28', '010-2559-2829', 'xxryu3gssb', 'naver.com', '기독교']: 4.1576

['757', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1993******', '*************', '*************', 'yahoo.com', '무교']
=> ['757', '김종영', '여', '156.1', '54.6', 'B형', '1993-02-03', '010-2135-4779', 'd5piemdic0q', 'yahoo.com', '무교']: 4.1576
=> ['839', '성상희', '남', '166.8', '65', 'B형', '1964-12-11', '010-2185-9333', 'n0pm1btk', 'naver.com', '천주교']: 4.1576

['840', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1993******', '*************', '*************', 'yahoo.com', '무교']
=> ['757', '김종영', '여', '156.1', '54.6', 'B형', '1993-02-03', '010-2135-4779', 'd5piemdic0q', 'yahoo.com', '무교']: 4.1576
=> ['839', '성상희', '남', '166.8', '65', 'B형', '1964-12-11', '010-2185-9333', 'n0pm1btk', 'naver.com', '천주교']: 4.1576

['437', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1993******', '*************', '*************', 'daum.net', '기독교']
=> ['437', '문남희', '여', '152.9', '54', 'A형', '1993-01-20', '010-5213-0760', 'kc76rqresd9', 'daum.net', '기독교']: 4.1576

['234', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1994******', '*************', '*************', 'gmail.com', '불교']
=> ['234', '고준협', '여', '152.4', '51.6', 'B형', '1994-08-17', '010-1802-3360', 'hth5uojmu', 'gmail.com', '불교']: 4.1576

['952', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1994******', '*************', '*************', 'naver.com', '불교']
=> ['952', '송협준', '여', '156.8', '51.1', 'O형', '1994-03-19', '010-7898-7498', 'n6cjit7', 'naver.com', '불교']: 4.1576

['854', '***', '여성', '150.0~160.0', '50.0~55.0', 'B형', '1994******', '*************', '*************', 'naver.com', '무교']
=> ['854', '오상준', '여', '155.7', '51.4', 'B형', '1994-10-23', '010-3931-3620', 'k2w0ts6d', 'naver.com', '무교']: 4.1576

['9', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1994******', '*************', '*************', 'gmail.com', '무교']
=> ['9', '정지성', '여', '153.5', '54.1', 'A형', '1994-06-25', '010-7114-9389', 'xbzxhwp6u8', 'gmail.com', '무교']: 4.1576

['557', '***', '여성', '150.0~160.0', '50.0~55.0', 'AB형', '1996******', '*************', '*************', 'gmail.com', '무교']
=> ['557', '김용덕', '여', '152.6', '54.2', 'AB형', '1996-06-15', '010-8743-3029', 'xv9bd6dzjbwbu', 'gmail.com', '무교']: 4.1576

['579', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1996******', '*************', '*************', 'yahoo.com', '기독교']
=> ['579', '김상용', '여', '152', '54.3', 'O형', '1996-09-29', '010-3800-7255', 'j1u1vw09', 'yahoo.com', '기독교']: 4.1576

['865', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1996******', '*************', '*************', 'naver.com', '무교']
=> ['865', '남영석', '여', '150.2', '50.7', 'O형', '1996-03-14', '010-8254-8858', 'oebalgwqe', 'naver.com', '무교']: 4.1576

['449', '***', '여성', '150.0~160.0', '50.0~55.0', 'O형', '1996******', '*************', '*************', 'gmail.com', '천주교']
=> ['449', '박성현', '여', '151', '51.6', 'O형', '1996-07-13', '010-4503-5332', 'b30tkuzw9z', 'gmail.com', '천주교']: 4.1576

['802', '***', '여성', '150.0~160.0', '50.0~55.0', 'A형', '1996******', '*************', '*************', 'gmail.com', '천주교']
=> ['802', '송지종', '여', '158.3', '52.1', 'A형', '1996-05-26', '010-3493-5240', 'ujzqi52n', 'gmail.com', '천주교']: 4.1576

['591', '***', '여성', '150.0~160.0', '55.0~60.0', 'O형', '1946******', '*************', '*************', 'daum.net', '무교']
=> ['591', '김남상', '여', '150.7', '58', 'O형', '1946-06-19', '010-5216-4283', 'tg9dcv', 'daum.net', '무교']: 4.1576

['443', '***', '여성', '150.0~160.0', '55.0~60.0', 'A형', '1946******', '*************', '*************', 'naver.com', '기독교']
=> ['443', '박진영', '여', '152.4', '58.7', 'A형', '1946-01-28', '010-3085-8844', 'mlld76aufdh', 'naver.com', '기독교']: 4.1576

['170', '***', '여성', '150.0~160.0', '55.0~60.0', 'A형', '1946******', '*************', '*************', 'naver.com', '무교']
=> ['170', '이준정', '여', '157.6', '57', 'A형', '1946-12-02', '010-0580-2896', 'xkpp3xz', 'naver.com', '무교']: 4.1576

['6', '***', '여성', '150.0~160.0', '55.0~60.0', 'AB형', '1948******', '*************', '*************', 'naver.com', '기독교']
=> ['6', '박용희', '여', '155.5', '57.2', 'AB형', '1948-08-29', '010-9065-3826', 'sasm2gi4yq7j', 'naver.com', '기독교']: 4.1576

['221', '***', '여성', '150.0~160.0', '55.0~60.0', 'A형', '1948******', '*************', '*************', 'daum.net', '불교']
=> ['221', '박덕택', '여', '150.9', '55.7', 'A형', '1948-07-09', '010-0301-8765', 'rr5o7juz', 'daum.net', '불교']: 4.1576

['304', '***', '여성', '150.0~160.0', '55.0~60.0', 'AB형', '1948******', '*************', '*************', 'daum.net', '무교']
=> ['304', '박성은', '여', '152.3', '55.8', 'AB형', '1948-03-13', '010-9322-1628', 'euip9xz1tt5', 'daum.net', '무교']: 4.1576

['718', '***', '여성', '150.0~160.0', '55.0~60.0', 'O형', '1948******', '*************', '*************', 'naver.com', '불교']
=> ['718', '박훈덕', '여', '157.2', '59.3', 'O형', '1948-01-30', '010-7992-6500', 'hwou27gihwy1w', 'naver.com', '불교']: 4.1576

['991', '***', '여성', '150.0~160.0', '55.0~60.0', 'B형', '1948******', '*************', '*************', 'yahoo.com', '무교']
=> ['991', '최서준', '여', '157.9', '56', 'B형', '1948-08-24', '010-4533-2245', 'xdjvhcm2prt5', 'yahoo.com', '무교']: 4.1576

