['1', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
['45', '박**', '남성', '170.0~180.0', '60.0~70.0', 'A형', '1946******', '*********', '*************', 'yahoo.com', '불교']
=> ['618', '박덕훈', '남성', '164.4', '64.0', 'A형', '1949-07-09', '8662-3916', 'de16nzacv', 'yahoo.com', '불교']: 4.0429
=> ['5659', '박택현', '남성', '172.3', '67.8', 'A형', '1986-05-30', '5749-5601', 'lr9k6mqka4q', 'yahoo.com', '불교']: 4.1296
=> ['45', '박은영', '남성', '170.2', '61.1', 'A형', '1946-10-23', '9001-9956', 'r2uqcf5w76gp', 'yahoo.com', '불교']: 4.2293
=> ['6815', '박정현', '남성', '162.5', '58.0', 'A형', '1996-11-18', '4801-5344', 'uuifftgn1fi', 'yahoo.com', '불교']: 3.9599
=> ['34', '박택서', '남성', '167.6', '60.6', 'A형', '1964-01-31', '6790-8927', 'ng32ep', 'yahoo.com', '불교']: 3.9432

['46', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '기독교']
=> ['6', '이협현', '여성', '147.7', '55.0', 'A형', '1958-12-29', '3400-5887', 'pmgi8qzuw7wm7', 'gmail.com', '기독교']: 1.5396

['47', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['48', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '불교']
=> ['2', '강훈희', '남성', '174.9', '63.4', 'A형', '1946-10-10', '1715-9263', 'frlfize7ir88', 'yahoo.com', '불교']: 1.5004

['49', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '불교']
=> ['2', '강훈희', '남성', '174.9', '63.4', 'A형', '1946-10-10', '1715-9263', 'frlfize7ir88', 'yahoo.com', '불교']: 1.5004

['50', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '무교']
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 1.2708

['51', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.2751

['52', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '무교']
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 1.2708

['53', '김**', '여성', '150.0~160.0', '60.0~70.0', 'O형', '1990******', '*********', '*************', 'naver.com', '불교']
=> ['4853', '김정지', '여성', '153.1', '54.8', 'O형', '1970-01-21', '3214-2167', 'yfh8hcx', 'naver.com', '불교']: 4.027
=> ['53', '김지영', '여성', '157.1', '61.6', 'O형', '1990-03-07', '1157-9781', 'mqm1cd8', 'naver.com', '불교']: 4.2096
=> ['1568', '김정준', '여성', '153.2', '60.5', 'O형', '1986-03-07', '1994-2696', 'bu0k3aok3rcd', 'naver.com', '불교']: 4.0105

['54', '이**', '남성', '170.0~180.0', '60.0~70.0', 'O형', '1961******', '*********', '*************', 'naver.com', '무교']
=> ['3594', '이희은', '남성', '167.9', '66.3', 'O형', '1971-02-28', '9359-6355', 'ggy260tt', 'naver.com', '무교']: 3.8273
=> ['3229', '이지훈', '남성', '165.7', '65.1', 'O형', '1961-06-10', '6662-7333', 'bxncfkpm', 'naver.com', '무교']: 3.9268
=> ['54', '이정정', '남성', '170.1', '67.5', 'O형', '1961-01-03', '0552-0116', 'nlpdun4wf', 'naver.com', '무교']: 4.0135
=> ['4327', '이덕현', '남성', '174.2', '61.8', 'O형', '1969-01-09', '9869-2358', 'ff20a4', 'naver.com', '무교']: 3.914

['55', '김**', '여성', '150.0~160.0', '50.0~60.0', 'B형', '1985******', '*********', '*************', 'yahoo.com', '무교']
=> ['55', '김희영', '여성', '157.8', '54.0', 'B형', '1985-12-14', '9452-6228', 'rt6wxxs3', 'yahoo.com', '무교']: 3.9843
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 3.8846

['56', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '불교']
=> ['22', '김남준', '여성', '166.6', '57.1', 'B형', '1987-07-26', '2581-2587', 'i6psi3ep1lh', 'naver.com', '불교']: 1.5047

['57', '김**', '남성', '170.0~180.0', '60.0~70.0', 'A형', '1980******', '*********', '*************', 'yahoo.com', '무교']
=> ['57', '김서우', '남성', '177.6', '69.1', 'A형', '1980-02-23', '8499-8929', 'uuawcz4zxu3', 'yahoo.com', '무교']: 3.9706
=> ['535', '김훈덕', '남성', '174.1', '69.3', 'A형', '1984-10-20', '8147-0502', 'l26ncaj1foxtv', 'yahoo.com', '무교']: 3.8708

['58', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '무교']
=> ['14', '박훈훈', '남성', '175.3', '64.1', 'AB형', '1979-06-28', '8101-7986', 'gx14kge', 'daum.net', '무교']: 1.2796

['59', '정**', '여성', '150.0~160.0', '50.0~60.0', 'A형', '1990******', '*********', '*************', 'yahoo.com', '무교']
=> ['9233', '정진진', '여성', '152.4', '61.7', 'A형', '1995-06-04', '9539-6686', 'y87p6yhkgq', 'yahoo.com', '무교']: 3.8041
=> ['1253', '정진서', '여성', '146.7', '59.2', 'A형', '1996-09-10', '0567-9689', 'c61oii3wrneo8', 'yahoo.com', '무교']: 3.8031
=> ['59', '정지은', '여성', '150.6', '51.8', 'A형', '1990-04-10', '4021-1565', 'tohkxubow', 'yahoo.com', '무교']: 3.9855
=> ['4573', '정영준', '여성', '158.0', '58.0', 'A형', '1992-09-24', '0954-4988', 'zlsamf3w', 'yahoo.com', '무교']: 3.886

['60', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['61', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '천주교']
=> ['61', '김석지', '남성', '167.5', '69.9', 'B형', '1968-11-13', '4637-4299', 'ko9ngcku5a5gv', 'naver.com', '천주교']: 1.6804

['62', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['63', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '불교']
=> ['22', '김남준', '여성', '166.6', '57.1', 'B형', '1987-07-26', '2581-2587', 'i6psi3ep1lh', 'naver.com', '불교']: 1.5047

['64', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.2751

['65', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '천주교']
=> ['40', '채용덕', '여성', '159.5', '53.1', 'A형', '1995-09-07', '7281-0768', 'qlsrpc', 'daum.net', '천주교']: 1.6849

['66', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.2751

['67', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '불교']
=> ['22', '김남준', '여성', '166.6', '57.1', 'B형', '1987-07-26', '2581-2587', 'i6psi3ep1lh', 'naver.com', '불교']: 1.5047

['68', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '기독교']
=> ['6', '이협현', '여성', '147.7', '55.0', 'A형', '1958-12-29', '3400-5887', 'pmgi8qzuw7wm7', 'gmail.com', '기독교']: 1.5396

['69', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '불교']
=> ['22', '김남준', '여성', '166.6', '57.1', 'B형', '1987-07-26', '2581-2587', 'i6psi3ep1lh', 'naver.com', '불교']: 1.5047

['70', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '기독교']
=> ['6', '이협현', '여성', '147.7', '55.0', 'A형', '1958-12-29', '3400-5887', 'pmgi8qzuw7wm7', 'gmail.com', '기독교']: 1.5396

['71', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '무교']
=> ['5', '최준훈', '남성', '162.8', '71.2', 'B형', '1986-03-20', '4565-1683', 'ij4xu1k561', 'gmail.com', '무교']: 1.2769

['72', '이**', '여성', '150.0~160.0', '50.0~60.0', 'O형', '1963******', '*********', '*************', 'yahoo.com', '기독교']
=> ['6385', '이진은', '여성', '157.0', '44.1', 'O형', '1966-11-29', '6534-2153', 'i4xqsm4k1l', 'yahoo.com', '기독교']: 4.0734
=> ['1610', '이지진', '여성', '158.6', '59.6', 'O형', '1967-08-29', '1907-7333', 'rvh8lwt9ho', 'yahoo.com', '기독교']: 4.1553
=> ['5763', '이지협', '여성', '150.4', '51.6', 'O형', '1979-03-22', '5323-0343', 'y1sgp3mwqke', 'yahoo.com', '기독교']: 4.0556
=> ['2724', '이훈준', '여성', '146.4', '53.3', 'O형', '1973-07-11', '3608-7445', 'seesdhf62cqcy', 'yahoo.com', '기독교']: 4.0724
=> ['72', '이희택', '여성', '155.7', '53.4', 'O형', '1963-07-30', '5632-2538', 'yblc84sehc', 'yahoo.com', '기독교']: 4.2549

['73', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '기독교']
=> ['3', '최종석', '여성', '153.7', '60.0', 'A형', '1967-05-30', '0531-4339', 'uow3y6', 'naver.com', '기독교']: 1.5378

['74', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '기독교']
=> ['72', '이희택', '여성', '155.7', '53.4', 'O형', '1963-07-30', '5632-2538', 'yblc84sehc', 'yahoo.com', '기독교']: 1.5335

['75', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '무교']
=> ['1', '김종종', '남성', '168.1', '65.4', 'B형', '1995-12-17', '6075-7114', 'x6yis5', 'naver.com', '무교']: 1.2751

['76', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '불교']
=> ['22', '김남준', '여성', '166.6', '57.1', 'B형', '1987-07-26', '2581-2587', 'i6psi3ep1lh', 'naver.com', '불교']: 1.5047

['77', '박**', '남성', '170.0~180.0', '60.0~70.0', 'A형', '1984******', '*********', '*************', 'naver.com', '무교']
=> ['7237', '박은용', '남성', '174.0', '74.2', 'A형', '1988-04-23', '6820-8992', 'xbmfyvxc87', 'naver.com', '무교']: 3.8205
=> ['77', '박은영', '남성', '179.0', '67.6', 'A형', '1984-08-17', '1694-2877', 'fsudq2', 'naver.com', '무교']: 4.0029
=> ['2551', '박지희', '남성', '174.7', '64.7', 'A형', '1980-02-20', '5926-6830', 'a116ycwez', 'naver.com', '무교']: 3.9035

['78', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '무교']
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 1.2708

['79', '이**', '여성', '150.0~160.0', '50.0~60.0', 'A형', '1991******', '*********', '*************', 'yahoo.com', '기독교']
=> ['3898', '이덕준', '여성', '160.4', '50.1', 'A형', '1995-04-20', '3799-5206', 'g50y20ajdnrm', 'yahoo.com', '기독교']: 4.1328
=> ['2396', '이용정', '여성', '162.4', '58.5', 'A형', '1996-03-05', '5811-9271', 'tjzts7', 'yahoo.com', '기독교']: 4.0499
=> ['1221', '이서진', '여성', '151.9', '50.1', 'A형', '1960-12-24', '0681-3226', 'tldbhi73n', 'yahoo.com', '기독교']: 4.0332
=> ['79', '이준용', '여성', '150.0', '51.1', 'A형', '1991-10-14', '6201-7500', 'vkuqqsj', 'yahoo.com', '기독교']: 4.2323

['80', '*', '*', '*', '*', '*', '*', '*', '*', 'gmail.com', '기독교']
=> ['6', '이협현', '여성', '147.7', '55.0', 'A형', '1958-12-29', '3400-5887', 'pmgi8qzuw7wm7', 'gmail.com', '기독교']: 1.5396

['81', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '불교']
=> ['2', '강훈희', '남성', '174.9', '63.4', 'A형', '1946-10-10', '1715-9263', 'frlfize7ir88', 'yahoo.com', '불교']: 1.5004

['82', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '무교']
=> ['14', '박훈훈', '남성', '175.3', '64.1', 'AB형', '1979-06-28', '8101-7986', 'gx14kge', 'daum.net', '무교']: 1.2796

['83', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '불교']
=> ['22', '김남준', '여성', '166.6', '57.1', 'B형', '1987-07-26', '2581-2587', 'i6psi3ep1lh', 'naver.com', '불교']: 1.5047

['84', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '기독교']
=> ['72', '이희택', '여성', '155.7', '53.4', 'O형', '1963-07-30', '5632-2538', 'yblc84sehc', 'yahoo.com', '기독교']: 1.5335

['85', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '불교']
=> ['12', '김덕협', '여성', '151.5', '66.0', 'B형', '1978-06-16', '6665-6767', 'c561ct', 'daum.net', '불교']: 1.5092

['86', '*', '*', '*', '*', '*', '*', '*', '*', 'naver.com', '기독교']
=> ['3', '최종석', '여성', '153.7', '60.0', 'A형', '1967-05-30', '0531-4339', 'uow3y6', 'naver.com', '기독교']: 1.5378

['87', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '불교']
=> ['12', '김덕협', '여성', '151.5', '66.0', 'B형', '1978-06-16', '6665-6767', 'c561ct', 'daum.net', '불교']: 1.5092

['88', '*', '*', '*', '*', '*', '*', '*', '*', 'yahoo.com', '무교']
=> ['16', '김덕종', '여성', '155.5', '57.7', 'B형', '1984-03-23', '0573-9019', 'j9aoxo5cf5ke', 'yahoo.com', '무교']: 1.2708

['89', '*', '*', '*', '*', '*', '*', '*', '*', 'daum.net', '무교']
=> ['14', '박훈훈', '남성', '175.3', '64.1', 'AB형', '1979-06-28', '8101-7986', 'gx14kge', 'daum.net', '무교']: 1.2796

