CORRECT LIST
['2665', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1950****', '*************', '*************', 'daum.net', '기독교', '새마을금고', '4-14384616703-3', '3']
['25816', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1948****', '*************', '*************', 'gmail.com', '기독교', '스탠다드(제일)', '510-71-514033', '8']
['27160', '이**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1948****', '*************', '*************', 'gmail.com', '기독교', '우리은행', '9524-436-526275', '6']
['11839', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1949****', '*************', '*************', 'gmail.com', '불교', '새마을금고', '0-24344749542-5', '3']
['33435', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1949****', '*************', '*************', 'daum.net', '불교', 'NH농협', '901-5476-062-67', '3']
['35582', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1949****', '*************', '*************', 'daum.net', '무교', '새마을금고', '5-29651459428-7', '3']
['21294', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1949****', '*************', '*************', 'daum.net', '기독교', '새마을금고', '8-38770522173-2', '3']
['11555', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1949****', '*************', '*************', 'gmail.com', '천주교', '외환은행', '770-514108-665', '6']
['2527', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'O형', '1950****', '*************', '*************', 'yahoo.com', '불교', '한국씨티은행', '840-890681-918', '4']
['39084', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'B형', '1950****', '*************', '*************', 'daum.net', '무교', '하나은행', '766-946178-89698', '3']
['18884', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1950****', '*************', '*************', 'gmail.com', '천주교', '새마을금고', '1-05598607114-3', '2']
['32191', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1950****', '*************', '*************', 'gmail.com', '기독교', '한국씨티은행', '030-147324-215', '3']
['9897', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1950****', '*************', '*************', 'daum.net', '천주교', 'NH농협', '480-7666-140-62', '9']
['28228', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1950****', '*************', '*************', 'naver.com', '불교', '한국씨티은행', '263-566926-959', '9']
['37925', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1950****', '*************', '*************', 'naver.com', '무교', '스탠다드(제일)', '064-25-793112', '4']
['17473', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1951****', '*************', '*************', 'daum.net', '천주교', '국민은행', '751688-46-327335', '7']
['19070', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1951****', '*************', '*************', 'yahoo.com', '무교', '스탠다드(제일)', '253-42-103782', '3']
['28691', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1951****', '*************', '*************', 'naver.com', '무교', '신한은행', '135-836-429090', '8']
['11564', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1951****', '*************', '*************', 'gmail.com', '기독교', '수협중앙회', '1717-6213-9876', '6']
['25800', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1952****', '*************', '*************', 'daum.net', '무교', '기업은행', '610-005822-33-710', '2']
['37056', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1952****', '*************', '*************', 'yahoo.com', '천주교', '하나은행', '199-199039-66776', '3']
['38133', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1952****', '*************', '*************', 'daum.net', '무교', '국민은행', '623609-46-633877', '4']
['3435', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1952****', '*************', '*************', 'gmail.com', '기독교', '스탠다드(제일)', '315-57-392047', '3']
['29578', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1952****', '*************', '*************', 'gmail.com', '무교', '외환은행', '469-931507-469', '2']
['30789', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1952****', '*************', '*************', 'naver.com', '불교', '스탠다드(제일)', '676-48-703207', '3']
['25739', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1952****', '*************', '*************', 'gmail.com', '불교', '국민은행', '495759-00-265452', '7']
['29873', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1952****', '*************', '*************', 'naver.com', '무교', '스탠다드(제일)', '764-55-747075', '5']
['34953', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1952****', '*************', '*************', 'gmail.com', '무교', '국민은행', '721216-85-229975', '1']
['15223', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1953****', '*************', '*************', 'daum.net', '불교', '스탠다드(제일)', '098-69-700938', '4']
['17880', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1953****', '*************', '*************', 'gmail.com', '무교', '국민은행', '045979-26-209387', '8']
['22406', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1953****', '*************', '*************', 'yahoo.com', '무교', '신한은행', '493-633-629454', '7']
['25344', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1953****', '*************', '*************', 'naver.com', '무교', '우리은행', '2749-890-746765', '7']
['37684', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1953****', '*************', '*************', 'daum.net', '무교', '기업은행', '561-522832-88-746', '9']
['2419', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1953****', '*************', '*************', 'naver.com', '불교', '하나은행', '808-364297-44826', '3']
['12195', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1953****', '*************', '*************', 'yahoo.com', '불교', '수협중앙회', '5012-3319-5791', '5']
['5422', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1954****', '*************', '*************', 'naver.com', '천주교', '외환은행', '096-417398-946', '4']
['5681', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'naver.com', '불교', '수협중앙회', '9971-7691-4482', '4']
['18615', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'yahoo.com', '불교', '기업은행', '487-377238-48-387', '8']
['22941', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1954****', '*************', '*************', 'naver.com', '무교', '기업은행', '345-641085-04-563', '6']
['37372', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'daum.net', '무교', '한국씨티은행', '183-477623-110', '7']
['15216', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'gmail.com', '무교', '하나은행', '857-654777-81748', '5']
['21013', '이**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1954****', '*************', '*************', 'gmail.com', '불교', '한국씨티은행', '724-785198-405', '3']
['28501', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'yahoo.com', '기독교', '기업은행', '960-211106-85-611', '6']
['18334', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'daum.net', '기독교', '우리은행', '8252-582-353078', '3']
['5702', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1955****', '*************', '*************', 'gmail.com', '기독교', '하나은행', '711-144194-30249', '5']
['18219', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1955****', '*************', '*************', 'daum.net', '무교', '수협중앙회', '8414-5835-8470', '7']
['33952', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1955****', '*************', '*************', 'yahoo.com', '불교', '신한은행', '679-304-763429', '2']
['11715', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1955****', '*************', '*************', 'yahoo.com', '무교', '기업은행', '472-501077-63-098', '1']
['23602', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1955****', '*************', '*************', 'naver.com', '기독교', '한국씨티은행', '939-473910-874', '7']
['32108', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1955****', '*************', '*************', 'naver.com', '불교', '새마을금고', '4-74997011448-0', '4']
['32699', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1956****', '*************', '*************', 'gmail.com', '불교', '한국씨티은행', '460-798161-912', '5']
['23398', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1956****', '*************', '*************', 'daum.net', '무교', '기업은행', '370-226770-16-817', '7']
['3319', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1956****', '*************', '*************', 'yahoo.com', '불교', 'NH농협', '669-3490-398-59', '3']
['4960', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1956****', '*************', '*************', 'daum.net', '불교', '한국씨티은행', '801-982801-203', '2']
['8580', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1956****', '*************', '*************', 'gmail.com', '불교', '국민은행', '386189-67-539434', '3']
['9458', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1956****', '*************', '*************', 'daum.net', '불교', '국민은행', '265363-92-523906', '7']
['23523', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1956****', '*************', '*************', 'naver.com', '천주교', '우리은행', '3113-257-441404', '3']
['10281', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'daum.net', '무교', '국민은행', '065113-32-518469', '5']
['18641', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1957****', '*************', '*************', 'gmail.com', '불교', '수협중앙회', '5606-9701-0421', '9']
['22389', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1957****', '*************', '*************', 'naver.com', '불교', '스탠다드(제일)', '066-12-553077', '1']
['28804', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'yahoo.com', '천주교', 'NH농협', '093-2394-761-98', '9']
['35807', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1957****', '*************', '*************', 'gmail.com', '기독교', '기업은행', '079-649340-08-440', '6']
['38095', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1957****', '*************', '*************', 'naver.com', '무교', '국민은행', '768858-22-703506', '2']
['39314', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1957****', '*************', '*************', 'daum.net', '불교', '스탠다드(제일)', '971-51-829315', '5']
['28209', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1957****', '*************', '*************', 'gmail.com', '기독교', 'NH농협', '216-2413-090-59', '2']
['33993', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'daum.net', '무교', '새마을금고', '3-93727304412-0', '7']
['30753', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1958****', '*************', '*************', 'yahoo.com', '무교', '우리은행', '9997-248-438366', '4']
['4795', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1958****', '*************', '*************', 'yahoo.com', '기독교', '외환은행', '128-881724-850', '3']
['21819', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1958****', '*************', '*************', 'daum.net', '무교', '국민은행', '954671-31-459718', '8']
['36552', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1958****', '*************', '*************', 'yahoo.com', '무교', '수협중앙회', '5146-3713-2322', '4']
['30383', '박**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1958****', '*************', '*************', 'daum.net', '불교', 'NH농협', '382-4404-250-40', '8']
['35564', '박**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1958****', '*************', '*************', 'yahoo.com', '불교', '하나은행', '166-704232-40009', '2']
['36205', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1958****', '*************', '*************', 'naver.com', '불교', '수협중앙회', '2936-5570-9324', '3']
['30990', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1959****', '*************', '*************', 'daum.net', '기독교', '수협중앙회', '7820-3527-5654', '6']
['29081', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1959****', '*************', '*************', 'naver.com', '기독교', '외환은행', '885-850280-797', '4']
['20539', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1959****', '*************', '*************', 'daum.net', '기독교', '신한은행', '083-762-614651', '1']
['30722', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1959****', '*************', '*************', 'daum.net', '무교', 'NH농협', '937-9145-209-90', '7']
['1751', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1960****', '*************', '*************', 'daum.net', '무교', 'NH농협', '717-2036-598-46', '1']
['24995', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1960****', '*************', '*************', 'daum.net', '기독교', '하나은행', '871-365079-95108', '2']
['9957', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1960****', '*************', '*************', 'daum.net', '천주교', '하나은행', '916-198096-75661', '7']
['29520', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1961****', '*************', '*************', 'daum.net', '기독교', '외환은행', '871-184474-055', '8']
['3628', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1961****', '*************', '*************', 'yahoo.com', '불교', '수협중앙회', '6402-4887-2084', '3']
['32762', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1961****', '*************', '*************', 'naver.com', '불교', '국민은행', '313848-23-457369', '6']
['33097', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1961****', '*************', '*************', 'naver.com', '무교', '국민은행', '129515-05-195405', '3']
['31099', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1962****', '*************', '*************', 'daum.net', '기독교', '국민은행', '154756-17-281142', '4']
['29929', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1962****', '*************', '*************', 'yahoo.com', '무교', '수협중앙회', '6569-9889-7102', '5']
['604', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1963****', '*************', '*************', 'naver.com', '무교', 'NH농협', '637-5416-100-60', '6']
['27635', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1963****', '*************', '*************', 'gmail.com', '천주교', '외환은행', '067-058214-579', '4']
['38862', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1963****', '*************', '*************', 'naver.com', '불교', '외환은행', '287-697586-740', '6']
['29885', '권**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1964****', '*************', '*************', 'naver.com', '불교', '한국씨티은행', '461-992586-156', '7']
['30395', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1964****', '*************', '*************', 'gmail.com', '무교', '국민은행', '069054-70-905780', '5']
['2730', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1964****', '*************', '*************', 'naver.com', '불교', '스탠다드(제일)', '530-37-227490', '4']
['8396', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1964****', '*************', '*************', 'gmail.com', '기독교', '스탠다드(제일)', '940-88-891921', '9']
['5557', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1964****', '*************', '*************', 'yahoo.com', '무교', '수협중앙회', '6014-9683-3441', '2']
['35197', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1964****', '*************', '*************', 'naver.com', '불교', '외환은행', '942-485009-102', '4']
['7255', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1965****', '*************', '*************', 'yahoo.com', '무교', '수협중앙회', '8308-6069-8284', '5']
['18146', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1965****', '*************', '*************', 'gmail.com', '무교', '한국씨티은행', '400-850353-534', '4']
['35594', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1965****', '*************', '*************', 'yahoo.com', '무교', '기업은행', '987-180824-21-849', '7']
['32958', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1965****', '*************', '*************', 'naver.com', '무교', '외환은행', '199-061724-846', '7']
['21086', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1965****', '*************', '*************', 'naver.com', '무교', '신한은행', '036-662-467053', '6']
['31775', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1965****', '*************', '*************', 'yahoo.com', '무교', '국민은행', '606087-57-561843', '5']
['20432', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1965****', '*************', '*************', 'yahoo.com', '천주교', '수협중앙회', '4485-9303-2752', '5']
['33120', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1965****', '*************', '*************', 'naver.com', '무교', '외환은행', '227-360291-398', '2']
['21981', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'gmail.com', '불교', '스탠다드(제일)', '269-24-092027', '9']
['29483', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1966****', '*************', '*************', 'daum.net', '불교', '한국씨티은행', '017-975109-994', '7']
['30219', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'gmail.com', '천주교', '하나은행', '419-315167-81161', '5']
['19202', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1966****', '*************', '*************', 'gmail.com', '기독교', '수협중앙회', '5657-0242-2898', '9']
['19206', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'yahoo.com', '무교', '한국씨티은행', '207-928200-827', '7']
['6295', '조**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'yahoo.com', '무교', '스탠다드(제일)', '510-46-469609', '5']
['29801', '조**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'gmail.com', '천주교', '국민은행', '942948-40-992413', '2']
['31499', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'O형', '1967****', '*************', '*************', 'naver.com', '무교', '신한은행', '477-422-190011', '3']
['28558', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1967****', '*************', '*************', 'gmail.com', '무교', '스탠다드(제일)', '186-17-173245', '3']
['25938', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1967****', '*************', '*************', 'gmail.com', '무교', 'NH농협', '397-4875-223-15', '4']
['3188', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1967****', '*************', '*************', 'daum.net', '천주교', '새마을금고', '8-53762781608-7', '6']
['27690', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1967****', '*************', '*************', 'yahoo.com', '불교', '기업은행', '319-910232-93-693', '6']
['10972', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1967****', '*************', '*************', 'yahoo.com', '무교', '스탠다드(제일)', '085-53-881122', '9']
['10857', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'daum.net', '무교', 'NH농협', '347-8743-697-42', '4']
['18564', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1968****', '*************', '*************', 'yahoo.com', '기독교', '국민은행', '683816-23-091597', '6']
['19309', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1968****', '*************', '*************', 'yahoo.com', '무교', '우리은행', '7839-981-551441', '3']
['23393', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1968****', '*************', '*************', 'naver.com', '기독교', '국민은행', '031036-93-824945', '4']
['25093', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'gmail.com', '무교', '스탠다드(제일)', '751-93-505893', '2']
['29666', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1968****', '*************', '*************', 'naver.com', '천주교', '새마을금고', '1-43922747151-8', '3']
['14444', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1968****', '*************', '*************', 'daum.net', '무교', '우리은행', '2286-819-866941', '5']
['22243', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'yahoo.com', '무교', '신한은행', '245-796-770310', '2']
['28365', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1968****', '*************', '*************', 'naver.com', '무교', '기업은행', '350-981276-85-997', '5']
