CORRECT LIST
['14884', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1954****', '*************', '*************', 'gmail.com', '불교', '한국체육대학교', '의학', '1.16']
['30952', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1950****', '*************', '*************', 'gmail.com', '불교', '한국외국어대학교', '자연', '1.08']
['32191', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1950****', '*************', '*************', 'gmail.com', '기독교', '동국대학교', '교육', '2.51']
['5204', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1950****', '*************', '*************', 'daum.net', '무교', '연세대학교', '법학', '2.68']
['37925', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1950****', '*************', '*************', 'naver.com', '무교', '광운대학교', '인문', '4.08']
['26717', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1950****', '*************', '*************', 'gmail.com', '무교', '상명대학교', '교육', '0.51']
['33808', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1950****', '*************', '*************', 'gmail.com', '무교', '한국외국어대학교', '사회', '2.5']
['30090', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1951****', '*************', '*************', 'naver.com', '불교', '서울시립대학교', '교육', '3.76']
['34220', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1951****', '*************', '*************', 'daum.net', '기독교', '연세대학교', '공학', '3.56']
['12180', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1951****', '*************', '*************', 'gmail.com', '기독교', '서울교육대학교', '자연', '2.6']
['14345', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1951****', '*************', '*************', 'naver.com', '무교', '한양대학교', '공학', '0.16']
['13100', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1951****', '*************', '*************', 'gmail.com', '기독교', '감리교신학대학교', '자연', '2.21']
['37484', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1951****', '*************', '*************', 'daum.net', '기독교', '서울대학교', '교육', '4.4']
['17804', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1952****', '*************', '*************', 'naver.com', '기독교', '동국대학교', '교육', '3.98']
['21122', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1952****', '*************', '*************', 'yahoo.com', '기독교', '서울과학기술대학교', '교육', '1.16']
['38421', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1952****', '*************', '*************', 'naver.com', '무교', '총신대학교', '예체능', '1.47']
['10757', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1952****', '*************', '*************', 'gmail.com', '불교', '한국예술종합학교', '인문', '2.97']
['37720', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1952****', '*************', '*************', 'yahoo.com', '불교', '육군사관학교', '공학', '2.66']
['17880', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1953****', '*************', '*************', 'gmail.com', '무교', '동국대학교', '예체능', '0.59']
['24378', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1953****', '*************', '*************', 'daum.net', '무교', '한국체육대학교', '의학', '2.32']
['28351', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1953****', '*************', '*************', 'yahoo.com', '기독교', '성공회대학교', '자연', '3.37']
['32772', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1953****', '*************', '*************', 'gmail.com', '기독교', '경기대학교', '법학', '0.83']
['36767', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1953****', '*************', '*************', 'naver.com', '무교', '가톨릭대학교', '법학', '3.97']
['33283', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1953****', '*************', '*************', 'yahoo.com', '무교', '세종대학교', '사회', '3.33']
['284', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1953****', '*************', '*************', 'gmail.com', '무교', '추계예술대학교', '자연', '0.94']
['39898', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1953****', '*************', '*************', 'daum.net', '무교', '감리교신학대학교', '자연', '1.2']
['39871', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1954****', '*************', '*************', 'gmail.com', '무교', '육군사관학교', '예체능', '3.4']
['6009', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'gmail.com', '무교', '한영신학대학교', '예체능', '4.33']
['30323', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'yahoo.com', '무교', '고려대학교', '공학', '1.79']
['20971', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1954****', '*************', '*************', 'daum.net', '무교', '성공회대학교', '법학', '3.67']
['4886', '이**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'A형', '1954****', '*************', '*************', 'daum.net', '무교', '감리교신학대학교', '인문', '0.59']
['12392', '이**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'daum.net', '무교', '서울과학기술대학교', '인문', '4.42']
['14264', '이**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'A형', '1954****', '*************', '*************', 'yahoo.com', '무교', '장로회신학대학교', '공학', '0.23']
['5681', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'naver.com', '불교', '한국예술종합학교', '공학', '3.07']
['13490', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1954****', '*************', '*************', 'yahoo.com', '무교', '서울교육대학교', '법학', '3.62']
['15216', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'gmail.com', '무교', '한국방송통신대학교', '의학', '4.04']
['28501', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'yahoo.com', '기독교', '이화여자대학', '예체능', '0.49']
['5702', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1955****', '*************', '*************', 'gmail.com', '기독교', '숙명여자대학교', '예체능', '3.2']
['21790', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1955****', '*************', '*************', 'daum.net', '불교', '한국성서대학교', '예체능', '1.73']
['22519', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1955****', '*************', '*************', 'daum.net', '불교', '중앙대학교', '법학', '4.26']
['29583', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1955****', '*************', '*************', 'yahoo.com', '무교', '가톨릭대학교', '인문', '1.17']
['27661', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1955****', '*************', '*************', 'yahoo.com', '무교', '삼육대학교', '인문', '3.19']
['12577', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1955****', '*************', '*************', 'gmail.com', '무교', '고려대학교', '사회', '4.2']
['23602', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1955****', '*************', '*************', 'naver.com', '기독교', '숙명여자대학교', '사회', '2.69']
['11341', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1955****', '*************', '*************', 'yahoo.com', '천주교', '상명대학교', '교육', '1.9']
['36822', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1955****', '*************', '*************', 'naver.com', '기독교', '총신대학교', '인문', '1.31']
['7106', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1956****', '*************', '*************', 'daum.net', '무교', '상명대학교', '의학', '3.31']
['39160', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1956****', '*************', '*************', 'gmail.com', '불교', '건국대학교', '법학', '1.95']
['14653', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1956****', '*************', '*************', 'yahoo.com', '무교', '덕성자대학교', '의학', '3.96']
['11904', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1956****', '*************', '*************', 'naver.com', '불교', '숭실대학교', '예체능', '3.17']
['13583', '정**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1956****', '*************', '*************', 'gmail.com', '무교', '성신여자대학교', '의학', '2.45']
['10281', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'daum.net', '무교', '한영신학대학교', '교육', '1.12']
['22210', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1957****', '*************', '*************', 'yahoo.com', '무교', '추계예술대학교', '사회', '1.17']
['28804', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'yahoo.com', '천주교', '고려대학교', '법학', '4.14']
['23257', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'naver.com', '무교', '성균관대학교', '자연', '4.11']
['18047', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1957****', '*************', '*************', 'daum.net', '무교', '한양대학교', '의학', '1.98']
['32399', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1957****', '*************', '*************', 'naver.com', '기독교', '성신여자대학교', '자연', '2.09']
['39205', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'daum.net', '천주교', '동국대학교', '법학', '0.39']
['13050', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1958****', '*************', '*************', 'daum.net', '불교', '상명대학교', '의학', '0.55']
['22716', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1958****', '*************', '*************', 'gmail.com', '기독교', '그리스도대학교', '예체능', '1.44']
['25611', '김**', '남성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1958****', '*************', '*************', 'naver.com', '무교', '세종대학교', '사회', '4.35']
['4139', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1958****', '*************', '*************', 'yahoo.com', '무교', '건국대학교', '자연', '0.83']
['36676', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1958****', '*************', '*************', 'gmail.com', '기독교', '성신여자대학교', '인문', '0.85']
['33455', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1958****', '*************', '*************', 'daum.net', '무교', '이화여자대학', '인문', '0.21']
['36552', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1958****', '*************', '*************', 'yahoo.com', '무교', '광운대학교', '예체능', '4.14']
['21464', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1958****', '*************', '*************', 'yahoo.com', '무교', '한국체육대학교', '자연', '2.99']
['37334', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1958****', '*************', '*************', 'yahoo.com', '무교', '서울시립대학교', '교육', '3.5']
['2743', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1959****', '*************', '*************', 'yahoo.com', '무교', '고려대학교', '공학', '0.65']
['6893', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1959****', '*************', '*************', 'gmail.com', '무교', '국민대학교', '공학', '3.03']
['25652', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1959****', '*************', '*************', 'yahoo.com', '무교', '광운대학교', '법학', '3.94']
['37896', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1959****', '*************', '*************', 'daum.net', '무교', '한국성서대학교', '의학', '3.67']
['28571', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1961****', '*************', '*************', 'gmail.com', '무교', '한국방송통신대학교', '자연', '4.34']
['32762', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1961****', '*************', '*************', 'naver.com', '불교', '경기대학교', '자연', '3.71']
['3936', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1962****', '*************', '*************', 'gmail.com', '불교', '한성대학교', '의학', '2.24']
['22409', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1962****', '*************', '*************', 'yahoo.com', '기독교', '가톨릭대학교', '예체능', '4.11']
['26993', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1962****', '*************', '*************', 'yahoo.com', '천주교', '숙명여자대학교', '의학', '1.44']
['15985', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1962****', '*************', '*************', 'yahoo.com', '무교', '연세대학교', '법학', '3.37']
['24876', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1962****', '*************', '*************', 'daum.net', '무교', '숭실대학교', '인문', '2.72']
['37148', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1962****', '*************', '*************', 'naver.com', '무교', '삼육대학교', '사회', '2.01']
['25222', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1962****', '*************', '*************', 'gmail.com', '기독교', '명지대학교', '인문', '2.06']
['31420', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1962****', '*************', '*************', 'gmail.com', '기독교', '경기대학교', '자연', '3.15']
['31571', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1962****', '*************', '*************', 'daum.net', '무교', '경기대학교', '예체능', '0.55']
['4661', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'AB형', '1963****', '*************', '*************', 'yahoo.com', '무교', '서울기독대학교', '의학', '2.81']
['22927', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1963****', '*************', '*************', 'naver.com', '무교', '서울대학교', '공학', '1.18']
['36859', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1963****', '*************', '*************', 'naver.com', '불교', '한성대학교', '자연', '1.98']
['39613', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1963****', '*************', '*************', 'yahoo.com', '기독교', '세종대학교', '예체능', '1.77']
['17916', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1963****', '*************', '*************', 'yahoo.com', '무교', '한성대학교', '사회', '3.57']
['36232', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1963****', '*************', '*************', 'daum.net', '무교', '장로회신학대학교', '자연', '0.06']
['6793', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1963****', '*************', '*************', 'gmail.com', '불교', '한양대학교', '법학', '1.46']
['27635', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1963****', '*************', '*************', 'gmail.com', '천주교', '세종대학교', '공학', '2.59']
['38862', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1963****', '*************', '*************', 'naver.com', '불교', '성신여자대학교', '교육', '4.22']
['29885', '권**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1964****', '*************', '*************', 'naver.com', '불교', '건국대학교', '법학', '2.48']
['36873', '권**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1964****', '*************', '*************', 'gmail.com', '무교', '서경대학교', '공학', '3.12']
['16995', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1964****', '*************', '*************', 'naver.com', '무교', '한성대학교', '자연', '1.98']
['33045', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1964****', '*************', '*************', 'yahoo.com', '무교', '동국대학교', '교육', '3.68']
['13040', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1964****', '*************', '*************', 'yahoo.com', '무교', '서경대학교', '인문', '2.44']
['8588', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1964****', '*************', '*************', 'naver.com', '무교', '이화여자대학', '자연', '3.22']
['22515', '이**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1964****', '*************', '*************', 'gmail.com', '기독교', '한국성서대학교', '공학', '3.43']
['7255', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1965****', '*************', '*************', 'yahoo.com', '무교', '중앙대학교', '예체능', '1.39']
['38221', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1965****', '*************', '*************', 'daum.net', '불교', '고려대학교', '사회', '2.69']
['1762', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1965****', '*************', '*************', 'gmail.com', '천주교', '한국외국어대학교', '예체능', '2.03']
['32958', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1965****', '*************', '*************', 'naver.com', '무교', '이화여자대학', '공학', '2.51']
['29363', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1965****', '*************', '*************', 'naver.com', '기독교', '중앙대학교', '인문', '0.75']
['33120', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1965****', '*************', '*************', 'naver.com', '무교', '한성대학교', '공학', '3.84']
['4320', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'daum.net', '무교', '동덕여자대학교', '인문', '3.74']
['37163', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1966****', '*************', '*************', 'daum.net', '불교', '숭실대학교', '교육', '2.45']
['20557', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'naver.com', '불교', '이화여자대학', '교육', '0.96']
['30219', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'gmail.com', '천주교', 'KAIST', '예체능', '2.38']
['19206', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'yahoo.com', '무교', '한국방송통신대학교', '인문', '3.22']
['32818', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1966****', '*************', '*************', 'yahoo.com', '무교', '경희대학교', '사회', '1.65']
['7897', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'gmail.com', '무교', '한국체육대학교', '인문', '1.9']
['19445', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1966****', '*************', '*************', 'daum.net', '무교', '성균관대학교', '공학', '2.24']
