CORRECT LIST
['2665', '이**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1950****', '*************', '*************', 'daum.net', '기독교', '성공회대학교', '의학', '3.8']
['34044', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'naver.com', '무교', '추계예술대학교', '인문', '3.61']
['19908', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1947****', '*************', '*************', 'yahoo.com', '기독교', '세종대학교', '인문', '3.41']
['6816', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1948****', '*************', '*************', 'naver.com', '천주교', '한국성서대학교', '예체능', '0.39']
['9530', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1948****', '*************', '*************', 'gmail.com', '무교', '경희대학교', '의학', '2.24']
['31133', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1948****', '*************', '*************', 'yahoo.com', '기독교', '중앙대학교', '교육', '1.29']
['9056', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1948****', '*************', '*************', 'yahoo.com', '불교', '장로회신학대학교', '의학', '0.83']
['15928', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1948****', '*************', '*************', 'gmail.com', '무교', '성공회대학교', '예체능', '1.07']
['6043', '박**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1948****', '*************', '*************', 'naver.com', '무교', '감리교신학대학교', '예체능', '2.58']
['285', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1948****', '*************', '*************', 'gmail.com', '불교', '서울여자대학교', '의학', '4']
['25816', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1948****', '*************', '*************', 'gmail.com', '기독교', '장로회신학대학교', '교육', '3.71']
['27160', '이**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1948****', '*************', '*************', 'gmail.com', '기독교', '한국방송통신대학교', '예체능', '3.25']
['33435', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1949****', '*************', '*************', 'daum.net', '불교', '국민대학교', '법학', '3.56']
['35582', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1949****', '*************', '*************', 'daum.net', '무교', '경희대학교', '교육', '3.33']
['21294', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1949****', '*************', '*************', 'daum.net', '기독교', '중앙대학교', '예체능', '0.18']
['11555', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1949****', '*************', '*************', 'gmail.com', '천주교', '고려대학교', '법학', '0.77']
['2527', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'O형', '1950****', '*************', '*************', 'yahoo.com', '불교', '서강대학교', '의학', '0.14']
['14051', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1950****', '*************', '*************', 'gmail.com', '무교', '명지대학교', '자연', '3.04']
['18884', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1950****', '*************', '*************', 'gmail.com', '천주교', '숭실대학교', '교육', '2.71']
['32191', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1950****', '*************', '*************', 'gmail.com', '기독교', '동국대학교', '교육', '2.51']
['9897', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1950****', '*************', '*************', 'daum.net', '천주교', '한국체육대학교', '의학', '1.57']
['28228', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1950****', '*************', '*************', 'naver.com', '불교', '세종대학교', '법학', '3.91']
['37925', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1950****', '*************', '*************', 'naver.com', '무교', '광운대학교', '인문', '4.08']
['17473', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1951****', '*************', '*************', 'daum.net', '천주교', '한국성서대학교', '법학', '0.2']
['19070', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1951****', '*************', '*************', 'yahoo.com', '무교', '서울시립대학교', '인문', '4.29']
['28691', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1951****', '*************', '*************', 'naver.com', '무교', '서울교육대학교', '교육', '2.74']
['11564', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1951****', '*************', '*************', 'gmail.com', '기독교', '명지대학교', '예체능', '3.7']
['25800', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1952****', '*************', '*************', 'daum.net', '무교', '서울대학교', '인문', '4']
['37056', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1952****', '*************', '*************', 'yahoo.com', '천주교', '성공회대학교', '법학', '1.29']
['38133', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1952****', '*************', '*************', 'daum.net', '무교', '성공회대학교', '자연', '2.49']
['3435', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1952****', '*************', '*************', 'gmail.com', '기독교', '경기대학교', '자연', '0.44']
['21122', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1952****', '*************', '*************', 'yahoo.com', '기독교', '서울과학기술대학교', '교육', '1.16']
['20547', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1952****', '*************', '*************', 'gmail.com', '불교', '서울대학교', '자연', '4.36']
['29578', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1952****', '*************', '*************', 'gmail.com', '무교', '건국대학교', '의학', '1.78']
['30789', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1952****', '*************', '*************', 'naver.com', '불교', '서울여자대학교', '공학', '4.01']
['25739', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1952****', '*************', '*************', 'gmail.com', '불교', '숭실대학교', '공학', '3.65']
['29873', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1952****', '*************', '*************', 'naver.com', '무교', '감리교신학대학교', '자연', '1.22']
['34953', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1952****', '*************', '*************', 'gmail.com', '무교', '서울대학교', '법학', '2.18']
['38077', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1952****', '*************', '*************', 'yahoo.com', '기독교', '명지대학교', '예체능', '4.28']
['15223', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1953****', '*************', '*************', 'daum.net', '불교', '동국대학교', '자연', '2.8']
['17880', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1953****', '*************', '*************', 'gmail.com', '무교', '동국대학교', '예체능', '0.59']
['22406', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1953****', '*************', '*************', 'yahoo.com', '무교', '한국체육대학교', '자연', '1.21']
['37684', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1953****', '*************', '*************', 'daum.net', '무교', '명지대학교', '교육', '0.9']
['2419', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1953****', '*************', '*************', 'naver.com', '불교', '한국체육대학교', '교육', '1.61']
['12195', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1953****', '*************', '*************', 'yahoo.com', '불교', '동덕여자대학교', '예체능', '0.58']
['5422', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1954****', '*************', '*************', 'naver.com', '천주교', '숭실대학교', '교육', '2.11']
['5681', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'naver.com', '불교', '한국예술종합학교', '공학', '3.07']
['22941', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1954****', '*************', '*************', 'naver.com', '무교', '홍익대학교', '인문', '1.33']
['29537', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1954****', '*************', '*************', 'daum.net', '무교', 'KAIST', '교육', '2.69']
['15216', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'gmail.com', '무교', '한국방송통신대학교', '의학', '4.04']
['21013', '이**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1954****', '*************', '*************', 'gmail.com', '불교', '덕성자대학교', '사회', '0.34']
['28501', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'yahoo.com', '기독교', '이화여자대학', '예체능', '0.49']
['18334', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'daum.net', '기독교', '덕성자대학교', '공학', '0.45']
['24683', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'daum.net', '무교', '중앙대학교', '사회', '1.01']
['5702', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1955****', '*************', '*************', 'gmail.com', '기독교', '숙명여자대학교', '예체능', '3.2']
['18219', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1955****', '*************', '*************', 'daum.net', '무교', '육군사관학교', '인문', '4.28']
['33952', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1955****', '*************', '*************', 'yahoo.com', '불교', '덕성자대학교', '사회', '4.11']
['11715', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1955****', '*************', '*************', 'yahoo.com', '무교', '한국외국어대학교', '법학', '0.23']
['23602', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1955****', '*************', '*************', 'naver.com', '기독교', '숙명여자대학교', '사회', '2.69']
['32108', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1955****', '*************', '*************', 'naver.com', '불교', '삼육대학교', '인문', '1.47']
['32699', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1956****', '*************', '*************', 'gmail.com', '불교', '서울대학교', '교육', '0.46']
['3319', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1956****', '*************', '*************', 'yahoo.com', '불교', '성공회대학교', '법학', '2.04']
['4960', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1956****', '*************', '*************', 'daum.net', '불교', '성공회대학교', '사회', '3.52']
['8580', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1956****', '*************', '*************', 'gmail.com', '불교', '성공회대학교', '공학', '3.24']
['9458', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1956****', '*************', '*************', 'daum.net', '불교', '서강대학교', '의학', '2.85']
['23523', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1956****', '*************', '*************', 'naver.com', '천주교', '삼육대학교', '의학', '3.83']
['18641', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1957****', '*************', '*************', 'gmail.com', '불교', '이화여자대학', '자연', '3.86']
['28804', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'yahoo.com', '천주교', '고려대학교', '법학', '4.14']
['35807', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1957****', '*************', '*************', 'gmail.com', '기독교', '가톨릭대학교', '공학', '3.02']
['38095', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1957****', '*************', '*************', 'naver.com', '무교', '한국방송통신대학교', '공학', '4.43']
['39314', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1957****', '*************', '*************', 'daum.net', '불교', '한국성서대학교', '의학', '0.15']
['28209', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1957****', '*************', '*************', 'gmail.com', '기독교', '상명대학교', '사회', '2.19']
['33993', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'daum.net', '무교', '상명대학교', '인문', '2.74']
['30753', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1958****', '*************', '*************', 'yahoo.com', '무교', '경희대학교', '공학', '2.06']
['4795', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1958****', '*************', '*************', 'yahoo.com', '기독교', '서울대학교', '의학', '0.61']
['21819', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1958****', '*************', '*************', 'daum.net', '무교', '성신여자대학교', '교육', '0.8']
['36552', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1958****', '*************', '*************', 'yahoo.com', '무교', '광운대학교', '예체능', '4.14']
['35564', '박**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1958****', '*************', '*************', 'yahoo.com', '불교', '동국대학교', '인문', '4.02']
['36205', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1958****', '*************', '*************', 'naver.com', '불교', '상명대학교', '교육', '3.61']
['29081', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1959****', '*************', '*************', 'naver.com', '기독교', '중앙대학교', '법학', '0.46']
['30990', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1959****', '*************', '*************', 'daum.net', '기독교', '육군사관학교', '자연', '0.3']
['20539', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1959****', '*************', '*************', 'daum.net', '기독교', '고려대학교', '인문', '0.32']
['30722', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1959****', '*************', '*************', 'daum.net', '무교', '한영신학대학교', '자연', '3.11']
['34743', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1960****', '*************', '*************', 'yahoo.com', '무교', '성신여자대학교', '예체능', '1.97']
['1751', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1960****', '*************', '*************', 'daum.net', '무교', '한국외국어대학교', '법학', '1.8']
['24995', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1960****', '*************', '*************', 'daum.net', '기독교', '서울여자대학교', '예체능', '3.99']
['9957', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1960****', '*************', '*************', 'daum.net', '천주교', '성신여자대학교', '법학', '3.63']
['29520', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1961****', '*************', '*************', 'daum.net', '기독교', '서울대학교', '법학', '2.77']
['3628', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1961****', '*************', '*************', 'yahoo.com', '불교', '한국성서대학교', '인문', '4.08']
['32762', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1961****', '*************', '*************', 'naver.com', '불교', '경기대학교', '자연', '3.71']
['33097', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1961****', '*************', '*************', 'naver.com', '무교', '서울기독대학교', '사회', '1']
['31099', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1962****', '*************', '*************', 'daum.net', '기독교', '총신대학교', '교육', '1.3']
['29929', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1962****', '*************', '*************', 'yahoo.com', '무교', '홍익대학교', '교육', '1.29']
['27635', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1963****', '*************', '*************', 'gmail.com', '천주교', '세종대학교', '공학', '2.59']
['38862', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1963****', '*************', '*************', 'naver.com', '불교', '성신여자대학교', '교육', '4.22']
['29885', '권**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1964****', '*************', '*************', 'naver.com', '불교', '건국대학교', '법학', '2.48']
['12541', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1964****', '*************', '*************', 'naver.com', '천주교', '숙명여자대학교', '의학', '4.13']
['2730', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1964****', '*************', '*************', 'naver.com', '불교', '명지대학교', '예체능', '3.54']
['8396', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1964****', '*************', '*************', 'gmail.com', '기독교', '서강대학교', '예체능', '1.85']
['5557', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1964****', '*************', '*************', 'yahoo.com', '무교', '숙명여자대학교', '예체능', '1.77']
['35197', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1964****', '*************', '*************', 'naver.com', '불교', '덕성자대학교', '인문', '3.83']
['7255', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1965****', '*************', '*************', 'yahoo.com', '무교', '중앙대학교', '예체능', '1.39']
['18146', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1965****', '*************', '*************', 'gmail.com', '무교', '서울시립대학교', '공학', '1.62']
['32958', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1965****', '*************', '*************', 'naver.com', '무교', '이화여자대학', '공학', '2.51']
['21086', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1965****', '*************', '*************', 'naver.com', '무교', '서강대학교', '법학', '2.53']
['31775', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1965****', '*************', '*************', 'yahoo.com', '무교', '숙명여자대학교', '의학', '0.54']
['20432', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1965****', '*************', '*************', 'yahoo.com', '천주교', '서울시립대학교', '교육', '1.84']
['33120', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1965****', '*************', '*************', 'naver.com', '무교', '한성대학교', '공학', '3.84']
['29483', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1966****', '*************', '*************', 'daum.net', '불교', '상명대학교', '법학', '4.21']
['30219', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'gmail.com', '천주교', 'KAIST', '예체능', '2.38']
['19202', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1966****', '*************', '*************', 'gmail.com', '기독교', '그리스도대학교', '인문', '0.07']
['19206', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'yahoo.com', '무교', '한국방송통신대학교', '인문', '3.22']
['6295', '조**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'yahoo.com', '무교', '그리스도대학교', '법학', '2.99']
['29801', '조**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'gmail.com', '천주교', '가톨릭대학교', '교육', '2.47']
['25938', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1967****', '*************', '*************', 'gmail.com', '무교', '이화여자대학', '의학', '1.19']
['3188', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1967****', '*************', '*************', 'daum.net', '천주교', '한국외국어대학교', '교육', '4.17']
['10972', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1967****', '*************', '*************', 'yahoo.com', '무교', '서울과학기술대학교', '공학', '1.84']
['27690', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1967****', '*************', '*************', 'yahoo.com', '불교', '명지대학교', '법학', '0.54']
['10857', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'daum.net', '무교', '성균관대학교', '의학', '2.58']
['18564', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1968****', '*************', '*************', 'yahoo.com', '기독교', '서울여자대학교', '법학', '2']
['19309', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1968****', '*************', '*************', 'yahoo.com', '무교', '육군사관학교', '예체능', '4.16']
['25093', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'gmail.com', '무교', '감리교신학대학교', '사회', '1.37']
['29666', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1968****', '*************', '*************', 'naver.com', '천주교', '동국대학교', '공학', '2.02']
['8401', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'naver.com', '무교', '한국예술종합학교', '법학', '0.09']
['12009', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1968****', '*************', '*************', 'daum.net', '무교', '총신대학교', '공학', '0.28']
['14444', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1968****', '*************', '*************', 'daum.net', '무교', '성신여자대학교', '자연', '1.28']
['22243', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'yahoo.com', '무교', '한국예술종합학교', '인문', '2.69']
['28365', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1968****', '*************', '*************', 'naver.com', '무교', '경기대학교', '법학', '3.18']
['39546', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'naver.com', '불교', '한국예술종합학교', '자연', '3.9']
['277', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'B형', '1969****', '*************', '*************', 'gmail.com', '천주교', '한국체육대학교', '법학', '4.1']
['15789', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'AB형', '1969****', '*************', '*************', 'gmail.com', '기독교', '광운대학교', '법학', '2.73']
['3971', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1969****', '*************', '*************', 'gmail.com', '천주교', '육군사관학교', '예체능', '3.22']
['33292', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1969****', '*************', '*************', 'yahoo.com', '무교', '국민대학교', '교육', '0.19']
['17758', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1969****', '*************', '*************', 'daum.net', '불교', '한국방송통신대학교', '예체능', '2.18']
['28161', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1969****', '*************', '*************', 'gmail.com', '무교', '감리교신학대학교', '법학', '3.29']
['31532', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1969****', '*************', '*************', 'daum.net', '무교', '장로회신학대학교', '교육', '1.88']
['39270', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1969****', '*************', '*************', 'daum.net', '무교', '서울시립대학교', '인문', '1.94']
['6615', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1970****', '*************', '*************', 'yahoo.com', '무교', '한영신학대학교', '자연', '0.97']
['16349', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1970****', '*************', '*************', 'daum.net', '불교', '광운대학교', '공학', '2.3']
['18227', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1970****', '*************', '*************', 'daum.net', '천주교', '건국대학교', '의학', '0.77']
['18637', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1970****', '*************', '*************', 'gmail.com', '기독교', '서울기독대학교', '예체능', '1.24']
['29742', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1970****', '*************', '*************', 'naver.com', '불교', '서울시립대학교', '법학', '3.64']
