CORRECT LIST
['12982', '김**', '여성', '[150.0, 160.0[', '[40.0, 50.0[', 'B형', '1951****', '*************', '*************', 'daum.net', '무교', '164.222.180.218', '0a:ec:65:a7:b7:95']
['19957', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1946****', '*************', '*************', 'naver.com', '무교', '122.252.176.63', 'f2:c3:47:1a:fa:45']
['24297', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1946****', '*************', '*************', 'yahoo.com', '무교', '251.23.221.73', '1d:a6:3b:0b:f2:de']
['31777', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'naver.com', '무교', '213.146.4.34', 'ef:6a:4a:af:94:ce']
['28867', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1946****', '*************', '*************', 'gmail.com', '불교', '48.180.213.39', '72:fc:4d:43:87:b9']
['34642', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'yahoo.com', '무교', '197.167.125.211', '7a:7c:b4:24:34:c5']
['4292', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1947****', '*************', '*************', 'yahoo.com', '불교', '193.110.38.140', 'b1:b2:f3:6c:74:07']
['20373', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1947****', '*************', '*************', 'naver.com', '기독교', '160.47.173.250', '6f:8a:ac:1d:fa:ba']
['27308', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1947****', '*************', '*************', 'gmail.com', '불교', '146.116.26.74', '6f:9c:37:e9:fc:59']
['38597', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'naver.com', '무교', '217.67.119.61', '69:62:18:c5:b5:1a']
['19179', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'daum.net', '무교', '30.244.222.46', 'c9:e3:fd:00:6d:fe']
['39530', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'naver.com', '기독교', '38.182.131.243', '3f:47:78:ae:47:1b']
['19389', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1947****', '*************', '*************', 'naver.com', '기독교', '188.33.53.230', '83:a2:d8:28:45:be']
['18506', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1947****', '*************', '*************', 'naver.com', '무교', '70.241.109.117', '4c:f2:69:35:a7:30']
['33640', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'yahoo.com', '기독교', '69.112.209.30', 'f9:c9:3f:c5:2e:4c']
['20847', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1948****', '*************', '*************', 'yahoo.com', '무교', '155.55.97.239', '85:1b:c2:2c:51:05']
['28427', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1948****', '*************', '*************', 'gmail.com', '천주교', '242.216.52.226', 'e1:73:6a:40:45:b9']
['27775', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1948****', '*************', '*************', 'gmail.com', '무교', '255.7.245.128', '7a:dd:8d:5b:f7:37']
['31353', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1948****', '*************', '*************', 'yahoo.com', '불교', '151.14.250.61', '6b:46:3d:df:86:18']
['38988', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1948****', '*************', '*************', 'gmail.com', '기독교', '166.160.205.39', 'f1:6e:31:07:85:bb']
['23365', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1948****', '*************', '*************', 'daum.net', '불교', '145.108.251.181', '78:0e:f7:b6:e8:e7']
['30365', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1948****', '*************', '*************', 'yahoo.com', '기독교', '204.151.146.93', 'd4:aa:d4:d4:61:ae']
['1260', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1948****', '*************', '*************', 'naver.com', '불교', '99.32.174.223', 'f2:5b:37:79:a4:7c']
['32461', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1948****', '*************', '*************', 'gmail.com', '불교', '21.247.53.23', 'e6:41:2f:cd:43:9f']
['15783', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1949****', '*************', '*************', 'gmail.com', '무교', '194.45.43.154', '50:12:39:bb:9e:b5']
['23866', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1949****', '*************', '*************', 'naver.com', '기독교', '160.187.149.2', 'b3:4b:c7:61:74:d0']
['25165', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1949****', '*************', '*************', 'gmail.com', '무교', '91.74.117.51', '24:2c:ec:85:13:a6']
['37970', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1949****', '*************', '*************', 'daum.net', '무교', '73.242.231.2', '21:dc:e5:64:c3:78']
['39882', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1949****', '*************', '*************', 'daum.net', '무교', '115.139.151.255', '2c:fa:f8:dd:05:a0']
['35599', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1949****', '*************', '*************', 'gmail.com', '불교', '229.43.166.247', '1a:8b:02:df:d6:16']
['2350', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1949****', '*************', '*************', 'gmail.com', '불교', '250.2.25.6', '0e:4c:1d:6a:53:d9']
['18193', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1949****', '*************', '*************', 'yahoo.com', '불교', '50.95.131.230', 'f3:85:3a:32:57:e3']
['26986', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1949****', '*************', '*************', 'naver.com', '무교', '59.99.100.176', '5b:42:38:1e:55:65']
['32152', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1949****', '*************', '*************', 'yahoo.com', '기독교', '134.249.2.251', '58:a2:45:0f:43:e6']
['406', '이**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1949****', '*************', '*************', 'gmail.com', '불교', '160.190.241.112', '9f:18:10:eb:90:5b']
['24246', '이**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1949****', '*************', '*************', 'naver.com', '무교', '214.57.87.128', '5d:68:dc:3d:69:2c']
['30952', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1950****', '*************', '*************', 'gmail.com', '불교', '232.195.73.26', '86:57:4c:9b:a4:1a']
['5204', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1950****', '*************', '*************', 'daum.net', '무교', '115.38.165.83', 'f3:15:02:82:28:e9']
['8871', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1950****', '*************', '*************', 'yahoo.com', '천주교', '76.85.177.49', '9e:26:48:f9:ed:37']
['23864', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1950****', '*************', '*************', 'naver.com', '기독교', '182.34.188.16', '58:65:ae:82:a4:78']
['2890', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'A형', '1951****', '*************', '*************', 'naver.com', '무교', '175.150.185.165', 'a7:cd:e5:8a:b8:0a']
['5558', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'B형', '1951****', '*************', '*************', 'gmail.com', '천주교', '93.128.135.244', '03:eb:3c:1f:ec:5d']
['6974', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1951****', '*************', '*************', 'naver.com', '무교', '174.234.223.130', 'b4:ed:21:31:38:e6']
['12934', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1951****', '*************', '*************', 'naver.com', '기독교', '46.15.154.183', '57:be:e1:f1:bf:fa']
['33560', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1951****', '*************', '*************', 'yahoo.com', '무교', '11.197.195.226', 'c7:20:3a:53:11:91']
['34220', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1951****', '*************', '*************', 'daum.net', '기독교', '156.52.29.43', 'ec:ee:c2:e5:24:9d']
['6727', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1952****', '*************', '*************', 'yahoo.com', '기독교', '173.187.144.12', '59:c1:a1:3c:25:6a']
['13776', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1952****', '*************', '*************', 'yahoo.com', '무교', '210.8.87.171', '91:1a:4e:a0:bf:ed']
['27835', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1952****', '*************', '*************', 'gmail.com', '무교', '142.31.85.180', 'fa:04:1d:6d:1a:06']
['29250', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1952****', '*************', '*************', 'naver.com', '무교', '175.234.187.68', 'c2:ef:ac:e7:9b:1d']
['36282', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1952****', '*************', '*************', 'daum.net', '무교', '80.55.79.72', '59:e1:d1:80:72:e1']
['20306', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1952****', '*************', '*************', 'yahoo.com', '무교', '51.132.57.81', '2b:f1:88:c2:07:b2']
['38421', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1952****', '*************', '*************', 'naver.com', '무교', '52.226.127.56', 'ee:1e:99:2d:ab:57']
['10730', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1952****', '*************', '*************', 'gmail.com', '무교', '246.73.144.13', '0a:a1:6e:7d:a3:fb']
['29516', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1952****', '*************', '*************', 'gmail.com', '무교', '220.184.30.238', '1a:0a:9f:be:14:b6']
['2509', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1952****', '*************', '*************', 'daum.net', '무교', '78.57.12.255', 'a8:d8:da:b6:0a:9a']
['6279', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1953****', '*************', '*************', 'naver.com', '불교', '80.45.226.92', '51:21:59:26:d0:26']
['6634', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1953****', '*************', '*************', 'yahoo.com', '무교', '46.66.133.116', 'fa:32:60:03:2c:70']
['17880', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1953****', '*************', '*************', 'gmail.com', '무교', '135.44.119.117', '31:40:ec:67:c4:37']
['24378', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1953****', '*************', '*************', 'daum.net', '무교', '162.31.142.122', '0a:3b:86:6b:36:c7']
['32772', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1953****', '*************', '*************', 'gmail.com', '기독교', '189.202.146.128', '8e:52:e2:92:4f:93']
['22034', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1953****', '*************', '*************', 'yahoo.com', '기독교', '12.78.135.241', 'f4:51:7d:24:b8:04']
['24459', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1953****', '*************', '*************', 'gmail.com', '기독교', '198.150.193.65', '52:c3:de:ad:d2:cd']
['33948', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1953****', '*************', '*************', 'gmail.com', '불교', '174.199.251.94', '3d:35:fa:1a:25:a6']
['11532', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1954****', '*************', '*************', 'naver.com', '무교', '194.253.209.235', 'fe:1a:50:4e:d1:92']
['29057', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1954****', '*************', '*************', 'daum.net', '불교', '248.84.177.172', 'e7:8c:fe:5c:81:78']
['39401', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'yahoo.com', '불교', '23.8.232.205', '85:f2:8c:68:73:06']
['30323', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'yahoo.com', '무교', '96.95.218.70', '94:3e:fa:f1:e9:d1']
['8594', '박**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'B형', '1954****', '*************', '*************', 'yahoo.com', '천주교', '246.145.72.137', '3d:5b:e1:89:4b:3f']
['11896', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'yahoo.com', '불교', '31.148.142.108', '29:0c:d9:a6:fc:a2']
['15216', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'gmail.com', '무교', '111.164.200.227', '80:21:8b:64:79:4b']
['18516', '장**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1954****', '*************', '*************', 'yahoo.com', '무교', '255.80.147.55', 'c0:88:7f:6b:62:21']
['3263', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1955****', '*************', '*************', 'gmail.com', '불교', '221.87.48.65', '0d:33:77:e0:e5:8d']
['6193', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1955****', '*************', '*************', 'yahoo.com', '불교', '253.189.66.106', '50:9b:16:61:62:9d']
['7944', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1955****', '*************', '*************', 'gmail.com', '불교', '15.171.221.192', 'c0:2d:6a:c4:19:e3']
['37448', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1955****', '*************', '*************', 'naver.com', '무교', '249.194.194.152', '30:cc:92:b1:89:6b']
['11341', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1955****', '*************', '*************', 'yahoo.com', '천주교', '104.203.178.200', '5b:7a:9a:36:1a:3e']
['15843', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1955****', '*************', '*************', 'yahoo.com', '무교', '217.140.191.25', 'ae:d3:5a:98:d5:67']
['17874', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1955****', '*************', '*************', 'naver.com', '불교', '224.43.100.121', 'f4:5c:b2:44:c3:fd']
['296', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1955****', '*************', '*************', 'gmail.com', '기독교', '242.129.206.73', '05:1e:58:f7:c4:36']
['13291', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1956****', '*************', '*************', 'naver.com', '무교', '193.251.232.37', '3b:2e:db:f5:f5:60']
['31640', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1956****', '*************', '*************', 'naver.com', '천주교', '190.87.163.199', '21:db:6a:36:ac:80']
['26618', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1956****', '*************', '*************', 'yahoo.com', '불교', '164.243.132.72', '9d:08:4c:e1:ee:f8']
['34668', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1956****', '*************', '*************', 'naver.com', '무교', '66.47.175.43', 'c8:3f:d6:b4:3e:61']
['19151', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1956****', '*************', '*************', 'daum.net', '천주교', '33.15.186.91', 'ca:00:df:05:d5:ab']
['22777', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1956****', '*************', '*************', 'daum.net', '기독교', '213.178.16.155', 'f0:5c:66:28:5e:d0']
['10281', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'daum.net', '무교', '190.141.37.58', '1d:4d:81:ea:0c:69']
['17944', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1957****', '*************', '*************', 'gmail.com', '기독교', '50.141.101.247', 'bc:4d:a6:0f:57:70']
['19705', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'yahoo.com', '무교', '43.177.25.36', 'a5:3e:b9:c2:18:08']
['16359', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1957****', '*************', '*************', 'daum.net', '불교', '195.89.57.11', '28:04:9b:49:fd:ce']
['960', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1957****', '*************', '*************', 'daum.net', '불교', '230.194.111.48', 'c6:21:f2:ce:a1:9d']
['23257', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'naver.com', '무교', '166.29.104.214', 'fb:f4:2d:ec:9b:b4']
['19278', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'naver.com', '기독교', '187.45.190.30', '9f:12:d6:1c:ff:2e']
['24161', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'gmail.com', '기독교', '98.84.134.148', '69:65:4e:3b:d9:9c']
['26940', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'gmail.com', '불교', '222.240.157.55', 'a3:4f:40:97:f4:6b']
['32399', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1957****', '*************', '*************', 'naver.com', '기독교', '175.149.13.53', 'd3:e1:7c:59:44:78']
['37889', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1957****', '*************', '*************', 'naver.com', '무교', '6.245.101.84', 'd6:c2:f8:16:d0:c9']
['35073', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1958****', '*************', '*************', 'daum.net', '불교', '109.115.63.126', '0c:ab:9e:c3:34:f8']
['36676', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1958****', '*************', '*************', 'gmail.com', '기독교', '147.124.70.217', '94:e5:da:d4:a8:5a']
['33455', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1958****', '*************', '*************', 'daum.net', '무교', '7.85.129.198', '8a:41:d8:7d:16:95']
['2743', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1959****', '*************', '*************', 'yahoo.com', '무교', '238.67.177.237', 'dc:04:19:93:02:ab']
['16547', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1959****', '*************', '*************', 'gmail.com', '불교', '213.102.207.59', '78:fb:cf:7a:c7:f3']
['31258', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1959****', '*************', '*************', 'yahoo.com', '불교', '111.221.219.74', '5a:3c:11:b9:3d:86']
['21569', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1959****', '*************', '*************', 'yahoo.com', '무교', '84.101.196.142', '81:8d:f0:8e:6f:52']
['33468', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1959****', '*************', '*************', 'gmail.com', '무교', '206.89.143.105', '7c:eb:41:12:5d:38']
['37896', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1959****', '*************', '*************', 'daum.net', '무교', '101.193.58.93', '83:60:7c:32:56:1c']
['38150', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1959****', '*************', '*************', 'yahoo.com', '무교', '83.105.207.252', '89:b0:79:9c:61:93']
['27999', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1960****', '*************', '*************', 'naver.com', '천주교', '253.110.105.147', 'f3:8c:6a:2a:8d:f1']
['1593', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1960****', '*************', '*************', 'daum.net', '기독교', '147.183.13.24', 'ca:ad:bf:57:94:f2']
['28543', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1960****', '*************', '*************', 'naver.com', '무교', '89.122.61.154', '57:e5:3a:3d:ce:b6']
['31039', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1960****', '*************', '*************', 'daum.net', '기독교', '150.121.251.203', 'eb:4b:9a:a4:a5:b6']
['7263', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1960****', '*************', '*************', 'daum.net', '무교', '27.243.144.133', '82:5f:c2:75:37:3d']
['14431', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1961****', '*************', '*************', 'naver.com', '불교', '138.196.213.70', '11:ab:0c:aa:cf:72']
['24283', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1961****', '*************', '*************', 'yahoo.com', '무교', '166.157.80.91', 'e8:18:1d:5e:4e:4c']
['26038', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1961****', '*************', '*************', 'daum.net', '기독교', '169.39.9.63', 'c5:04:79:72:9a:f2']
['31826', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1961****', '*************', '*************', 'yahoo.com', '무교', '169.72.59.209', '26:03:2d:6d:f6:1c']
['24125', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1961****', '*************', '*************', 'daum.net', '불교', '209.88.154.196', '96:e5:1d:a5:e7:99']
['36578', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1962****', '*************', '*************', 'yahoo.com', '기독교', '255.72.4.63', '1e:1f:8f:75:56:f8']
['1764', '류**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1962****', '*************', '*************', 'naver.com', '천주교', '104.151.147.142', 'c1:bd:e2:49:a4:6f']
['15000', '류**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1962****', '*************', '*************', 'yahoo.com', '무교', '181.47.124.236', 'fd:22:51:a5:18:94']
['15985', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1962****', '*************', '*************', 'yahoo.com', '무교', '161.94.219.19', '9f:7c:4a:c2:2f:ba']
['21325', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1962****', '*************', '*************', 'yahoo.com', '불교', '133.9.171.187', 'f4:15:97:a5:3b:b2']
['34940', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1962****', '*************', '*************', 'gmail.com', '기독교', '164.26.80.26', '7d:1a:5f:18:98:33']
['4661', '김**', '여성', '[140.0, 150.0[', '[50.0, 60.0[', 'AB형', '1963****', '*************', '*************', 'yahoo.com', '무교', '253.167.60.114', '4d:ca:76:92:91:14']
['4312', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1963****', '*************', '*************', 'yahoo.com', '무교', '228.207.183.217', '6c:80:a8:c6:53:41']
['5031', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1963****', '*************', '*************', 'naver.com', '기독교', '146.153.79.233', '53:5a:cc:2c:ab:f7']
['36859', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1963****', '*************', '*************', 'naver.com', '불교', '128.250.226.132', '03:1f:8a:54:50:41']
['3532', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1963****', '*************', '*************', 'yahoo.com', '무교', '67.193.11.190', 'f9:5d:5e:cb:36:e0']
['5307', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1963****', '*************', '*************', 'naver.com', '불교', '84.215.212.255', '48:31:b8:59:b8:a4']
['8981', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1963****', '*************', '*************', 'daum.net', '기독교', '235.237.166.128', 'f8:39:60:6a:82:4d']
['36232', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1963****', '*************', '*************', 'daum.net', '무교', '68.201.126.33', '8a:7b:24:5e:4b:45']
['39045', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1963****', '*************', '*************', 'daum.net', '불교', '100.53.211.93', 'ff:d3:70:77:3f:7f']
['4043', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1963****', '*************', '*************', 'daum.net', '무교', '23.244.129.25', '1a:18:99:33:f7:90']
['33294', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1963****', '*************', '*************', 'daum.net', '불교', '49.182.61.27', '41:52:ba:be:c3:f1']
['26738', '조**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1963****', '*************', '*************', 'gmail.com', '무교', '92.208.241.174', 'a3:7e:d7:68:5e:a5']
['15793', '권**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1964****', '*************', '*************', 'naver.com', '불교', '250.75.224.20', '6f:47:b2:61:1c:5d']
['29885', '권**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1964****', '*************', '*************', 'naver.com', '불교', '38.76.88.199', 'dc:32:25:83:c6:05']
