No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,주거래은행,계좌번호,신용등급
311,한서진,여성,157.8,55.4,B형,19550627,010-0866-1189,d7zwqt4yzj824,naver.com,불교,국민은행,402128-93-445018,3
316,주우희,여성,155.0,53.7,O형,19750821,010-9294-0837,hwlse2pgj88,gmail.com,불교,우리은행,1140-246-266543,2
331,이협택,여성,154.9,58.8,A형,19900623,010-0727-2104,r2r3ln5s,yahoo.com,무교,국민은행,958651-25-938192,5
332,기택희,남성,167.1,66.6,B형,19930104,010-0206-8160,bt3zvau05,gmail.com,무교,새마을금고,6-14126380724-3,5
335,이정택,여성,160.0,56.4,AB형,19710214,010-8824-9079,ym5mhqknoaypw,gmail.com,무교,새마을금고,2-47936761713-7,2
337,정우남,여성,157.3,52.4,AB형,19510929,010-9637-1729,ibg6ez6gi,gmail.com,기독교,하나은행,884-454013-04088,7
343,이훈진,여성,148.5,50.2,B형,19830816,010-8178-5107,qxiy9m,yahoo.com,기독교,국민은행,115676-56-776424,3
354,박용지,여성,147.3,53.5,O형,19910702,010-9478-1500,wk0ys8x8jgsbe,yahoo.com,무교,NH농협,953-4283-843-65,9
399,함준종,여성,156.7,54.5,A형,19850401,010-7705-3259,p5hvqxi,daum.net,무교,기업은행,013-071812-47-450,2
408,류훈영,남성,163.2,68.6,O형,19880520,010-7349-3551,ag0qizhgdquq,gmail.com,천주교,한국씨티은행,763-614425-407,3
414,김용영,여성,149.9,51.3,AB형,19850102,010-5384-9581,i3u8j4m,gmail.com,천주교,스탠다드(제일),192-86-001278,2
441,김종서,남성,175.7,65.6,O형,19890204,010-3189-3190,blg0gjqpcv,gmail.com,불교,하나은행,124-641012-73154,1
442,이상석,남성,160.4,65.8,A형,19660105,010-7539-8705,o5bgtk9am7r,naver.com,무교,NH농협,342-4271-236-38,6
456,김덕용,남성,170.5,67.5,B형,19960415,010-8974-4652,sc94pyhtyyd,daum.net,기독교,한국씨티은행,067-218766-006,9
464,이상준,여성,164.0,58.1,A형,19650425,010-1068-1114,f5oi2z06vb,naver.com,기독교,신한은행,079-501-925526,9
471,김은우,남성,169.4,67.7,B형,19710603,010-1510-7517,wrcb9jyekugu,gmail.com,무교,우리은행,3388-570-833593,1
476,조훈우,여성,146.4,51.7,O형,19790403,010-0515-0435,ysyjzi152,yahoo.com,기독교,수협중앙회,5219-7827-7434,5
488,이현남,여성,149.5,55.9,AB형,19930426,010-9522-7830,bg28nvtxn,daum.net,불교,NH농협,373-9198-383-18,7
507,김훈협,여성,163.4,51.7,B형,19670812,010-3780-6321,lkvoe5q,daum.net,기독교,NH농협,997-8829-435-99,5
510,신덕희,여성,151.8,45.6,AB형,19961008,010-5994-8141,sazzm36b,naver.com,무교,스탠다드(제일),256-87-968143,4
526,한덕용,여성,155.1,55.7,O형,19870828,010-6021-4674,hxemebf,yahoo.com,무교,기업은행,351-741289-20-020,7
539,조우정,남성,164.0,67.6,B형,19830116,010-1547-7312,iwabqyak7tf,gmail.com,무교,새마을금고,9-65630835550-1,1
558,김서은,남성,171.2,65.9,AB형,19810928,010-7108-8867,w4u9qm53oo3p,gmail.com,불교,국민은행,547341-54-594105,7
560,이우현,남성,169.9,69.0,A형,19930318,010-8840-7267,dyynsof,daum.net,무교,하나은행,414-849772-63712,5
567,이성남,여성,161.7,64.3,A형,19900726,010-9458-8504,ra1og2o,daum.net,무교,스탠다드(제일),355-62-593997,1
574,조지용,여성,161.6,57.8,O형,19490106,010-7172-1509,h6c95dnr,daum.net,무교,한국씨티은행,213-918736-124,9
575,강택현,여성,156.1,55.8,B형,19630806,010-5223-1212,wnzeu0i3s33t,yahoo.com,천주교,신한은행,451-553-627935,3
577,윤남은,남성,179.1,69.7,B형,19690519,010-8066-8953,jzpz75xsjii,daum.net,무교,새마을금고,1-20928480038-0,3
592,박용종,남성,182.2,65.7,A형,19551228,010-3399-0408,bvk36l7,daum.net,무교,기업은행,438-308953-62-335,2
599,정현준,여성,161.0,54.9,A형,19820821,010-7389-3962,ixwsjef5ld7,naver.com,불교,NH농협,456-8092-327-66,1
600,김진정,남성,171.2,67.9,O형,19640930,010-4822-0402,fmoxo8lcqadi7,daum.net,무교,새마을금고,9-39315049729-4,3
603,박준우,남성,176.0,63.6,O형,19500630,010-8947-6492,h859rvry9apo,gmail.com,무교,외환은행,769-275151-287,1
605,홍은지,여성,147.0,56.7,B형,19491014,010-6525-9175,um8uv753k2me,yahoo.com,무교,국민은행,482347-86-091560,7
607,김정용,남성,173.8,73.2,O형,19761231,010-9222-8209,b8khmcqzgbk,naver.com,불교,스탠다드(제일),967-37-937791,8
611,류정협,여성,153.2,57.7,B형,19621023,010-7196-0976,ginw21u,daum.net,기독교,하나은행,158-429727-49417,7
613,하상용,남성,171.6,70.8,O형,19860617,010-7927-2259,r42n4oaf6f,daum.net,무교,스탠다드(제일),618-20-942278,6
622,전지은,여성,159.5,57.5,O형,19631020,010-9402-2459,t4fp995si,daum.net,기독교,스탠다드(제일),141-61-004628,7
626,육택준,여성,153.6,50.4,B형,19620825,010-5748-3769,dl2asdhhx,yahoo.com,기독교,수협중앙회,4730-1328-4232,4
637,한우석,여성,158.2,46.9,A형,19880702,010-6559-4757,qthi0z59tpp2,gmail.com,불교,우리은행,8122-240-015719,1
641,박덕정,여성,156.6,50.1,O형,19481012,010-3756-5702,w0es1pop76f3t,yahoo.com,무교,NH농협,265-6428-303-19,2
655,최협석,남성,175.0,58.0,B형,19690315,010-9593-4824,pwvnm714nf6,naver.com,무교,외환은행,854-995776-710,2
660,김은정,남성,172.9,67.7,B형,19660311,010-3632-3002,gif8gccomy8,daum.net,무교,스탠다드(제일),644-96-619809,5
673,최덕지,여성,155.3,56.9,A형,19750820,010-9198-3149,o4p9k11,gmail.com,불교,수협중앙회,4719-1550-8694,4
688,송현훈,여성,159.0,54.2,O형,19940612,010-1345-5947,jdfy6pi,gmail.com,천주교,NH농협,449-7607-853-45,8
707,백덕준,여성,159.8,60.3,O형,19540604,010-1111-7055,j40ncgi1tr7s,yahoo.com,불교,스탠다드(제일),618-74-915147,4
709,최서희,남성,170.4,70.5,AB형,19840709,010-1053-9755,j1axezdd,daum.net,불교,새마을금고,8-16660548627-6,5
718,윤훈용,여성,148.8,51.1,A형,19930801,010-7105-7060,lhzu8zkjfxonc,yahoo.com,무교,NH농협,148-9360-309-80,3
724,천훈남,여성,152.3,66.6,O형,19800824,010-4708-4899,k49tgdfwzxpxu,yahoo.com,기독교,신한은행,542-050-764605,8
731,강서현,여성,160.4,52.1,A형,19610427,010-8067-9594,wxopa655g6nf,yahoo.com,불교,스탠다드(제일),680-60-824906,3
739,한상현,여성,159.9,60.8,A형,19821024,010-5894-0279,gec98rz81a,naver.com,불교,수협중앙회,7056-5626-5482,5
747,임석상,남성,172.2,66.1,O형,19740902,010-0931-3701,jj5kpgo7c,naver.com,기독교,국민은행,886087-44-346026,1
755,임종영,여성,167.4,55.4,B형,19690512,010-5221-8270,wks1qg07c666,daum.net,천주교,신한은행,153-111-258274,5
757,정남현,여성,155.7,56.4,B형,19810213,010-9503-0234,snfoxj37y9sx,yahoo.com,기독교,기업은행,162-567977-34-208,8
774,박훈지,여성,158.5,55.6,A형,19940624,010-9263-5665,zlrhv8ijc5sm,yahoo.com,기독교,기업은행,554-590389-50-111,5
782,전지준,남성,170.5,64.8,B형,19760914,010-4855-3801,arufblmcb9u,yahoo.com,기독교,우리은행,0600-456-240603,9
793,이훈정,남성,171.8,67.9,B형,19660121,010-7992-5891,y8rpbog5f,naver.com,기독교,NH농협,948-3641-979-86,5
796,조성석,남성,171.4,66.8,O형,19530414,010-6899-5660,x20ob7qdhges,naver.com,무교,외환은행,844-111099-637,4
799,강우지,남성,167.1,63.7,O형,19750312,010-5668-9520,re62b2s4,yahoo.com,기독교,외환은행,068-822162-999,8
800,남성지,여성,155.8,58.6,A형,19611227,010-7878-2286,z636kamhsd,daum.net,무교,하나은행,964-793064-58170,9
806,이은진,여성,165.0,56.4,O형,19530124,010-8966-4375,xn27oy4gpao7,yahoo.com,불교,국민은행,148380-32-527489,2
838,박훈영,남성,169.8,60.1,O형,19600105,010-5585-2706,t9mnb6bkdl5p,yahoo.com,기독교,수협중앙회,2772-1365-2646,6
839,유서은,남성,165.6,67.9,A형,19731212,010-8402-6220,gen66dzumwe,gmail.com,무교,국민은행,585609-42-014562,2
847,신지진,남성,170.8,56.0,AB형,19760330,010-7385-5129,v5d2bm,gmail.com,기독교,한국씨티은행,300-407491-020,9
848,박우덕,여성,159.7,59.1,AB형,19571229,010-4885-5730,vem09pbczl4j,daum.net,불교,외환은행,486-396713-097,8
851,이은용,남성,175.9,65.3,A형,19940326,010-3505-1254,irdpmxzxaglm6,daum.net,불교,하나은행,947-297078-07578,6
852,이준훈,여성,153.1,59.7,B형,19961219,010-6192-4188,j4e8vt,gmail.com,기독교,기업은행,080-332991-32-678,7
853,이성덕,남성,167.3,64.1,O형,19710917,010-9790-3140,syrt4ya7950p0,gmail.com,무교,NH농협,685-2655-709-79,7
857,김현정,남성,170.6,62.2,B형,19590914,010-0835-7873,cqblk22lk,yahoo.com,불교,새마을금고,2-69045278678-5,7
858,황훈희,여성,160.8,51.4,O형,19930701,010-6204-8197,ofn38mhipsbqw,gmail.com,불교,스탠다드(제일),007-49-647978,2
866,김정우,남성,171.1,71.2,AB형,19690528,010-2100-2610,uirpcervo,yahoo.com,무교,기업은행,597-704024-87-663,1
894,박택서,남성,171.2,69.7,O형,19661215,010-9193-7354,b0b7bkz,gmail.com,무교,한국씨티은행,705-384425-404,4
899,신남지,남성,175.2,66.1,O형,19740726,010-3977-7038,prnl3dcay,daum.net,기독교,스탠다드(제일),300-33-210198,5
907,윤서협,여성,158.4,52.5,O형,19520116,010-8344-8106,h44un3tk08wtg,daum.net,불교,한국씨티은행,058-752031-058,9
908,김택희,여성,152.6,51.9,A형,19900612,010-1749-2278,t5xbpc4l6olx9,yahoo.com,불교,외환은행,852-837005-983,3
921,이현용,여성,155.4,55.2,A형,19780321,010-4671-8617,y1xuwa,naver.com,기독교,신한은행,324-794-556968,2
936,노종용,남성,169.1,63.5,A형,19610119,010-9902-6784,aym8y1o,gmail.com,무교,기업은행,324-812795-59-316,7
937,박훈우,여성,158.3,50.5,O형,19790811,010-7568-9997,zgse3kk,gmail.com,무교,한국씨티은행,662-516358-358,9
939,이지택,여성,150.4,55.2,A형,19611114,010-2332-1602,xryzv9w05suf3,yahoo.com,기독교,신한은행,545-341-504528,3
940,류석성,남성,165.9,67.6,A형,19830118,010-5951-8888,gxnzt3y6g,daum.net,기독교,스탠다드(제일),722-98-276206,8
941,이훈준,남성,175.4,70.7,B형,19770716,010-7658-9666,sbonsku38zj,naver.com,무교,새마을금고,8-65898888418-6,1
944,엄우덕,남성,161.2,61.3,A형,19800123,010-8549-0423,i88n759whl,naver.com,무교,신한은행,000-673-059218,4
969,이종지,여성,153.4,57.8,A형,19560629,010-6560-4417,hokrcv0cwipdp,yahoo.com,무교,새마을금고,1-33094070726-4,7
984,이현지,남성,167.0,68.3,A형,19650220,010-0574-6466,nta61nu1d,daum.net,불교,외환은행,564-401127-533,4
988,이협서,남성,176.3,68.2,AB형,19760415,010-8786-9167,pzbtcqb11q50,daum.net,무교,신한은행,987-290-006950,6
1007,박덕훈,남성,164.0,71.0,AB형,19550923,010-8128-4245,oo2nquhrdxb,yahoo.com,기독교,한국씨티은행,718-735942-260,4
1022,장성정,여성,161.0,54.2,A형,19490124,010-9815-7417,ilowvqau,naver.com,기독교,신한은행,687-393-655840,2
1027,김진은,남성,173.7,63.9,O형,19470319,010-6208-1699,eq04qeoh,naver.com,천주교,한국씨티은행,321-719432-490,9
1028,김희훈,남성,174.4,69.3,B형,19821217,010-7115-5257,m1ge8q1rkz43,yahoo.com,불교,하나은행,324-495336-91932,4
1033,정남서,여성,159.8,47.9,A형,19870224,010-4087-8768,cbol9vm,yahoo.com,무교,신한은행,611-850-418078,9
1037,신희정,남성,171.6,68.0,O형,19600620,010-5096-7665,si70rh345,naver.com,무교,국민은행,653347-65-342970,8
1042,이지현,남성,171.9,66.7,AB형,19810423,010-9927-5267,lz1p87mme,gmail.com,불교,새마을금고,3-62137376050-9,1
1048,박남지,여성,159.8,63.2,B형,19731231,010-0537-3174,ipimrqqaojt6,gmail.com,무교,하나은행,477-222160-67607,7
1055,이은성,여성,156.4,48.8,B형,19651214,010-7449-2388,lw9qtqjs1gm24,gmail.com,기독교,신한은행,545-582-455739,6
1061,이은현,남성,173.4,73.2,AB형,19880327,010-6278-5544,jeljgg76y62j3,gmail.com,기독교,새마을금고,3-89514328862-5,4
1076,김영준,여성,152.8,59.7,O형,19710207,010-7092-2913,e3zep5,yahoo.com,불교,스탠다드(제일),193-89-190858,8
1083,김성택,남성,169.7,68.2,AB형,19511226,010-8978-1855,nzwa17o1g8oz,gmail.com,천주교,우리은행,9360-793-952420,4
1107,장지진,남성,171.5,68.4,O형,19741027,010-6442-6298,ijf1q21t,naver.com,기독교,NH농협,672-7861-732-64,6
1115,권현남,여성,163.2,59.4,A형,19950512,010-7129-6983,cxcim3,daum.net,무교,새마을금고,4-42010342748-9,4
1127,김용은,여성,156.6,55.4,AB형,19680519,010-1836-2247,nyom2rc8iu00,naver.com,무교,스탠다드(제일),929-44-626660,7
1129,박종희,남성,170.3,69.8,O형,19520712,010-5314-7473,cdh4o2t31,gmail.com,무교,NH농협,259-3186-509-97,3
1144,김희우,남성,171.7,66.6,B형,19890509,010-9396-2823,bz0lijz5l,daum.net,불교,신한은행,016-593-896675,1
1153,이남서,여성,146.8,60.9,O형,19590214,010-9603-2776,x20wzlx58,gmail.com,무교,수협중앙회,3738-4416-0927,1
1161,김덕협,여성,153.1,57.8,B형,19830702,010-5177-8660,o4k9pr5,daum.net,기독교,하나은행,750-869933-81454,7
1166,황지준,여성,155.0,49.9,B형,19650409,010-1762-8880,gwqftegrok5,gmail.com,불교,NH농협,227-2591-001-75,1
1167,류준희,남성,159.2,66.5,O형,19750911,010-6113-6961,g0n9iosn,naver.com,무교,NH농협,097-8252-635-74,6
1179,함성서,여성,142.6,45.1,O형,19830811,010-3833-1692,zsh5d0n,naver.com,기독교,국민은행,449797-75-152624,4
1180,송진은,남성,179.2,63.2,O형,19911101,010-2334-2616,q2woxicud,naver.com,무교,외환은행,998-738994-205,2
1191,방진용,여성,153.8,53.4,O형,19771118,010-7650-4965,x63jfpbij,yahoo.com,기독교,스탠다드(제일),291-66-159490,1
1206,김남덕,남성,168.8,71.5,A형,19481222,010-6514-4520,gwtqvyv,naver.com,기독교,수협중앙회,9587-9137-9293,6
1221,주준서,남성,174.5,61.5,AB형,19620627,010-4518-2810,ghuz2hw,yahoo.com,무교,스탠다드(제일),569-21-878988,7
1224,김덕훈,남성,174.3,60.4,O형,19531004,010-1502-9537,cin4uii,naver.com,무교,국민은행,474759-29-555611,4
1229,전준성,남성,167.1,71.1,A형,19571230,010-1006-4544,dhw8ict,yahoo.com,불교,새마을금고,0-64471072858-9,3
1252,조진용,남성,171.5,62.0,A형,19781128,010-2409-5542,dm9kmloa,daum.net,기독교,우리은행,3494-799-039670,4
1257,김서훈,남성,165.7,65.8,O형,19540830,010-7699-4622,dcn5vpl,daum.net,무교,우리은행,2545-211-720284,5
1313,임상서,여성,156.7,51.3,AB형,19560331,010-5026-5313,juenrb,naver.com,무교,신한은행,046-717-954802,7
1314,박준용,여성,153.2,57.1,B형,19490103,010-1530-6804,pvmnqb7bwaakg,yahoo.com,불교,수협중앙회,9149-6457-9082,6
1321,주우지,남성,170.2,68.9,O형,19661229,010-8515-7856,i6l3ot3,daum.net,불교,스탠다드(제일),942-20-961149,5
1335,정서은,여성,152.7,51.2,B형,19791031,010-9369-4977,uh9tdwib5jq,naver.com,무교,하나은행,913-126769-39237,2
1340,김협지,남성,170.8,65.0,AB형,19921102,010-3202-7210,l9bkla4o,gmail.com,천주교,외환은행,619-903203-726,1
1354,신용은,여성,159.2,52.9,B형,19790820,010-6273-6538,ukn5mp7zt,daum.net,기독교,신한은행,235-514-841145,5
1362,김지진,여성,155.6,66.7,AB형,19610409,010-0173-2493,vyufyfmhx,yahoo.com,무교,스탠다드(제일),250-84-938747,8
1363,배은영,여성,169.1,51.4,O형,19560814,010-1765-3660,c62tq41nenj3,yahoo.com,불교,신한은행,721-659-881292,5
1367,박훈현,남성,164.6,65.5,B형,19751011,010-7021-7887,dp6cpwhd3kcw,gmail.com,무교,새마을금고,9-21586037643-0,3
1381,유택영,여성,154.3,54.3,B형,19870430,010-0365-9873,yfvkpswwo1kks,yahoo.com,불교,한국씨티은행,194-042044-980,1
1386,정남은,남성,169.7,68.4,A형,19540806,010-9957-3488,xhgo30lxb,naver.com,무교,기업은행,762-956809-92-009,4
1391,박덕지,여성,157.3,55.9,B형,19500614,010-9877-6100,c8b6j5lr,gmail.com,무교,하나은행,251-086712-18564,1
1394,최은서,남성,165.7,70.2,B형,19480312,010-8878-4065,hlgey9pkl435,gmail.com,불교,새마을금고,4-38251987864-9,2
1396,정상우,남성,154.5,70.0,B형,19900521,010-3198-4160,zttbnwtwfk6f,gmail.com,불교,기업은행,566-488580-00-302,9
1402,황진훈,여성,162.5,65.8,AB형,19910215,010-8674-4092,swy15w19zehu,gmail.com,불교,하나은행,216-297702-31872,5
1424,임용준,여성,156.0,56.3,O형,19881017,010-6798-9431,bpktxohhqrs,naver.com,천주교,하나은행,526-062581-72213,4
1431,주상택,남성,168.9,74.6,A형,19921229,010-2531-7129,xiikwqxbd2,gmail.com,불교,외환은행,698-431925-081,7
1455,송영희,여성,153.5,57.9,B형,19510820,010-7419-3353,xck3nivbh2h,gmail.com,불교,신한은행,578-247-565812,5
1468,오진상,남성,170.9,60.1,O형,19860209,010-4101-5098,zgnc9g,daum.net,불교,스탠다드(제일),081-43-538291,5
1483,송우성,남성,161.0,67.9,O형,19520309,010-6031-6247,re2gay,naver.com,무교,한국씨티은행,293-581876-559,1
1485,이서영,남성,171.0,64.9,A형,19930729,010-0132-6024,fu3njcxrzjp47,gmail.com,천주교,수협중앙회,7673-7631-3778,5
1486,김준석,남성,168.2,60.3,A형,19611124,010-8035-6590,au5hqrl6,gmail.com,천주교,기업은행,090-700231-38-846,3
1530,임영훈,남성,166.3,59.7,AB형,19720303,010-4011-0510,gbmejd,daum.net,불교,스탠다드(제일),200-50-086029,9
1534,정영준,남성,164.2,68.9,A형,19661229,010-7353-6110,ojmxvr7qc5a,gmail.com,기독교,외환은행,147-720407-077,1
1554,이덕훈,여성,162.0,61.8,A형,19470606,010-4971-8291,y33ixoncm4jn,naver.com,불교,우리은행,0396-406-984491,9
1558,김덕지,남성,177.9,65.4,O형,19560212,010-5692-4542,yie72cdgdmhj9,daum.net,기독교,NH농협,276-9566-932-61,5
1567,민희준,남성,171.9,66.0,B형,19880411,010-6551-6030,thjdbe0,naver.com,무교,새마을금고,7-41034778865-5,2
1569,한현지,남성,164.2,70.2,O형,19950916,010-6069-4901,m2gex73ff,daum.net,무교,우리은행,5556-978-144679,8
1579,황희준,남성,167.1,63.1,A형,19680320,010-7688-7435,tuvz7g63j3a5i,daum.net,기독교,한국씨티은행,605-554043-385,7
1581,신성준,남성,167.2,71.0,AB형,19470507,010-8785-4059,k1obc2aeh0t,naver.com,무교,국민은행,195565-04-040147,2
1626,김우택,여성,163.9,54.1,B형,19801103,010-8132-0785,ow2ol3d,daum.net,기독교,스탠다드(제일),440-49-712745,9
1633,이훈종,남성,167.5,68.1,O형,19770918,010-5194-4386,dpbamo,naver.com,불교,신한은행,682-211-394575,3
1637,신정덕,여성,166.4,53.8,B형,19550720,010-5723-1804,aw62icfeyoot,daum.net,기독교,새마을금고,3-93859957897-1,9
1640,배남지,남성,165.4,64.5,AB형,19680511,010-3375-8006,y5n2jr7,daum.net,불교,우리은행,9749-284-098637,5
1643,이남영,남성,166.0,69.1,A형,19870207,010-8242-1089,u1looy4nas2w5,daum.net,기독교,국민은행,703682-35-323466,5
1648,박지종,남성,162.0,69.3,A형,19690910,010-5765-6580,t4zmdsg,naver.com,무교,신한은행,562-441-281653,6
1649,오은우,남성,168.5,68.5,O형,19870904,010-6233-5121,v8icsqcky,yahoo.com,무교,NH농협,838-4878-740-26,7
1664,이희상,여성,161.5,65.7,B형,19470217,010-8860-4331,ffmix3,naver.com,무교,한국씨티은행,820-603229-998,9
1675,이훈우,여성,156.1,52.9,O형,19900426,010-5992-5048,z92ezf59fdgu,gmail.com,무교,수협중앙회,6786-7261-9795,2
1699,유희우,여성,166.2,55.9,O형,19881119,010-4536-5076,soi51wh1hr4,yahoo.com,무교,수협중앙회,1758-0486-5823,2
1723,최희지,남성,165.1,72.6,A형,19821106,010-8176-2336,ydctvo,daum.net,무교,스탠다드(제일),800-19-983896,1
1726,박서은,남성,168.7,64.5,A형,19600805,010-9788-1555,zlt72u5s,daum.net,무교,한국씨티은행,321-554915-734,2
1752,황우성,여성,156.2,71.1,AB형,19740215,010-0249-6542,bsl1ua,daum.net,무교,한국씨티은행,485-472879-138,4
1765,아성지,여성,153.3,57.8,O형,19731207,010-5639-9513,sy0r5tfksu8,gmail.com,기독교,새마을금고,4-47488257056-5,8
1771,박훈진,여성,155.9,54.1,A형,19650406,010-4759-7232,woghwsox90,naver.com,무교,새마을금고,1-83755650607-4,3
1772,이석준,여성,162.1,59.5,A형,19810719,010-9127-9454,skjbvzcdjde,daum.net,천주교,신한은행,096-218-861967,4
1774,최준은,남성,166.8,67.1,O형,19780106,010-5611-4669,p2eynjdgaigz,daum.net,무교,수협중앙회,7531-1612-9807,7
1779,오영은,남성,165.7,69.8,B형,19791001,010-8940-0532,k6dpqaj,naver.com,무교,하나은행,636-817460-58956,2
1789,임진준,남성,165.1,67.7,A형,19500723,010-0654-1481,tq6ijb23o,naver.com,무교,수협중앙회,5853-5058-2540,3
1805,정준정,여성,162.6,49.7,B형,19600307,010-3798-4182,d7nrgkemnu5,naver.com,천주교,NH농협,226-4736-493-54,8
1814,김서훈,여성,163.1,58.7,B형,19530119,010-4951-5096,c5wsysmfu8lth,gmail.com,기독교,국민은행,375366-29-580275,8
1818,양남지,여성,150.9,56.5,AB형,19641127,010-9490-2845,tx8e6zeb,gmail.com,무교,기업은행,095-966875-45-754,6
1832,이지현,여성,153.2,53.6,AB형,19721026,010-5284-0475,fbxl8pc6kv6z0,daum.net,무교,수협중앙회,3162-3041-1542,2
1839,이우종,여성,153.4,56.6,O형,19640831,010-8688-5580,v49b94e,daum.net,무교,하나은행,695-103484-23150,2
