No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,최종학력,전공,학점
435,안택영,남성,161.3,61.3,A형,19770123,010-4395-6909,ivligtw3olcz4,naver.com,불교,삼육대학교,사회,1.31
475,손용훈,남성,169.5,70.6,O형,19810702,010-1350-5043,fydchze0bdb4f,naver.com,기독교,건국대학교,법학,1.52
482,최상정,여성,154.4,54.7,AB형,19930517,010-2646-5463,s8ojw3uakcr,gmail.com,무교,서울시립대학교,의학,2
485,박덕진,남성,169.8,65.1,B형,19780120,010-5375-2514,whx3dvmv2,naver.com,불교,한국방송통신대학교,법학,1.83
487,김덕석,여성,154.1,56.9,A형,19500404,010-6000-4633,y53c7csp65can,gmail.com,불교,한영신학대학교,공학,2.71
490,김상우,남성,164.1,68.4,A형,19560920,010-1892-8150,uih0sj,naver.com,무교,성균관대학교,예체능,0.61
512,김덕우,남성,168.7,58.3,A형,19930129,010-6954-7386,jpvyp4mq72x,naver.com,불교,이화여자대학,사회,3.88
514,전협영,남성,170.5,70.3,B형,19640418,010-2680-6430,xbnqx8g,yahoo.com,무교,성신여자대학교,인문,4.13
556,채용진,남성,174.6,66.0,A형,19800502,010-1075-8964,knc5ljklhyqe,naver.com,천주교,이화여자대학,예체능,2.58
576,권훈서,남성,172.5,69.9,B형,19510117,010-3444-8567,ay2ajzxav0jh,yahoo.com,천주교,상명대학교,교육,1.27
578,김지협,여성,154.9,52.8,A형,19620629,010-4351-4596,q546ml1,gmail.com,불교,덕성자대학교,교육,2.46
582,류성우,남성,170.4,62.6,A형,19851006,010-7954-1052,jk2d2z53jl25,gmail.com,무교,감리교신학대학교,사회,0.55
598,임용정,남성,159.9,68.2,A형,19470130,010-0050-3929,s4oih58xd9o,daum.net,불교,명지대학교,예체능,2.77
603,박준우,남성,176.0,63.6,O형,19500630,010-8947-6492,h859rvry9apo,gmail.com,무교,동국대학교,의학,0.66
620,황석성,남성,173.0,65.8,B형,19751007,010-4034-5602,hyi70gnchn,yahoo.com,불교,총신대학교,자연,1.03
630,이준남,여성,160.0,59.7,B형,19690616,010-0983-8072,fha9we96rt3w,yahoo.com,천주교,서울기독대학교,예체능,2.99
634,김종우,남성,167.7,68.4,B형,19661204,010-2461-4015,tn4931aisr0yp,gmail.com,무교,한국외국어대학교,예체능,1.8
644,이용훈,남성,178.7,63.7,B형,19621229,010-6057-1490,mhe43f15skga,gmail.com,불교,한양대학교,교육,2.8
664,정협우,남성,165.4,69.7,O형,19880626,010-6607-7230,othb6ao0,gmail.com,천주교,상명대학교,자연,0.26
676,김상종,남성,158.0,68.3,O형,19730425,010-4547-9857,m7b10ce,naver.com,불교,상명대학교,의학,4
687,구지서,여성,166.5,54.1,AB형,19710216,010-1233-8475,fuwjezn35z192,yahoo.com,기독교,서울시립대학교,의학,2.83
688,송현훈,여성,159.0,54.2,O형,19940612,010-1345-5947,jdfy6pi,gmail.com,천주교,이화여자대학,교육,1.39
696,조훈준,남성,175.4,69.3,A형,19481123,010-2510-2327,e2ho8f4,yahoo.com,기독교,서울과학기술대학교,자연,1.68
700,신남희,남성,172.0,60.4,B형,19690817,010-6966-7618,pmtewo584t1i,yahoo.com,무교,숭실대학교,사회,2.7
705,오석현,여성,158.3,59.7,B형,19501025,010-8670-5118,wknb5plgjesg,daum.net,불교,광운대학교,교육,3.23
710,김협용,남성,157.7,71.2,A형,19800301,010-4585-7617,jb8qbch2l3mlj,naver.com,무교,한국예술종합학교,예체능,3.59
722,박현성,여성,153.3,55.1,O형,19680426,010-8856-1578,w8ercq,yahoo.com,불교,한영신학대학교,사회,2.4
726,윤석정,여성,145.8,60.3,A형,19860529,010-1201-5382,vfccpf,naver.com,불교,고려대학교,사회,4.45
738,기남준,남성,175.2,63.3,O형,19540305,010-5821-1411,t7x3xi1hq,gmail.com,불교,총신대학교,예체능,0.01
752,김택서,남성,167.4,67.5,O형,19901012,010-8161-4977,y7sayoizzq1,gmail.com,불교,서울여자대학교,의학,3.97
759,유덕훈,남성,177.5,70.3,A형,19680504,010-5948-6975,xhibui,gmail.com,무교,경희대학교,법학,4.26
774,박훈지,여성,158.5,55.6,A형,19940624,010-9263-5665,zlrhv8ijc5sm,yahoo.com,기독교,서울여자대학교,공학,3.63
785,정준훈,여성,161.5,57.9,A형,19840808,010-4519-5619,nawagzlnr26d,daum.net,무교,한국예술종합학교,인문,1.66
799,강우지,남성,167.1,63.7,O형,19750312,010-5668-9520,re62b2s4,yahoo.com,기독교,감리교신학대학교,의학,0.82
806,이은진,여성,165.0,56.4,O형,19530124,010-8966-4375,xn27oy4gpao7,yahoo.com,불교,한국외국어대학교,공학,2.4
845,정준협,여성,154.4,56.8,A형,19880105,010-1102-2153,lt59acp9hn,yahoo.com,무교,한국예술종합학교,의학,3.75
851,이은용,남성,175.9,65.3,A형,19940326,010-3505-1254,irdpmxzxaglm6,daum.net,불교,감리교신학대학교,의학,1.35
875,한준은,여성,153.0,53.8,O형,19550710,010-5229-0569,zk9r7fzxm8g6,daum.net,무교,세종대학교,의학,2.99
883,김덕정,남성,166.6,61.2,AB형,19870523,010-0971-2323,m14dbx75w5i19,yahoo.com,무교,연세대학교,법학,4.11
884,전성은,남성,170.8,71.7,O형,19690617,010-2409-2775,jcdx620ha4fsf,naver.com,무교,동국대학교,교육,3.26
897,김정협,남성,160.8,63.4,A형,19650226,010-9151-4277,ndgg4u1x32j5s,daum.net,기독교,서울여자대학교,예체능,1.99
900,최영용,여성,154.5,57.9,A형,19680622,010-5321-6361,tvo6oobh9g21,naver.com,무교,성공회대학교,자연,0.21
917,천남준,남성,172.5,59.6,O형,19730513,010-0188-6277,z1qfq3v5i9ne5,yahoo.com,무교,서울기독대학교,법학,1.16
924,김은성,남성,182.5,67.0,A형,19680126,010-6668-6104,n1nz29sfz491s,naver.com,무교,동국대학교,법학,1.01
934,이협훈,여성,162.0,50.3,O형,19711001,010-4428-1667,rqayzzhx7,yahoo.com,무교,한국외국어대학교,법학,2.24
940,류석성,남성,165.9,67.6,A형,19830118,010-5951-8888,gxnzt3y6g,daum.net,기독교,숙명여자대학교,사회,2.35
965,김정우,남성,171.2,66.3,O형,19560425,010-0017-5524,afr2xa2o,yahoo.com,무교,한성대학교,자연,0.6
978,화상준,남성,170.0,61.1,B형,19860525,010-0787-1515,f42art2l,gmail.com,기독교,숙명여자대학교,공학,1.92
983,정성남,여성,162.6,62.3,B형,19570823,010-0505-6983,xc3x98c12,gmail.com,무교,가톨릭대학교,인문,2.02
1017,정용훈,남성,167.0,66.3,AB형,19511123,010-9617-1016,hhgksg9yd10a,gmail.com,무교,장로회신학대학교,자연,2.08
1021,박영용,여성,155.2,58.8,A형,19711023,010-6257-9517,viamgt,yahoo.com,무교,서강대학교,공학,1.8
1026,김영용,남성,166.1,63.5,A형,19630323,010-7961-0238,agd2lsv,yahoo.com,무교,한양대학교,예체능,4.13
1027,김진은,남성,173.7,63.9,O형,19470319,010-6208-1699,eq04qeoh,naver.com,천주교,그리스도대학교,사회,4.32
1029,전용영,여성,163.3,57.1,AB형,19821117,010-2355-8624,kqf0jfoqkh64,naver.com,기독교,서경대학교,공학,2.51
1036,강훈상,여성,154.7,52.6,O형,19580625,010-4879-3415,jjs3i0tk,daum.net,무교,홍익대학교,사회,2.27
1047,허성상,남성,169.2,62.9,AB형,19791121,010-9854-9387,ekoere6qgq,daum.net,무교,한양대학교,공학,2.93
1060,김용진,남성,165.5,74.4,A형,19940223,010-8467-6745,ji1bnf2bj0kwy,yahoo.com,불교,서울과학기술대학교,법학,0.2
1064,최성석,여성,154.1,44.5,O형,19930322,010-9843-5884,pdfor9knbiv,naver.com,기독교,국민대학교,예체능,2.46
1079,이택훈,남성,172.1,57.5,A형,19460109,010-6788-8367,e6ue221gc4h,naver.com,무교,추계예술대학교,법학,0.93
1132,서현덕,여성,156.9,54.8,B형,19810122,010-5795-6384,kr5i2oq,yahoo.com,불교,총신대학교,인문,3.1
1138,전상지,남성,170.1,66.1,A형,19660306,010-1339-3393,lbptg1,gmail.com,무교,서강대학교,공학,2.08
1155,박협용,남성,173.1,64.0,O형,19760228,010-3982-8173,kvn0kqn7,naver.com,기독교,성균관대학교,자연,1.07
1165,허종석,여성,157.5,59.3,A형,19691114,010-9326-8736,dp6jg9,gmail.com,불교,상명대학교,예체능,4.36
1177,문남준,여성,154.7,55.4,B형,19750415,010-0615-9885,i7kkfhof4epu,gmail.com,무교,한국성서대학교,자연,0.61
1185,신상협,여성,156.8,52.3,O형,19470216,010-0772-3767,ajhi4k3zio,daum.net,무교,상명대학교,법학,0.6
1198,이진영,여성,152.9,57.9,A형,19700731,010-3773-5209,z82v83c,naver.com,불교,서강대학교,사회,2.51
1200,이남석,여성,154.1,50.1,B형,19571105,010-1480-4194,yb1ou1ohy73kj,yahoo.com,기독교,삼육대학교,예체능,2.41
1201,권용훈,여성,161.4,57.7,A형,19511209,010-2109-2356,xk9a57sq2tnpe,yahoo.com,무교,한국체육대학교,공학,2.12
1222,이종서,남성,171.3,70.5,O형,19750905,010-1854-5929,sh35ubmt8se0,daum.net,무교,서울교육대학교,예체능,0.31
1226,박훈현,남성,166.7,63.9,A형,19501026,010-0260-6360,qswgvvlpa6zzz,yahoo.com,불교,덕성자대학교,자연,1.27
1228,박석택,남성,171.6,66.9,A형,19720911,010-0340-7056,h5tmac2z,gmail.com,불교,숭실대학교,공학,0.6
1231,허지은,여성,157.8,57.5,B형,19910917,010-8123-5041,p402w35b,gmail.com,불교,국민대학교,인문,0.74
1237,김협서,남성,170.0,57.7,A형,19781127,010-3592-9680,cxvb2qp13,naver.com,무교,서울여자대학교,예체능,2.41
1242,이협준,여성,153.1,56.8,B형,19580308,010-1042-9525,j3b2yit1bl,yahoo.com,무교,이화여자대학,의학,0.31
1245,김지석,여성,144.8,46.7,A형,19870814,010-1526-0613,j2r1hprphyt,yahoo.com,무교,성신여자대학교,공학,3.73
1258,이훈성,남성,170.2,66.2,A형,19920128,010-6039-1966,dsy86y9a1zm6l,gmail.com,무교,명지대학교,사회,4.42
1263,안은상,남성,171.8,70.5,A형,19810905,010-6355-5859,w61s7kd3g,yahoo.com,무교,홍익대학교,인문,0.42
1269,정영용,여성,155.1,58.1,A형,19730215,010-8669-7468,jpzrjw,yahoo.com,무교,동국대학교,예체능,4.01
1271,주종현,여성,157.6,58.9,B형,19591007,010-0111-2414,dbrt1qqfqq,naver.com,기독교,건국대학교,예체능,2.51
1289,오남서,남성,172.9,63.8,B형,19790707,010-7175-7982,cjgevl2,yahoo.com,무교,KAIST,예체능,3.32
1294,김성준,남성,178.5,67.0,AB형,19850103,010-7757-0249,xzqshf93u,gmail.com,불교,서울교육대학교,법학,0.59
1296,이택현,남성,169.8,66.9,O형,19620606,010-3927-2525,nk9gcwku66s,gmail.com,무교,감리교신학대학교,공학,4.02
1297,조성진,여성,168.9,49.8,B형,19481229,010-8219-1691,e8us54uf,yahoo.com,무교,한영신학대학교,교육,2.49
1313,임상서,여성,156.7,51.3,AB형,19560331,010-5026-5313,juenrb,naver.com,무교,장로회신학대학교,자연,2.97
1343,박덕희,남성,167.2,65.7,A형,19460405,010-1486-8537,kv85punzajxf,gmail.com,무교,한국외국어대학교,자연,4.14
1371,김준희,여성,160.4,51.8,B형,19460220,010-3508-1974,qesvzv,naver.com,무교,서경대학교,의학,2.54
1374,선지준,남성,177.6,67.2,O형,19710716,010-1175-6271,s9ggmo,daum.net,불교,상명대학교,자연,3.7
1398,이훈남,남성,178.1,60.5,A형,19700502,010-5153-4260,ouoybjlpdf,daum.net,무교,광운대학교,인문,1.07
1412,박진종,여성,160.4,49.8,B형,19600104,010-7388-2193,lq5wwn,naver.com,무교,가톨릭대학교,교육,0.22
1413,권준용,남성,175.4,66.4,B형,19800302,010-8155-9346,djs5227jfu,gmail.com,불교,한양대학교,법학,4.05
1424,임용준,여성,156.0,56.3,O형,19881017,010-6798-9431,bpktxohhqrs,naver.com,천주교,서울기독대학교,법학,3.61
1425,최희서,남성,170.4,67.1,O형,19880419,010-5172-6187,fi8bywltpwn,yahoo.com,천주교,서울대학교,자연,1.38
1426,이진성,여성,154.8,60.2,A형,19490701,010-5098-6383,sd3g712gh,naver.com,무교,서울시립대학교,교육,0.31
1427,최지택,남성,168.5,66.6,B형,19780204,010-8877-3102,pmgajm,daum.net,기독교,삼육대학교,자연,2.51
1436,이용석,여성,145.7,55.3,AB형,19510728,010-5078-4123,p1ckk5r8q,gmail.com,무교,그리스도대학교,의학,2.1
1444,배진희,여성,163.2,50.7,A형,19831021,010-1199-5107,dxhqhc1ub3,daum.net,불교,광운대학교,교육,1.52
1446,이진은,여성,156.2,54.6,A형,19630710,010-5388-6749,o0qtu0ztcufw,yahoo.com,불교,서울여자대학교,사회,0.66
1455,송영희,여성,153.5,57.9,B형,19510820,010-7419-3353,xck3nivbh2h,gmail.com,불교,육군사관학교,법학,4.46
1469,이남훈,여성,158.3,55.9,A형,19840726,010-0494-1526,x7sc2g,gmail.com,무교,서울과학기술대학교,자연,4.08
1480,임종협,남성,169.8,60.6,B형,19960222,010-2065-4511,ia93w35,daum.net,무교,중앙대학교,공학,0.16
1486,김준석,남성,168.2,60.3,A형,19611124,010-8035-6590,au5hqrl6,gmail.com,천주교,광운대학교,교육,3.48
1499,김택현,남성,173.7,61.4,B형,19960224,010-6675-1873,ui83dur9x0x4,naver.com,무교,세종대학교,인문,4.29
1501,이정서,남성,168.7,60.4,A형,19840327,010-2083-2647,m4cr6q,naver.com,불교,서울시립대학교,법학,1.12
1504,박우지,남성,169.5,65.2,O형,19650225,010-6826-7539,y05u0ytbgb345,gmail.com,무교,광운대학교,교육,1.5
1515,정은지,여성,156.7,61.7,A형,19510901,010-2929-1105,bh774z,naver.com,무교,홍익대학교,의학,0.58
1530,임영훈,남성,166.3,59.7,AB형,19720303,010-4011-0510,gbmejd,daum.net,불교,덕성자대학교,공학,0.24
1531,송서협,여성,154.1,53.4,A형,19801102,010-1309-0704,qr2xy7,daum.net,천주교,서경대학교,공학,4.24
1539,임택준,남성,168.1,63.3,A형,19681003,010-5886-8918,mj6fw1ioyg,daum.net,무교,서울대학교,인문,1.23
1550,김은용,남성,168.1,63.6,B형,19531207,010-0847-6189,tm6ywq,yahoo.com,무교,서강대학교,자연,0.5
1553,김서진,남성,164.7,59.8,O형,19910924,010-1765-2803,z52xguu,yahoo.com,무교,홍익대학교,교육,4.4
1555,최훈은,남성,170.3,63.4,O형,19500312,010-6550-7855,uippowave,naver.com,무교,그리스도대학교,인문,2.6
1570,편덕준,여성,149.7,59.5,B형,19861116,010-0452-3659,xkbya120,daum.net,천주교,숙명여자대학교,공학,3.51
1578,강정남,여성,158.7,54.8,A형,19910405,010-9740-6750,lixcqhd,gmail.com,기독교,한영신학대학교,공학,1.17
1582,이우은,여성,157.2,66.3,B형,19510808,010-0445-9261,hl4h169uiji45,gmail.com,불교,동국대학교,예체능,2.73
1589,이훈은,여성,152.9,59.0,O형,19780105,010-5977-6126,w157qxyyz5,daum.net,무교,한영신학대학교,인문,0.08
1600,이택현,여성,157.5,57.2,B형,19760910,010-2449-6360,ff9260h,gmail.com,무교,홍익대학교,공학,1.3
1604,이영지,여성,152.4,55.7,A형,19650704,010-7753-1360,n4rpiu6tg,daum.net,기독교,국민대학교,의학,1.45
1611,황영석,여성,160.6,58.9,A형,19761215,010-1041-8500,nzmzdou10j,yahoo.com,기독교,서울과학기술대학교,예체능,0.7
1614,정상우,여성,157.1,53.2,B형,19610918,010-5133-1208,x7wibn83sis,naver.com,기독교,홍익대학교,법학,3.49
1625,강종영,남성,176.7,58.5,AB형,19750423,010-8430-9378,o8561t,yahoo.com,기독교,한양대학교,법학,1.05
1629,신준덕,남성,167.3,66.2,O형,19810415,010-6929-2573,oi8pl2o,naver.com,무교,성균관대학교,교육,0.86
1630,송정종,남성,176.5,68.2,A형,19670617,010-2299-2372,z7otqx,gmail.com,기독교,덕성자대학교,예체능,0.36
1633,이훈종,남성,167.5,68.1,O형,19770918,010-5194-4386,dpbamo,naver.com,불교,감리교신학대학교,자연,4.01
1634,윤서종,여성,152.4,56.7,O형,19540123,010-2347-8575,zw2v0f,naver.com,기독교,세종대학교,인문,1.68
1640,배남지,남성,165.4,64.5,AB형,19680511,010-3375-8006,y5n2jr7,daum.net,불교,동덕여자대학교,의학,3.1
1648,박지종,남성,162.0,69.3,A형,19690910,010-5765-6580,t4zmdsg,naver.com,무교,한국성서대학교,사회,3.76
1653,석진현,남성,166.9,72.5,AB형,19591130,010-6301-6362,pi0c0h,yahoo.com,천주교,서경대학교,예체능,0.24
1654,박영정,여성,152.7,59.6,B형,19850927,010-7573-8953,mwkm0t6lpven1,daum.net,불교,서강대학교,예체능,3.25
1655,김은용,남성,169.4,72.1,B형,19490125,010-6799-5684,o855y5h,gmail.com,무교,상명대학교,교육,4.48
1671,김준석,남성,176.9,68.1,A형,19551218,010-4094-3097,rd5c492s8tqx,daum.net,천주교,국민대학교,법학,2
1687,김훈현,남성,164.7,66.6,AB형,19740312,010-1817-2066,i7xmx29,gmail.com,천주교,가톨릭대학교,공학,4.01
1691,김석협,남성,165.8,63.9,A형,19530519,010-7665-8166,p5r493s,daum.net,기독교,연세대학교,의학,0.75
1697,김진은,여성,149.0,52.9,B형,19921001,010-4427-6400,v26ow3,naver.com,무교,가톨릭대학교,교육,3.06
1721,양지훈,여성,156.3,55.7,B형,19561116,010-7221-8935,r4qgaxh,yahoo.com,무교,서울기독대학교,의학,1
1732,이용덕,여성,160.5,50.9,B형,19470705,010-1037-5268,e7ezbp,yahoo.com,기독교,명지대학교,자연,2.67
1735,임훈협,여성,155.1,50.0,A형,19630318,010-7732-4510,znts7z,yahoo.com,불교,숙명여자대학교,의학,3.24
1741,윤상남,여성,154.9,47.6,A형,19610302,010-8294-0181,u1ispup3l,gmail.com,불교,성균관대학교,법학,0.25
1750,양지진,남성,171.0,68.3,AB형,19531203,010-7656-7358,fimpnh9phy8i,gmail.com,불교,삼육대학교,인문,2.68
1754,박지협,남성,165.8,68.3,B형,19770310,010-1746-5207,nisazeexno,naver.com,무교,추계예술대학교,공학,1.48
1765,아성지,여성,153.3,57.8,O형,19731207,010-5639-9513,sy0r5tfksu8,gmail.com,기독교,연세대학교,예체능,3.37
1775,모희남,여성,158.7,56.8,B형,19891107,010-1677-7763,g0rx7u9nj8uwh,daum.net,기독교,명지대학교,의학,2.23
1777,이영협,여성,154.5,47.7,B형,19670910,010-5755-3058,h8aq4j56arb,daum.net,기독교,동국대학교,의학,4.13
1790,장성지,남성,167.6,65.5,B형,19931226,010-0125-5518,w3w1kl,yahoo.com,기독교,중앙대학교,자연,4.46
1801,고상종,남성,169.4,61.1,B형,19800109,010-4831-4595,iqcvjdf,yahoo.com,무교,덕성자대학교,인문,0.12
1802,김영현,여성,149.3,51.3,O형,19721015,010-0797-7931,wh7cxk6pb,yahoo.com,무교,상명대학교,인문,2.93
1807,백희지,여성,152.0,55.8,O형,19820101,010-1929-2980,f9bhk74mjnf,daum.net,기독교,서울교육대학교,예체능,1.92
1813,구희지,여성,153.1,57.3,A형,19711009,010-8314-6047,xuskdv,daum.net,무교,한국체육대학교,공학,1.73
1814,김서훈,여성,163.1,58.7,B형,19530119,010-4951-5096,c5wsysmfu8lth,gmail.com,기독교,세종대학교,공학,1.7
1818,양남지,여성,150.9,56.5,AB형,19641127,010-9490-2845,tx8e6zeb,gmail.com,무교,그리스도대학교,공학,0.01
1820,강지준,여성,165.1,58.5,A형,19931202,010-5172-5719,ai9gqts,yahoo.com,기독교,서울교육대학교,의학,4.37
1822,채덕현,여성,156.4,54.4,AB형,19880304,010-2390-0436,l9vjxzle5x4in,naver.com,무교,한국방송통신대학교,공학,2.6
1823,김종은,여성,157.9,59.7,O형,19701005,010-3623-1837,u0vkhthizs0co,gmail.com,무교,서경대학교,법학,2.59
1825,정지진,여성,156.4,52.3,AB형,19780329,010-2307-9350,c4dh1g,gmail.com,천주교,한국성서대학교,법학,0.19
1826,강석정,여성,148.5,49.3,O형,19681017,010-2533-5956,sw28td6h,yahoo.com,무교,성공회대학교,교육,2.27
1830,박택지,여성,158.7,56.2,A형,19751214,010-2273-8472,ifnosu91l,yahoo.com,불교,동국대학교,공학,1.49
1838,조진지,남성,165.0,64.5,A형,19570821,010-0734-0839,f6quqy4dzr,yahoo.com,천주교,한국방송통신대학교,교육,3.24
1839,이우종,여성,153.4,56.6,O형,19640831,010-8688-5580,v49b94e,daum.net,무교,서강대학교,교육,0.82
1859,임정성,남성,172.1,64.7,AB형,19630422,010-3497-3245,taeef7,yahoo.com,불교,한국방송통신대학교,교육,2.85
1877,황현진,남성,168.2,70.0,O형,19791006,010-1005-6388,ksd6ailbk5q4,gmail.com,무교,고려대학교,교육,1.98
1896,선현덕,남성,162.7,67.5,A형,19860111,010-0519-9652,xqw314mrjlc1,naver.com,무교,경희대학교,공학,0.29
1898,박지덕,남성,178.3,70.8,A형,19940821,010-5356-9359,ebovngjm,gmail.com,무교,한국방송통신대학교,법학,0.78
1918,임현진,남성,163.1,66.2,A형,19831008,010-3123-6342,uq67seih77plt,naver.com,무교,이화여자대학,사회,0.31
1943,김성용,남성,166.6,67.3,O형,19681102,010-0482-9531,x29my2olbg,daum.net,기독교,성공회대학교,인문,0.21
1954,김지현,여성,173.1,45.7,AB형,19740116,010-3336-2971,cc15do,yahoo.com,기독교,한국성서대학교,교육,2.65
