No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,IP,MAC
143,이성지,여성,159.4,52.2,O형,19820820,010-1725-1845,ro176qtjg1,naver.com,불교,251.105.87.233,c0:96:84:fb:b2:e6
176,이석훈,남성,168.9,71.3,O형,19850917,010-6576-2130,fskuqc4e,daum.net,무교,233.152.191.128,97:b8:22:f7:ad:5b
206,이택진,남성,175.1,67.7,AB형,19670824,010-5740-5799,n4aeqex,daum.net,불교,207.219.145.229,8e:6b:42:34:6f:f4
229,김종택,여성,157.6,51.0,A형,19531121,010-0109-5508,v773uun7vy,gmail.com,무교,108.152.154.154,71:e2:61:35:9f:72
231,원지석,여성,156.1,52.0,O형,19920404,010-8298-8358,etafkqepimu2,gmail.com,무교,126.54.4.174,d8:82:27:9a:fc:0d
241,명준현,남성,166.6,65.6,B형,19610917,010-8242-4993,tnw8em56tc,daum.net,천주교,149.35.149.127,ae:b7:05:a0:ce:3d
245,김용현,여성,156.8,56.5,O형,19701228,010-3302-3508,eyk1mr5h4d,yahoo.com,불교,81.58.191.89,53:4b:d3:d4:32:d3
248,김서진,여성,155.0,53.8,O형,19910121,010-2103-9069,wft1s8ix,gmail.com,불교,184.185.227.31,01:38:2b:2a:3c:f7
256,이훈남,남성,163.7,68.3,O형,19670208,010-8416-5949,etnu1l1gj,naver.com,기독교,160.76.89.139,a1:ed:8a:c7:fa:13
261,염훈용,여성,156.5,54.3,A형,19571008,010-2177-0089,ruokim06lsfl,yahoo.com,기독교,82.218.219.51,0b:dc:32:d1:6f:a0
272,김정지,여성,153.4,59.3,O형,19660915,010-5264-0585,c16mqa,naver.com,무교,90.210.231.154,01:c9:73:cb:50:5a
273,강덕현,여성,150.3,54.2,B형,19670608,010-9282-2466,t1whni,gmail.com,기독교,162.14.86.164,89:fa:db:40:29:cd
276,최서우,여성,154.8,53.0,A형,19870316,010-6632-1328,b5axozbtxpbo,gmail.com,기독교,110.62.104.159,c0:d0:50:56:b6:db
283,김우훈,남성,168.8,71.3,A형,19790902,010-2104-1817,ivholyltyh3w1,gmail.com,천주교,107.216.219.38,a2:99:a9:f9:39:9d
304,강영석,남성,168.2,64.7,O형,19520521,010-8532-1571,jzhfh6h,daum.net,불교,199.46.208.169,8a:80:5f:33:1c:3b
307,권남지,여성,156.1,52.9,AB형,19651031,010-5982-5952,cbnqnher2,gmail.com,무교,39.202.213.216,2f:da:88:8e:3e:bc
319,박은훈,남성,175.9,63.1,AB형,19840815,010-2689-9127,sj5qfr36a9q6,daum.net,불교,208.197.96.227,8c:cd:67:f3:b6:c9
351,김희종,여성,152.1,56.5,AB형,19510518,010-9818-6459,ksz5mm,daum.net,불교,90.156.57.230,a7:a8:5d:e2:f7:8b
356,정지용,남성,169.9,65.9,A형,19730228,010-4929-3052,rjh0nrb,daum.net,불교,26.121.13.72,01:c3:11:bb:e6:65
359,나덕지,남성,162.0,65.0,A형,19561213,010-1843-8469,f2kcmde0osq,naver.com,무교,52.187.157.218,7f:f3:63:38:4f:29
366,안상현,남성,167.4,60.2,A형,19600925,010-9295-6833,bmjuvqu,yahoo.com,천주교,65.47.180.85,52:10:90:ab:1f:a0
380,고용협,여성,160.0,58.7,B형,19820515,010-8682-4891,ii3srt4k,gmail.com,불교,246.95.21.92,f5:3d:20:5d:c1:a7
412,한현성,남성,173.9,70.8,A형,19840829,010-9651-2731,bq84umivj6ui,naver.com,무교,185.132.217.16,03:e2:95:0a:81:10
413,강준정,여성,159.9,50.8,B형,19790908,010-5654-3481,kz6g0kmw6ywa,naver.com,불교,181.16.77.151,f2:61:bf:d6:36:24
417,권영정,남성,164.5,62.5,A형,19770320,010-7255-1123,v6l8ift,yahoo.com,기독교,198.104.222.116,f3:d6:e9:10:29:00
419,이현상,여성,149.8,61.7,O형,19750225,010-8127-1437,o8wtd4vjtk9s5,daum.net,불교,47.67.47.78,0e:09:3d:07:99:62
454,박서석,여성,151.2,58.5,AB형,19750122,010-5490-5966,n5sol43,naver.com,무교,165.245.242.76,49:4a:4c:53:f0:0a
455,오남덕,남성,180.4,68.2,O형,19590707,010-8271-7388,hkz5q5i6v1e,naver.com,무교,58.237.98.91,30:cf:a4:66:b1:e3
470,김훈덕,남성,168.7,57.2,AB형,19881011,010-8884-0421,huf9ul8,yahoo.com,불교,4.53.21.70,fd:ee:2b:28:38:5d
471,김은우,남성,169.4,67.7,B형,19710603,010-1510-7517,wrcb9jyekugu,gmail.com,무교,105.227.89.44,6d:90:f1:11:38:c6
495,손준상,여성,161.0,55.4,B형,19940723,010-7721-6844,rkebyylkv6,naver.com,기독교,219.145.10.150,eb:e9:f0:25:81:e9
507,김훈협,여성,163.4,51.7,B형,19670812,010-3780-6321,lkvoe5q,daum.net,기독교,21.111.29.211,be:b1:68:6f:34:bd
519,정영협,여성,161.1,53.3,A형,19950326,010-3978-1132,qs3s31ymrfp,yahoo.com,천주교,225.252.207.250,8d:8c:83:57:79:2d
535,류은서,남성,165.9,68.1,A형,19521104,010-2011-1719,wtxpf749,yahoo.com,무교,192.221.121.146,ec:37:5f:43:df:70
541,원석협,여성,159.9,53.1,B형,19691110,010-0547-7901,nlqefdie,gmail.com,무교,175.14.184.232,30:f4:b9:7d:51:5a
547,이남성,여성,150.8,58.7,O형,19520107,010-1365-2868,nkjzmcmyvru,daum.net,불교,233.70.53.85,a0:4b:70:91:79:79
559,황준지,남성,175.4,68.5,B형,19880305,010-3325-4235,m8yfuu9,naver.com,불교,48.230.3.159,77:f5:95:ee:49:e5
560,이우현,남성,169.9,69.0,A형,19930318,010-8840-7267,dyynsof,daum.net,무교,117.30.10.209,4e:f4:e4:b2:08:12
572,조성석,남성,168.2,62.4,B형,19570609,010-3014-2482,kahu071h,gmail.com,무교,106.156.122.222,90:e0:08:66:f0:5a
574,조지용,여성,161.6,57.8,O형,19490106,010-7172-1509,h6c95dnr,daum.net,무교,108.30.33.105,4a:ee:c9:29:f9:6c
607,김정용,남성,173.8,73.2,O형,19761231,010-9222-8209,b8khmcqzgbk,naver.com,불교,6.193.10.72,2d:1a:9e:75:6b:3d
608,김성남,여성,150.9,53.9,A형,19750914,010-7877-0453,qgaha9soq09,gmail.com,무교,14.226.140.15,a5:5c:98:73:b2:a7
615,박성우,여성,165.3,58.6,A형,19641028,010-7329-0369,wiqr84sy,gmail.com,무교,75.84.126.218,01:97:47:14:20:3b
645,오성영,여성,156.2,57.2,A형,19830221,010-5674-4312,r10z5qvv5,yahoo.com,무교,75.114.214.195,dd:e9:d9:6c:53:61
651,김준정,남성,165.9,58.2,A형,19780715,010-0173-1078,qaij33yl,daum.net,무교,126.59.61.231,74:2c:6d:ab:56:e6
652,조지용,여성,153.5,56.9,AB형,19700728,010-5981-5175,m8v40lrhpvltf,gmail.com,불교,66.176.128.7,43:cb:69:f6:56:bc
664,정협우,남성,165.4,69.7,O형,19880626,010-6607-7230,othb6ao0,gmail.com,천주교,196.83.20.51,6e:7c:33:42:fb:b6
670,정지희,남성,169.8,60.3,AB형,19540602,010-4011-8257,ppebgii26b2,daum.net,불교,213.228.127.3,52:60:68:8b:4b:25
683,김종준,여성,157.8,59.3,O형,19960502,010-4752-1704,r170rvmk0n,daum.net,불교,204.32.124.150,ad:72:37:d3:4c:ce
715,정덕희,여성,148.2,49.8,A형,19580527,010-3171-8731,jg06hru6g,yahoo.com,불교,195.125.214.66,ca:a4:d4:f8:2c:b9
722,박현성,여성,153.3,55.1,O형,19680426,010-8856-1578,w8ercq,yahoo.com,불교,254.65.176.73,63:69:00:a5:f9:77
738,기남준,남성,175.2,63.3,O형,19540305,010-5821-1411,t7x3xi1hq,gmail.com,불교,41.121.88.201,c8:c3:37:9b:33:7b
740,김준용,여성,156.0,57.6,B형,19830524,010-3612-8032,jz3rru1,naver.com,천주교,199.216.147.3,3e:b1:ff:f6:6a:c1
761,최우상,남성,165.4,70.5,AB형,19791130,010-1291-7375,ykzzzbv,yahoo.com,무교,80.164.147.33,df:6b:2d:d0:fe:51
764,김덕종,남성,167.3,67.6,A형,19831114,010-1955-5920,wwspc5,yahoo.com,무교,57.248.80.215,95:34:50:3a:6a:0f
768,김현지,여성,151.1,62.7,A형,19570108,010-7780-0394,p1idngfd1,yahoo.com,기독교,83.87.20.39,27:21:b4:8a:6c:df
769,허정영,여성,159.2,51.5,B형,19821230,010-0224-1381,virtvssr,yahoo.com,불교,146.137.84.143,c9:c1:58:31:d5:c7
786,김종덕,여성,160.2,57.0,B형,19581016,010-2572-9141,tgk8cs3v,gmail.com,무교,117.255.172.124,f5:9d:a5:1b:e5:94
809,정우희,남성,168.1,58.4,A형,19910812,010-3884-8829,yg6ie7wi9q,naver.com,불교,132.6.150.154,68:60:0f:58:60:b5
810,백덕지,남성,166.6,66.0,B형,19900310,010-5237-6208,x6d62v9g6fg8f,gmail.com,불교,103.46.202.224,d2:8e:df:bb:59:b8
812,류준우,여성,150.7,47.5,O형,19940715,010-1076-3754,l9maspzv,naver.com,무교,46.79.108.186,79:de:44:55:ac:89
820,김준희,여성,160.7,54.2,O형,19930210,010-0710-6281,qu7xzj,yahoo.com,무교,11.186.28.50,4f:fc:f5:3c:5d:bc
821,이지은,여성,156.8,56.7,B형,19531120,010-1861-1176,lnc46yy,naver.com,무교,128.172.67.221,b8:16:46:f5:f2:c4
825,조은지,남성,182.8,61.9,AB형,19640613,010-7135-9766,f8b77n8,naver.com,불교,27.140.202.142,67:af:34:b9:7a:91
827,고희협,여성,163.3,52.9,A형,19460530,010-0842-1926,eji1dsp2,naver.com,무교,35.239.79.62,41:fd:f6:82:0e:b6
838,박훈영,남성,169.8,60.1,O형,19600105,010-5585-2706,t9mnb6bkdl5p,yahoo.com,기독교,218.134.179.14,48:a2:95:a0:8e:19
842,박용정,남성,167.4,67.5,B형,19640818,010-8131-8419,g8llol,yahoo.com,무교,150.2.211.32,ac:aa:31:35:98:b3
845,정준협,여성,154.4,56.8,A형,19880105,010-1102-2153,lt59acp9hn,yahoo.com,무교,90.54.45.120,51:c0:b0:95:d2:86
849,정택용,남성,173.2,68.2,A형,19690103,010-7883-2948,x05gp0o00gkj,daum.net,무교,224.74.140.123,85:e6:90:3a:cb:0b
854,심우지,남성,169.1,64.6,B형,19601008,010-3872-9258,ffy2vy3lre,gmail.com,기독교,30.75.195.14,b8:32:ca:60:62:8e
858,황훈희,여성,160.8,51.4,O형,19930701,010-6204-8197,ofn38mhipsbqw,gmail.com,불교,204.224.229.230,81:9e:68:28:60:97
871,윤상희,여성,154.2,53.9,A형,19581129,010-1603-5717,jk9tqbh,naver.com,불교,169.218.5.135,48:cc:b9:64:9d:f6
904,임덕지,여성,158.9,59.8,B형,19471123,010-8959-8113,pudlhaf0u,gmail.com,무교,70.219.11.138,c0:68:96:f2:a3:2b
934,이협훈,여성,162.0,50.3,O형,19711001,010-4428-1667,rqayzzhx7,yahoo.com,무교,6.103.75.147,b8:01:e2:47:36:33
936,노종용,남성,169.1,63.5,A형,19610119,010-9902-6784,aym8y1o,gmail.com,무교,46.238.137.59,10:b0:2d:6a:d2:6d
941,이훈준,남성,175.4,70.7,B형,19770716,010-7658-9666,sbonsku38zj,naver.com,무교,124.72.217.133,7c:cc:d7:d9:ed:81
955,권덕협,여성,159.3,48.1,B형,19600219,010-8693-6800,pa7pc2,daum.net,기독교,82.94.82.238,f3:e2:cc:cd:1d:16
984,이현지,남성,167.0,68.3,A형,19650220,010-0574-6466,nta61nu1d,daum.net,불교,166.218.96.186,28:6c:03:d6:9c:31
997,여희협,여성,158.0,63.3,O형,19910526,010-8549-9830,upz8lx0o8vd6g,daum.net,기독교,26.223.73.191,c3:44:13:92:81:99
1010,정상협,남성,169.2,71.7,O형,19891003,010-2500-0270,o7q7t7kt0r,naver.com,무교,252.76.49.46,3c:18:04:ea:15:fa
1016,이훈준,여성,156.3,49.1,A형,19620728,010-8099-1752,p6ll1r4lhw,yahoo.com,불교,204.68.145.200,77:39:14:7a:f8:fb
1019,남궁서,여성,156.8,56.6,B형,19940125,010-5471-9620,f6ut62dm97sp,yahoo.com,무교,44.115.182.85,44:47:d3:96:35:a4
1036,강훈상,여성,154.7,52.6,O형,19580625,010-4879-3415,jjs3i0tk,daum.net,무교,127.93.166.30,29:60:0b:99:23:d2
1038,전영서,남성,162.2,61.8,B형,19790326,010-0522-6549,v01412u1sdbz,yahoo.com,무교,255.58.81.233,56:aa:4a:4e:db:58
1039,강은훈,남성,174.5,64.8,O형,19870618,010-0019-3603,udk7y9s3s8epg,yahoo.com,무교,33.165.147.90,35:76:f0:1d:c9:35
1051,이서택,여성,164.7,54.3,B형,19880617,010-8424-5257,pu5ithsxif2nn,naver.com,불교,79.23.93.26,71:5c:d8:ef:d7:ed
1055,이은성,여성,156.4,48.8,B형,19651214,010-7449-2388,lw9qtqjs1gm24,gmail.com,기독교,57.18.71.79,47:bb:0e:a3:55:1b
1088,이진성,여성,158.7,49.0,A형,19881016,010-7387-3581,ok1h264aktv,naver.com,무교,123.247.168.211,40:1c:a3:a3:a1:6f
1112,조진석,여성,150.0,55.1,O형,19721119,010-8114-3194,jxfwg9,naver.com,무교,90.217.12.122,89:03:4d:5e:32:d3
1121,김준훈,남성,169.4,70.9,O형,19510115,010-7505-9225,r3vi8w8,daum.net,불교,115.208.20.46,91:13:8c:a2:1e:e9
1171,김덕성,남성,170.8,67.8,A형,19680905,010-6581-4909,qy9blyq,daum.net,무교,63.159.82.223,38:99:72:d6:3f:08
1173,주용택,여성,158.1,60.7,O형,19960805,010-2073-8922,d77b7atkui5e1,gmail.com,불교,191.245.233.251,27:65:05:02:aa:1e
1178,이훈정,남성,173.7,70.8,O형,19560131,010-3075-4790,piir9y6mrn,gmail.com,불교,233.8.109.115,33:dc:36:0c:ab:a3
1217,김지우,남성,167.6,66.5,A형,19961025,010-4840-4027,acb5oyy272o,daum.net,불교,186.243.154.56,50:f7:de:63:f1:2f
1241,장희석,여성,155.5,55.0,O형,19500304,010-6940-1823,i6pbdsju5wy,naver.com,무교,191.237.50.235,53:07:ea:a0:08:bf
1249,김택희,여성,151.2,50.5,A형,19740717,010-9978-8012,azr8xjel,naver.com,무교,112.12.10.32,53:70:7a:5d:1e:36
1251,정정희,남성,172.0,66.2,A형,19890525,010-1880-9760,ul6ldho6g2h,daum.net,무교,199.48.186.97,45:d1:a6:6a:65:93
1256,김상준,남성,167.4,63.3,B형,19610704,010-8484-3704,tlz2g5s8f7lu8,gmail.com,기독교,28.252.105.182,c8:b5:59:6d:ca:30
1258,이훈성,남성,170.2,66.2,A형,19920128,010-6039-1966,dsy86y9a1zm6l,gmail.com,무교,121.35.60.25,b2:05:7f:61:ca:f3
1263,안은상,남성,171.8,70.5,A형,19810905,010-6355-5859,w61s7kd3g,yahoo.com,무교,216.6.238.94,be:a0:8d:ff:40:74
1268,장정상,남성,177.9,71.7,A형,19890121,010-4334-0139,eazjfyh,daum.net,무교,154.81.242.122,b0:f9:be:e2:d7:7f
1269,정영용,여성,155.1,58.1,A형,19730215,010-8669-7468,jpzrjw,yahoo.com,무교,150.171.134.177,7d:58:96:c6:b7:11
1274,이영용,여성,151.7,54.4,B형,19740731,010-4875-9741,gmwfe52zbs3x4,yahoo.com,무교,63.97.78.193,59:73:10:57:02:e6
1282,이용지,여성,160.2,48.6,B형,19771009,010-4850-0230,j56s28g1or,naver.com,무교,182.59.184.216,64:9c:c1:89:aa:6e
1286,이준은,남성,167.9,64.6,O형,19911219,010-2784-4237,a0ixuq0h5grq,naver.com,천주교,252.17.7.85,eb:2b:4b:a6:6a:64
1288,박용현,남성,174.5,71.8,AB형,19741204,010-1636-0693,vzf2cxt,yahoo.com,기독교,153.72.121.203,77:e0:6b:11:45:b4
1312,간택훈,여성,152.0,58.2,O형,19861003,010-3758-2655,unxm9czoipk,yahoo.com,불교,169.152.88.183,7f:04:45:4e:5a:95
1320,김서희,여성,161.1,50.7,O형,19750101,010-4651-6854,upzd4rt,yahoo.com,불교,93.31.184.196,c4:dd:af:cc:36:96
1337,박상정,여성,155.7,52.2,B형,19690209,010-0714-2039,ztonjks5,naver.com,불교,24.203.135.142,89:7c:e7:ec:ce:0a
1345,김준성,여성,157.3,53.9,B형,19601222,010-8857-5176,h14poxcbfq,daum.net,천주교,35.238.74.101,20:7f:be:cb:73:06
1346,금상석,여성,151.3,60.1,B형,19730325,010-7485-5586,t3yq0rngqg0hj,daum.net,무교,64.30.198.44,70:a6:9d:8f:3c:52
1358,이용훈,남성,177.2,67.7,B형,19701121,010-0094-5829,bybcze,naver.com,불교,163.212.25.183,9d:f4:05:c3:48:a3
1366,양협상,여성,154.7,58.8,B형,19640801,010-9141-3335,o89bs5idge,yahoo.com,불교,57.182.237.30,e4:c4:fc:79:7b:89
1371,김준희,여성,160.4,51.8,B형,19460220,010-3508-1974,qesvzv,naver.com,무교,71.247.180.197,5e:bf:ca:88:9d:d2
1389,최택준,여성,159.1,58.6,O형,19701124,010-9654-5503,fb5ol5,naver.com,기독교,252.23.254.199,24:6f:99:a7:99:4c
1430,안지준,여성,160.8,47.4,A형,19720917,010-7397-6162,ly2ffiz,daum.net,무교,3.204.8.36,ee:ca:02:c7:fc:6c
1447,양정훈,여성,155.1,53.4,AB형,19560324,010-2456-5233,hy90oq9hyq,naver.com,무교,165.22.28.65,78:79:f6:61:79:52
1453,윤현준,여성,158.7,48.5,O형,19900403,010-3070-3459,w5lznyo2um,naver.com,무교,111.248.73.26,f0:d9:6d:6a:e9:90
1455,송영희,여성,153.5,57.9,B형,19510820,010-7419-3353,xck3nivbh2h,gmail.com,불교,50.112.163.175,f3:5a:1a:b0:18:d1
1475,이훈정,여성,150.4,50.0,O형,19960218,010-2329-3841,td2c4jrs,yahoo.com,불교,166.98.59.218,5e:2d:7d:56:40:2d
1483,송우성,남성,161.0,67.9,O형,19520309,010-6031-6247,re2gay,naver.com,무교,84.196.188.130,71:51:b9:5e:f4:65
1485,이서영,남성,171.0,64.9,A형,19930729,010-0132-6024,fu3njcxrzjp47,gmail.com,천주교,84.110.241.164,46:82:4f:80:74:f8
1488,오덕용,남성,164.5,65.1,A형,19571115,010-2222-6495,jyxh12,gmail.com,무교,94.215.144.207,dd:92:91:0b:ab:b4
1510,이상은,여성,155.5,54.0,O형,19781207,010-6397-5600,wdedwsq4m,naver.com,불교,218.142.167.116,e6:f1:d2:71:58:d1
1511,서우서,여성,153.2,58.0,A형,19900915,010-8107-2254,rk6e7syi,daum.net,기독교,79.148.20.177,2d:9d:60:bc:3a:6e
1512,신훈석,남성,155.3,67.2,A형,19460711,010-4556-4252,sverqtl,yahoo.com,무교,196.169.218.43,20:5f:86:0c:7d:be
1530,임영훈,남성,166.3,59.7,AB형,19720303,010-4011-0510,gbmejd,daum.net,불교,149.103.70.55,52:84:14:73:2b:21
1543,이협희,남성,164.5,66.6,B형,19801117,010-9298-1311,c7t9fw8oq8d,yahoo.com,천주교,167.173.251.158,49:b7:db:82:0a:15
1547,장상남,남성,171.3,74.4,A형,19900729,010-0241-9130,em73ai0h5xos,gmail.com,무교,122.76.208.202,56:15:5a:19:ca:7f
1555,최훈은,남성,170.3,63.4,O형,19500312,010-6550-7855,uippowave,naver.com,무교,18.224.37.26,04:82:1f:2b:d8:5c
1558,김덕지,남성,177.9,65.4,O형,19560212,010-5692-4542,yie72cdgdmhj9,daum.net,기독교,175.117.251.240,fe:e2:1e:9a:a7:06
1566,이택상,남성,173.4,69.3,B형,19860329,010-3655-2600,sbk56plx5h9,yahoo.com,무교,47.140.217.247,48:f7:0d:38:8f:fb
1568,송택지,남성,170.1,70.2,A형,19470621,010-4249-5107,lo1an58ay2,gmail.com,불교,130.37.168.199,95:42:1a:9e:87:b4
1570,편덕준,여성,149.7,59.5,B형,19861116,010-0452-3659,xkbya120,daum.net,천주교,85.172.228.68,1e:ff:96:34:7d:4a
1571,천덕정,여성,159.0,57.0,B형,19550418,010-0170-9292,k6ls37u,gmail.com,천주교,166.70.50.125,8a:b3:6e:0b:03:91
1577,정현진,여성,150.6,56.0,A형,19900601,010-9128-6011,st8vgja4,naver.com,기독교,79.195.59.199,71:a0:1e:c4:90:82
1578,강정남,여성,158.7,54.8,A형,19910405,010-9740-6750,lixcqhd,gmail.com,기독교,85.17.24.76,0f:a7:24:0e:e4:ff
1591,고우서,남성,162.7,64.1,B형,19561208,010-0322-6082,uphb89hra1,yahoo.com,무교,26.1.11.248,36:67:84:74:90:9b
1609,김성준,남성,161.9,68.7,A형,19810711,010-4342-7721,uutl6gdh,naver.com,기독교,19.207.46.143,da:dd:9b:75:13:d5
1617,김훈지,여성,158.8,55.3,A형,19490427,010-9160-4863,lic7hz6i,naver.com,무교,199.199.148.85,71:16:20:0f:b9:e4
1622,정현덕,남성,169.7,64.4,B형,19700420,010-7907-0935,ynbea7jbak5,naver.com,기독교,209.122.156.141,d9:88:a8:3c:27:23
1639,이상지,남성,166.4,65.9,O형,19900126,010-4362-9959,q58r3u,naver.com,천주교,39.205.202.29,fc:67:a1:de:28:f4
1644,김지택,남성,169.4,63.6,AB형,19821208,010-5905-7764,qf98q5fm59,naver.com,무교,188.66.79.235,83:71:c6:6e:a0:fb
1646,오영석,남성,172.4,71.1,A형,19470817,010-3221-9538,sw4ap2t,daum.net,무교,152.208.172.33,57:bb:87:35:5a:fb
1648,박지종,남성,162.0,69.3,A형,19690910,010-5765-6580,t4zmdsg,naver.com,무교,153.103.210.207,b8:e1:0d:59:9c:93
1658,송영종,여성,154.0,55.2,A형,19931126,010-4752-2206,fk3bnow0d,daum.net,불교,143.139.188.239,54:d3:57:51:a4:f1
1669,강택지,남성,160.6,66.7,B형,19851130,010-5994-4857,vgz1fciv87,daum.net,무교,139.164.169.140,7d:77:b8:da:d1:4d
1684,김택현,여성,160.1,55.8,A형,19780114,010-3046-1918,ia9mqgvxhl,gmail.com,무교,65.79.213.212,f6:9b:5d:c3:b8:6a
1687,김훈현,남성,164.7,66.6,AB형,19740312,010-1817-2066,i7xmx29,gmail.com,천주교,90.218.181.143,40:6f:2e:13:93:5c
1691,김석협,남성,165.8,63.9,A형,19530519,010-7665-8166,p5r493s,daum.net,기독교,237.216.3.164,94:8a:5e:c4:f5:77
1692,서종준,남성,163.0,63.0,A형,19571003,010-2636-7297,z4r3pr1qy6w,naver.com,기독교,214.168.167.154,c5:30:9b:29:c4:81
1710,강준남,남성,170.2,60.8,B형,19801106,010-7946-9963,romm0f66p,gmail.com,불교,62.18.66.175,f4:7b:a4:69:4b:5b
1733,문훈덕,남성,168.0,65.0,B형,19920414,010-1971-8479,yosd3vlwnj6o,gmail.com,기독교,229.186.190.52,2e:a6:a9:30:72:50
1750,양지진,남성,171.0,68.3,AB형,19531203,010-7656-7358,fimpnh9phy8i,gmail.com,불교,7.58.100.255,9a:5b:9c:97:05:7a
1753,이용택,여성,151.3,56.3,B형,19880717,010-8192-8312,ec0cfgaktd,naver.com,무교,195.191.33.103,2a:14:fe:99:60:cc
1762,이협남,여성,159.7,53.4,B형,19780820,010-8094-2749,y4719fv1oekta,daum.net,기독교,57.186.136.128,2e:52:0d:96:7a:91
1766,김준용,여성,153.1,55.7,O형,19640703,010-1974-8775,aei75d,daum.net,불교,170.198.236.177,b6:02:3b:61:f0:fb
1780,최성훈,여성,149.2,51.4,O형,19530927,010-8965-8629,p5hv3euvpg,naver.com,무교,145.6.245.164,6b:37:87:41:66:b0
1781,김덕훈,남성,178.0,65.3,O형,19530918,010-9102-8803,kk2uq2,daum.net,기독교,102.183.114.100,d3:07:2c:d2:81:10
1788,변종덕,남성,163.2,69.0,A형,19530514,010-4228-0026,fgwornxy,gmail.com,무교,197.138.44.223,44:df:9f:dd:3f:6c
1790,장성지,남성,167.6,65.5,B형,19931226,010-0125-5518,w3w1kl,yahoo.com,기독교,172.225.239.43,bb:4c:e8:74:bf:95
1792,김석희,남성,167.2,65.9,O형,19580915,010-5156-0559,vpxphzt,yahoo.com,불교,38.110.222.26,e9:55:3e:db:d7:db
1793,김남준,여성,151.6,49.4,O형,19881116,010-8781-4896,yc46ir,yahoo.com,기독교,14.200.107.123,bc:59:a9:67:eb:28
1794,조종정,여성,154.6,58.3,B형,19780919,010-6294-7328,vhrjsj,gmail.com,기독교,155.251.1.90,e1:32:2f:48:41:c2
1795,육진택,여성,159.0,52.3,O형,19840522,010-3226-3143,rkpsi3cykol,yahoo.com,무교,252.246.140.197,8d:1f:46:5a:ec:a1
1800,최덕지,여성,157.9,55.2,B형,19500930,010-9555-0451,a2i07stpm,gmail.com,무교,247.115.200.112,7d:12:05:22:f9:e2
1806,전진지,남성,163.9,69.3,O형,19520213,010-3310-9432,zit5o6tp2l43,gmail.com,무교,224.180.64.161,75:d5:f5:84:5d:9f
1813,구희지,여성,153.1,57.3,A형,19711009,010-8314-6047,xuskdv,daum.net,무교,64.245.246.103,d1:5d:1d:50:65:ba
1814,김서훈,여성,163.1,58.7,B형,19530119,010-4951-5096,c5wsysmfu8lth,gmail.com,기독교,41.154.226.211,17:cb:d7:b3:d0:05
1820,강지준,여성,165.1,58.5,A형,19931202,010-5172-5719,ai9gqts,yahoo.com,기독교,8.144.165.42,28:5a:81:ef:5d:44
1822,채덕현,여성,156.4,54.4,AB형,19880304,010-2390-0436,l9vjxzle5x4in,naver.com,무교,177.246.61.126,b4:83:88:d2:1d:02
1829,박협은,여성,148.5,56.0,A형,19760527,010-8615-5669,ih8p0ungpmj,daum.net,불교,127.23.241.21,8e:05:23:a5:3e:9c
