No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,최종학력,전공,학점
30194,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,gmail.com,불교,서울기독대학교,교육,0.3
40426,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,gmail.com,무교,건국대학교,의학,2.13
57952,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,yahoo.com,무교,한국체육대학교,의학,0.67
74267,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,gmail.com,무교,서강대학교,자연,3.78
1371,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1946****,*************,*************,naver.com,무교,서경대학교,의학,2.54
14060,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1946****,*************,*************,daum.net,무교,경희대학교,법학,0.79
19088,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",AB형,1946****,*************,*************,gmail.com,무교,국민대학교,교육,2.04
60090,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",O형,1946****,*************,*************,yahoo.com,기독교,성공회대학교,공학,3.5
83808,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",AB형,1946****,*************,*************,daum.net,기독교,홍익대학교,인문,3.72
95398,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",O형,1946****,*************,*************,daum.net,기독교,서울여자대학교,의학,2.89
28537,박**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1946****,*************,*************,gmail.com,불교,동덕여자대학교,예체능,1.53
72006,박**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1946****,*************,*************,yahoo.com,무교,KAIST,인문,3.43
98571,박**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1946****,*************,*************,yahoo.com,무교,서울대학교,의학,0.79
9442,이**,여성,"[160.0, 170.0[","[50.0, 60.0[",O형,1946****,*************,*************,naver.com,무교,숙명여자대학교,사회,0.21
17092,이**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1946****,*************,*************,daum.net,무교,숭실대학교,의학,4.11
48113,이**,남성,"[160.0, 170.0[","[50.0, 60.0[",O형,1946****,*************,*************,naver.com,불교,서강대학교,예체능,2.71
67500,이**,여성,"[160.0, 170.0[","[50.0, 60.0[",AB형,1946****,*************,*************,yahoo.com,무교,명지대학교,법학,1.28
11025,조**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,gmail.com,불교,세종대학교,자연,0.16
64838,조**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,yahoo.com,무교,홍익대학교,법학,1.47
92541,조**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,naver.com,기독교,한국외국어대학교,의학,2.74
8765,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,naver.com,무교,상명대학교,자연,1.56
13978,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1946****,*************,*************,daum.net,불교,광운대학교,공학,1.87
93725,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,gmail.com,무교,한국외국어대학교,자연,1.47
50208,김**,여성,"[140.6, 150.0[","[50.0, 60.0[",AB형,1947****,*************,*************,daum.net,기독교,추계예술대학교,교육,2.51
51337,김**,여성,"[140.6, 150.0[","[50.0, 60.0[",A형,1947****,*************,*************,gmail.com,기독교,서경대학교,교육,1.38
62193,김**,여성,"[140.6, 150.0[","[50.0, 60.0[",A형,1947****,*************,*************,naver.com,천주교,추계예술대학교,법학,0.68
86519,김**,여성,"[140.6, 150.0[","[50.0, 60.0[",B형,1947****,*************,*************,naver.com,무교,동덕여자대학교,교육,3.09
7246,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,yahoo.com,기독교,성공회대학교,교육,0.09
31992,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,gmail.com,불교,육군사관학교,교육,2.42
39589,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,gmail.com,무교,성공회대학교,인문,3.89
87144,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1947****,*************,*************,naver.com,무교,서강대학교,인문,1.68
19710,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1947****,*************,*************,daum.net,불교,명지대학교,예체능,1.42
46523,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,naver.com,불교,그리스도대학교,교육,0.28
48037,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,yahoo.com,무교,이화여자대학,의학,0.66
81727,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,gmail.com,기독교,추계예술대학교,법학,2.54
1185,신**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1947****,*************,*************,daum.net,무교,상명대학교,법학,0.6
74841,신**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,daum.net,불교,한성대학교,법학,4.4
77897,신**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1947****,*************,*************,daum.net,무교,한성대학교,예체능,4.4
8778,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1947****,*************,*************,gmail.com,기독교,서강대학교,교육,0.41
21955,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1947****,*************,*************,gmail.com,무교,동덕여자대학교,법학,3.53
30921,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1947****,*************,*************,yahoo.com,무교,서울대학교,자연,3.87
32775,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1947****,*************,*************,daum.net,불교,한양대학교,인문,3.29
34489,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1947****,*************,*************,yahoo.com,기독교,세종대학교,인문,1.14
35434,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1947****,*************,*************,naver.com,무교,덕성자대학교,예체능,1.59
52198,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,naver.com,무교,숙명여자대학교,사회,0.86
70074,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,yahoo.com,불교,명지대학교,교육,0.83
98711,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1947****,*************,*************,daum.net,무교,한영신학대학교,공학,0.85
1732,이**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1947****,*************,*************,yahoo.com,기독교,명지대학교,자연,2.67
17134,이**,남성,"[160.0, 170.0[","[50.0, 60.0[",A형,1947****,*************,*************,gmail.com,무교,숭실대학교,의학,2.3
82602,이**,남성,"[160.0, 170.0[","[50.0, 60.0[",O형,1947****,*************,*************,daum.net,무교,가톨릭대학교,인문,1.7
11993,임**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1947****,*************,*************,yahoo.com,무교,상명대학교,자연,2.67
25885,임**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1947****,*************,*************,yahoo.com,불교,KAIST,사회,2.74
33227,임**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,naver.com,불교,동덕여자대학교,교육,4.2
10418,황**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,gmail.com,기독교,총신대학교,인문,1.26
84191,황**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1947****,*************,*************,yahoo.com,무교,홍익대학교,예체능,3.13
98701,황**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1947****,*************,*************,naver.com,불교,장로회신학대학교,사회,1.25
21376,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,gmail.com,무교,가톨릭대학교,인문,1.89
28805,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,naver.com,천주교,한국체육대학교,예체능,0.52
35108,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,gmail.com,불교,서울과학기술대학교,의학,0.39
35347,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,yahoo.com,불교,한국예술종합학교,의학,4.35
41688,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,daum.net,무교,상명대학교,법학,1.12
50815,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,yahoo.com,무교,이화여자대학,자연,0.14
58210,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,naver.com,무교,한국방송통신대학교,의학,1.47
61681,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,yahoo.com,기독교,삼육대학교,자연,0.14
64018,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,daum.net,무교,가톨릭대학교,자연,1.16
85032,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,daum.net,무교,이화여자대학,자연,3.41
89947,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,gmail.com,무교,세종대학교,예체능,0.34
90054,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,daum.net,무교,한국외국어대학교,인문,2.23
90993,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,daum.net,불교,숙명여자대학교,의학,2.64
57001,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",O형,1948****,*************,*************,daum.net,기독교,한국예술종합학교,인문,1.14
71855,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1948****,*************,*************,yahoo.com,불교,숙명여자대학교,사회,2.65
74913,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1948****,*************,*************,naver.com,무교,가톨릭대학교,사회,3.66
84355,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",O형,1948****,*************,*************,daum.net,무교,홍익대학교,인문,2.43
91846,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1948****,*************,*************,daum.net,무교,중앙대학교,교육,1.07
99657,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1948****,*************,*************,daum.net,기독교,경희대학교,교육,4.38
38209,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,gmail.com,불교,연세대학교,자연,3.27
38794,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1948****,*************,*************,yahoo.com,무교,성신여자대학교,의학,3.57
62881,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1948****,*************,*************,daum.net,무교,숭실대학교,의학,1.55
80568,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1948****,*************,*************,gmail.com,불교,경기대학교,교육,3.97
93816,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,daum.net,무교,총신대학교,교육,2.67
5561,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,naver.com,기독교,중앙대학교,예체능,2.39
17490,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,daum.net,무교,상명대학교,교육,3.98
52401,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,gmail.com,무교,가톨릭대학교,자연,2.24
85586,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,daum.net,무교,동덕여자대학교,자연,2.67
87356,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,yahoo.com,불교,장로회신학대학교,교육,3.83
5983,정**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1948****,*************,*************,daum.net,무교,세종대학교,의학,2.77
40030,정**,남성,"[160.0, 170.0[","[50.0, 60.0[",A형,1948****,*************,*************,daum.net,무교,육군사관학교,공학,3.03
52317,정**,여성,"[160.0, 170.0[","[50.0, 60.0[",O형,1948****,*************,*************,naver.com,무교,동국대학교,교육,1.97
93996,정**,남성,"[160.0, 170.0[","[50.0, 60.0[",B형,1948****,*************,*************,gmail.com,무교,성신여자대학교,의학,3.55
2195,조**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,daum.net,불교,그리스도대학교,예체능,3.48
10718,조**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,gmail.com,불교,그리스도대학교,예체능,1.76
80644,조**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,gmail.com,불교,성신여자대학교,교육,0.61
15227,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1949****,*************,*************,daum.net,무교,경기대학교,자연,3.55
16333,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1949****,*************,*************,naver.com,기독교,한국예술종합학교,법학,0.04
22135,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1949****,*************,*************,naver.com,기독교,장로회신학대학교,공학,4.18
22386,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1949****,*************,*************,naver.com,무교,숭실대학교,공학,1.13
34779,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1949****,*************,*************,daum.net,천주교,장로회신학대학교,예체능,2
37955,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1949****,*************,*************,naver.com,무교,서울과학기술대학교,자연,4.12
38685,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1949****,*************,*************,daum.net,불교,서울시립대학교,법학,2.24
42564,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1949****,*************,*************,daum.net,무교,그리스도대학교,예체능,2.98
55889,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1949****,*************,*************,yahoo.com,기독교,추계예술대학교,법학,2.76
88134,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1949****,*************,*************,daum.net,무교,서울기독대학교,자연,2.17
89152,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1949****,*************,*************,daum.net,무교,고려대학교,교육,1.73
92795,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1949****,*************,*************,naver.com,무교,총신대학교,의학,1.47
9774,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1949****,*************,*************,gmail.com,불교,숭실대학교,자연,3.73
11360,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1949****,*************,*************,yahoo.com,불교,삼육대학교,의학,1.68
31823,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1949****,*************,*************,naver.com,무교,이화여자대학,의학,0.57
46749,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1949****,*************,*************,yahoo.com,무교,한영신학대학교,자연,0.83
59018,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1949****,*************,*************,yahoo.com,기독교,한영신학대학교,법학,4.24
69405,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1949****,*************,*************,yahoo.com,불교,서울과학기술대학교,공학,0.77
97733,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1949****,*************,*************,daum.net,불교,성균관대학교,공학,2.17
28437,박**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1949****,*************,*************,yahoo.com,천주교,광운대학교,공학,0.8
39363,박**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1949****,*************,*************,naver.com,기독교,총신대학교,법학,4.26
44566,박**,남성,"[160.0, 170.0[","[50.0, 60.0[",O형,1949****,*************,*************,daum.net,무교,한국방송통신대학교,예체능,0.02
44624,박**,여성,"[160.0, 170.0[","[50.0, 60.0[",O형,1949****,*************,*************,daum.net,무교,한국체육대학교,교육,1.05
65103,박**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1949****,*************,*************,gmail.com,무교,한국방송통신대학교,자연,0.69
10200,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1949****,*************,*************,yahoo.com,무교,상명대학교,공학,4.41
24210,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1949****,*************,*************,naver.com,천주교,고려대학교,예체능,2.77
28809,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1949****,*************,*************,naver.com,천주교,서울교육대학교,공학,1.89
48839,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1949****,*************,*************,naver.com,기독교,숙명여자대학교,교육,0.92
52353,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1949****,*************,*************,gmail.com,불교,한양대학교,사회,2.44
61892,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1949****,*************,*************,yahoo.com,기독교,한국성서대학교,사회,1.47
15440,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1949****,*************,*************,naver.com,천주교,삼육대학교,자연,3.45
24674,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1949****,*************,*************,yahoo.com,무교,한국체육대학교,자연,3.48
60330,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1949****,*************,*************,daum.net,무교,서울시립대학교,예체능,1.09
65473,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1949****,*************,*************,yahoo.com,무교,동덕여자대학교,의학,4.23
86731,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1949****,*************,*************,yahoo.com,무교,상명대학교,예체능,4.35
19962,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1949****,*************,*************,gmail.com,기독교,건국대학교,교육,3.25
33058,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1949****,*************,*************,naver.com,불교,한국체육대학교,의학,1.41
38720,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1949****,*************,*************,yahoo.com,무교,중앙대학교,공학,0.83
71793,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1949****,*************,*************,naver.com,무교,서울대학교,법학,2.34
73128,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1949****,*************,*************,gmail.com,불교,광운대학교,법학,0.49
86441,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1949****,*************,*************,naver.com,무교,삼육대학교,공학,0.29
267,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1950****,*************,*************,gmail.com,기독교,성신여자대학교,인문,3.55
487,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1950****,*************,*************,gmail.com,불교,한영신학대학교,공학,2.71
11399,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1950****,*************,*************,gmail.com,불교,한성대학교,인문,1.38
30091,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1950****,*************,*************,daum.net,무교,서경대학교,인문,1.25
37783,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1950****,*************,*************,gmail.com,무교,서울과학기술대학교,교육,1.51
46624,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1950****,*************,*************,naver.com,천주교,연세대학교,인문,1
57892,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1950****,*************,*************,yahoo.com,기독교,이화여자대학,예체능,2.83
62335,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1950****,*************,*************,gmail.com,무교,성균관대학교,인문,0.17
89863,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1950****,*************,*************,naver.com,불교,성신여자대학교,자연,0.3
91808,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1950****,*************,*************,gmail.com,기독교,성공회대학교,법학,3.41
91830,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1950****,*************,*************,yahoo.com,불교,덕성자대학교,법학,2.8
9430,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1950****,*************,*************,daum.net,불교,서울여자대학교,자연,0.1
11815,김**,남성,"[160.0, 170.0[","[50.0, 60.0[",B형,1950****,*************,*************,yahoo.com,무교,중앙대학교,공학,2.47
37531,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1950****,*************,*************,naver.com,천주교,중앙대학교,의학,4.18
55386,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",O형,1950****,*************,*************,gmail.com,천주교,그리스도대학교,공학,1.83
73757,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1950****,*************,*************,gmail.com,무교,서울교육대학교,법학,1.91
89353,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",AB형,1950****,*************,*************,daum.net,불교,한국성서대학교,법학,4.31
