['6890', '이**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'A형', '1946****', '*************', '*************', 'gmail.com', '무교', '그리스도대학교', '법학', '3.27']
=> ['23758', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1951****', '*************', '*************', 'gmail.com', '무교', '외환은행', '336-967274-575', '9']: 9.5417
=> ['24323', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'O형', '1955****', '*************', '*************', 'gmail.com', '천주교', '한국씨티은행', '067-011583-514', '8']: 9.5417

['9746', '이**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'A형', '1958****', '*************', '*************', 'gmail.com', '천주교', '이화여자대학', '교육', '0.65']
=> ['24323', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'O형', '1955****', '*************', '*************', 'gmail.com', '천주교', '한국씨티은행', '067-011583-514', '8']: 9.375

['12018', '이**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'AB형', '1958****', '*************', '*************', 'yahoo.com', '무교', '서강대학교', '자연', '1.45']
=> ['2176', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1955****', '*************', '*************', 'yahoo.com', '무교', '한국씨티은행', '662-245799-630', '7']: 9.5417

['70222', '이**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'B형', '1958****', '*************', '*************', 'gmail.com', '불교', '장로회신학대학교', '공학', '2.64']
=> ['98919', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'B형', '1976****', '*************', '*************', 'gmail.com', '불교', '수협중앙회', '9007-4470-5541', '3']: 9.4167

['12466', '박**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'O형', '1961****', '*************', '*************', 'daum.net', '무교', '그리스도대학교', '사회', '3.3']
=> ['52264', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'O형', '1951****', '*************', '*************', 'daum.net', '무교', '한국씨티은행', '737-531643-707', '2']: 9.5417

['46159', '박**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'B형', '1961****', '*************', '*************', 'daum.net', '무교', '한성대학교', '법학', '1.48']
=> ['6520', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'B형', '1965****', '*************', '*************', 'daum.net', '무교', '스탠다드(제일)', '103-92-400822', '6']: 9.5417

['95827', '박**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'A형', '1961****', '*************', '*************', 'daum.net', '기독교', '건국대학교', '예체능', '0.32']
=> ['82199', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1968****', '*************', '*************', 'daum.net', '기독교', '한국씨티은행', '074-420144-740', '2']: 8.9659

['2068', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'A형', '1962****', '*************', '*************', 'gmail.com', '무교', '명지대학교', '교육', '0.64']
=> ['76125', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1961****', '*************', '*************', 'gmail.com', '무교', '국민은행', '010669-06-521252', '3']: 9.875

['2241', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'AB형', '1962****', '*************', '*************', 'yahoo.com', '무교', '명지대학교', '공학', '3.19']
=> ['97185', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1965****', '*************', '*************', 'yahoo.com', '무교', '기업은행', '726-588364-76-559', '7']: 9.2083

['28773', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'O형', '1962****', '*************', '*************', 'naver.com', '무교', '성신여자대학교', '인문', '3.47']
=> ['10468', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'O형', '1982****', '*************', '*************', 'gmail.com', '무교', '기업은행', '135-050316-24-049', '7']: 9.3194

['8401', '이**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'B형', '1964****', '*************', '*************', 'naver.com', '무교', '한성대학교', '예체능', '0.25']
=> ['92696', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1989****', '*************', '*************', 'daum.net', '무교', '우리은행', '6968-265-618612', '4']: 9.25
=> ['52021', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'B형', '1983****', '*************', '*************', 'naver.com', '불교', 'NH농협', '086-3226-289-57', '8']: 9.25

['13493', '이**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'B형', '1964****', '*************', '*************', 'gmail.com', '무교', 'KAIST', '인문', '1.09']
=> ['88351', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'AB형', '1983****', '*************', '*************', 'gmail.com', '무교', '한국씨티은행', '441-997349-362', '7']: 9.4167
=> ['84606', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'AB형', '1955****', '*************', '*************', 'gmail.com', '무교', '새마을금고', '3-64650633897-9', '1']: 9.4167
=> ['52021', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'B형', '1983****', '*************', '*************', 'naver.com', '불교', 'NH농협', '086-3226-289-57', '8']: 9.4167

['59575', '이**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'B형', '1964****', '*************', '*************', 'daum.net', '무교', '이화여자대학', '인문', '2.12']
=> ['6520', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'B형', '1965****', '*************', '*************', 'daum.net', '무교', '스탠다드(제일)', '103-92-400822', '6']: 9.875

['81632', '이**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'B형', '1964****', '*************', '*************', 'gmail.com', '불교', '한국성서대학교', '인문', '4.43']
=> ['98919', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'B형', '1976****', '*************', '*************', 'gmail.com', '불교', '수협중앙회', '9007-4470-5541', '3']: 9.4167

['14577', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'O형', '1968****', '*************', '*************', 'yahoo.com', '불교', '한국체육대학교', '인문', '1.95']
=> ['38569', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'O형', '1965****', '*************', '*************', 'yahoo.com', '불교', '하나은행', '330-453514-38354', '2']: 9.5417

['28025', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'B형', '1968****', '*************', '*************', 'gmail.com', '불교', 'KAIST', '인문', '2.08']
=> ['98919', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'B형', '1976****', '*************', '*************', 'gmail.com', '불교', '수협중앙회', '9007-4470-5541', '3']: 9.75

['35071', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'A형', '1968****', '*************', '*************', 'naver.com', '무교', '한양대학교', '사회', '3.99']
=> ['2468', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1996****', '*************', '*************', 'naver.com', '무교', '스탠다드(제일)', '183-44-697394', '2']: 9.4167

['53379', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'A형', '1968****', '*************', '*************', 'yahoo.com', '무교', '서경대학교', '자연', '0.08']
=> ['97185', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1965****', '*************', '*************', 'yahoo.com', '무교', '기업은행', '726-588364-76-559', '7']: 9.5417

['6605', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'O형', '1970****', '*************', '*************', 'naver.com', '무교', '홍익대학교', '사회', '3.72']
=> ['91200', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'AB형', '1988****', '*************', '*************', 'daum.net', '불교', '수협중앙회', '9397-6209-9546', '5']: 9.1944
=> ['10468', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'O형', '1982****', '*************', '*************', 'gmail.com', '무교', '기업은행', '135-050316-24-049', '7']: 9.1944

['13820', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'O형', '1970****', '*************', '*************', 'yahoo.com', '무교', '건국대학교', '의학', '1.1']
=> ['91200', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'AB형', '1988****', '*************', '*************', 'daum.net', '불교', '수협중앙회', '9397-6209-9546', '5']: 9.1944
=> ['10468', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'O형', '1982****', '*************', '*************', 'gmail.com', '무교', '기업은행', '135-050316-24-049', '7']: 9.1944

['15719', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'A형', '1970****', '*************', '*************', 'yahoo.com', '무교', '한국성서대학교', '법학', '4.39']
=> ['2176', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1955****', '*************', '*************', 'yahoo.com', '무교', '한국씨티은행', '662-245799-630', '7']: 9.4167
=> ['38569', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'O형', '1965****', '*************', '*************', 'yahoo.com', '불교', '하나은행', '330-453514-38354', '2']: 9.4167

['42793', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'A형', '1970****', '*************', '*************', 'gmail.com', '무교', '고려대학교', '교육', '0.23']
=> ['23758', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1951****', '*************', '*************', 'gmail.com', '무교', '외환은행', '336-967274-575', '9']: 9.75
=> ['73000', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1961****', '*************', '*************', 'yahoo.com', '불교', '한국씨티은행', '743-465005-167', '9']: 9.75

['8230', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'A형', '1971****', '*************', '*************', 'gmail.com', '기독교', '한국성서대학교', '예체능', '0.25']
=> ['9284', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1976****', '*************', '*************', 'naver.com', '기독교', '우리은행', '3272-077-386655', '7']: 9.3194

['19112', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'A형', '1971****', '*************', '*************', 'naver.com', '무교', '광운대학교', '공학', '2.93']
=> ['2468', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1996****', '*************', '*************', 'naver.com', '무교', '스탠다드(제일)', '183-44-697394', '2']: 9.4167

['96379', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'O형', '1971****', '*************', '*************', 'yahoo.com', '천주교', '한국외국어대학교', '자연', '3.48']
=> ['45511', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'O형', '1982****', '*************', '*************', 'yahoo.com', '천주교', '우리은행', '9056-764-245571', '5']: 9.75

['32901', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'O형', '1979****', '*************', '*************', 'gmail.com', '무교', '경기대학교', '의학', '2.68']
=> ['35857', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'O형', '1989****', '*************', '*************', 'gmail.com', '무교', '새마을금고', '1-36070368193-1', '6']: 9.875

['53233', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'A형', '1979****', '*************', '*************', 'yahoo.com', '불교', '홍익대학교', '의학', '1.77']
=> ['73000', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1961****', '*************', '*************', 'yahoo.com', '불교', '한국씨티은행', '743-465005-167', '9']: 9.75

['67485', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'A형', '1979****', '*************', '*************', 'naver.com', '기독교', '숙명여자대학교', '법학', '2.04']
=> ['9284', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1976****', '*************', '*************', 'naver.com', '기독교', '우리은행', '3272-077-386655', '7']: 9.875

['86825', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'A형', '1979****', '*************', '*************', 'daum.net', '무교', '성신여자대학교', '법학', '4.03']
=> ['27829', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1976****', '*************', '*************', 'daum.net', '무교', '외환은행', '773-589650-634', '6']: 9.875
=> ['77614', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'O형', '1989****', '*************', '*************', 'daum.net', '기독교', 'NH농협', '467-5415-350-15', '7']: 9.875

['38549', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'B형', '1980****', '*************', '*************', 'daum.net', '천주교', '중앙대학교', '예체능', '1.34']
=> ['66308', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'B형', '1988****', '*************', '*************', 'daum.net', '기독교', 'NH농협', '189-7703-506-96', '4']: 9.2083
=> ['35857', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'O형', '1989****', '*************', '*************', 'gmail.com', '무교', '새마을금고', '1-36070368193-1', '6']: 9.2083

['38778', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'A형', '1980****', '*************', '*************', 'gmail.com', '기독교', '서울과학기술대학교', '자연', '2.34']
=> ['9284', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1976****', '*************', '*************', 'naver.com', '기독교', '우리은행', '3272-077-386655', '7']: 9.1944

['79422', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'B형', '1980****', '*************', '*************', 'gmail.com', '천주교', '추계예술대학교', '예체능', '3.85']
=> ['5216', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'B형', '1982****', '*************', '*************', 'gmail.com', '천주교', '수협중앙회', '2696-2785-3511', '4']: 9.875

['62651', '이**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'A형', '1984****', '*************', '*************', 'daum.net', '무교', '연세대학교', '교육', '2.22']
=> ['92696', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1989****', '*************', '*************', 'daum.net', '무교', '우리은행', '6968-265-618612', '4']: 9.5417

['85000', '이**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'AB형', '1984****', '*************', '*************', 'daum.net', '기독교', '추계예술대학교', '자연', '1.42']
=> ['26982', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'B형', '1983****', '*************', '*************', 'daum.net', '기독교', '우리은행', '7417-799-949944', '6']: 9.5417

['87179', '이**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'B형', '1984****', '*************', '*************', 'yahoo.com', '무교', '한국방송통신대학교', '법학', '1.96']
=> ['2176', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1955****', '*************', '*************', 'yahoo.com', '무교', '한국씨티은행', '662-245799-630', '7']: 9.25
=> ['38569', '이**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'O형', '1965****', '*************', '*************', 'yahoo.com', '불교', '하나은행', '330-453514-38354', '2']: 9.25

['22023', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'O형', '1986****', '*************', '*************', 'gmail.com', '기독교', '국민대학교', '인문', '1.7']
=> ['91200', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'AB형', '1988****', '*************', '*************', 'daum.net', '불교', '수협중앙회', '9397-6209-9546', '5']: 9.2083
=> ['10468', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'O형', '1982****', '*************', '*************', 'gmail.com', '무교', '기업은행', '135-050316-24-049', '7']: 9.2083

['26114', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'AB형', '1986****', '*************', '*************', 'daum.net', '불교', '한국방송통신대학교', '인문', '0.09']
=> ['91200', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'AB형', '1988****', '*************', '*************', 'daum.net', '불교', '수협중앙회', '9397-6209-9546', '5']: 9.875

['28887', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'O형', '1986****', '*************', '*************', 'naver.com', '기독교', '한영신학대학교', '공학', '3.57']
=> ['9284', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'A형', '1976****', '*************', '*************', 'naver.com', '기독교', '우리은행', '3272-077-386655', '7']: 9.375

['70168', '김**', '여성', '[150.0, 160.0[', '[40.3, 50.0[', 'B형', '1986****', '*************', '*************', 'naver.com', '무교', '경희대학교', '법학', '1.45']
=> ['75184', '김**', '여성', '[150.0, 160.0[', '[40.1, 50.0[', 'B형', '1988****', '*************', '*************', 'gmail.com', '무교', '신한은행', '572-502-096297', '4']: 9.3194

['6477', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1946****', '*************', '*************', 'gmail.com', '무교', '동덕여자대학교', '교육', '2.08']
=> ['88912', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1976****', '*************', '*************', 'daum.net', '무교', '수협중앙회', '6876-7272-8292', '3']: 9.875
=> ['71190', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1995****', '*************', '*************', 'gmail.com', '불교', '수협중앙회', '2166-5002-5316', '7']: 9.875
=> ['39589', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'gmail.com', '무교', '하나은행', '999-458083-92669', '1']: 9.875
=> ['28066', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1996****', '*************', '*************', 'yahoo.com', '무교', '새마을금고', '5-42568530198-8', '7']: 9.875
=> ['62239', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1947****', '*************', '*************', 'naver.com', '불교', 'NH농협', '045-6838-618-64', '7']: 9.875

['6688', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1946****', '*************', '*************', 'gmail.com', '천주교', '한국체육대학교', '교육', '2.82']
=> ['32451', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1960****', '*************', '*************', 'naver.com', '기독교', '우리은행', '8400-936-444457', '6']: 9.75
=> ['17231', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1959****', '*************', '*************', 'naver.com', '무교', '수협중앙회', '0463-2321-9793', '7']: 9.75
=> ['10671', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1950****', '*************', '*************', 'gmail.com', '천주교', '하나은행', '285-224561-74668', '5']: 9.75
=> ['20979', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1959****', '*************', '*************', 'gmail.com', '천주교', '스탠다드(제일)', '910-55-288321', '3']: 9.75

['17839', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1946****', '*************', '*************', 'gmail.com', '기독교', '국민대학교', '예체능', '4.21']
=> ['91133', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1976****', '*************', '*************', 'gmail.com', '기독교', '하나은행', '964-515627-62748', '5']: 9.875

['20461', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1946****', '*************', '*************', 'daum.net', '기독교', '서강대학교', '예체능', '2.24']
=> ['33166', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'daum.net', '기독교', '스탠다드(제일)', '460-68-108811', '8']: 9.875

['30194', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1946****', '*************', '*************', 'gmail.com', '불교', '서울기독대학교', '교육', '0.3']
=> ['7835', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1986****', '*************', '*************', 'daum.net', '불교', '국민은행', '714358-84-858948', '4']: 9.875
=> ['73356', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1956****', '*************', '*************', 'gmail.com', '불교', '하나은행', '353-189091-43157', '5']: 9.875

['40426', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'gmail.com', '무교', '건국대학교', '의학', '2.13']
=> ['27308', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1948****', '*************', '*************', 'gmail.com', '무교', '신한은행', '952-212-761005', '7']: 9.875
=> ['80137', '조**', '남성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1948****', '*************', '*************', 'gmail.com', '무교', '새마을금고', '5-46700013983-7', '7']: 9.875

['57952', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1946****', '*************', '*************', 'yahoo.com', '무교', '한국체육대학교', '의학', '0.67']
=> ['96007', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1956****', '*************', '*************', 'daum.net', '기독교', '한국씨티은행', '129-503406-244', '7']: 9.875
=> ['50815', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1948****', '*************', '*************', 'yahoo.com', '무교', '한국씨티은행', '271-030950-152', '6']: 9.875
=> ['33367', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1996****', '*************', '*************', 'naver.com', '무교', '한국씨티은행', '721-542148-592', '6']: 9.875

['74267', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'gmail.com', '무교', '서강대학교', '자연', '3.78']
=> ['27308', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1948****', '*************', '*************', 'gmail.com', '무교', '신한은행', '952-212-761005', '7']: 9.875
=> ['80137', '조**', '남성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1948****', '*************', '*************', 'gmail.com', '무교', '새마을금고', '5-46700013983-7', '7']: 9.875

['1371', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1946****', '*************', '*************', 'naver.com', '무교', '서경대학교', '의학', '2.54']
=> ['97246', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1971****', '*************', '*************', 'naver.com', '무교', '수협중앙회', '1147-6508-7373', '2']: 9.75
=> ['81644', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1990****', '*************', '*************', 'gmail.com', '무교', '국민은행', '198315-44-653883', '1']: 9.75
=> ['59149', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1963****', '*************', '*************', 'naver.com', '무교', '신한은행', '212-861-782320', '1']: 9.75
=> ['23968', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1958****', '*************', '*************', 'yahoo.com', '무교', '국민은행', '376273-63-299512', '3']: 9.75
=> ['31828', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1953****', '*************', '*************', 'naver.com', '무교', '외환은행', '194-743302-946', '5']: 9.75

['14060', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1946****', '*************', '*************', 'daum.net', '무교', '경희대학교', '법학', '0.79']
=> ['62824', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1956****', '*************', '*************', 'daum.net', '무교', '새마을금고', '3-87670996027-4', '2']: 9.875

['19088', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1946****', '*************', '*************', 'gmail.com', '무교', '국민대학교', '교육', '2.04']
=> ['34985', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1986****', '*************', '*************', 'gmail.com', '무교', '기업은행', '843-648844-65-137', '7']: 9.875

['60090', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1946****', '*************', '*************', 'yahoo.com', '기독교', '성공회대학교', '공학', '3.5']
=> ['90369', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1983****', '*************', '*************', 'yahoo.com', '기독교', '기업은행', '971-110310-45-015', '2']: 9.75

