CORRECT LIST
['7246', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1947****', '*************', '*************', 'yahoo.com', '기독교', '성공회대학교', '교육', '0.09']
['32935', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1956****', '*************', '*************', 'naver.com', '무교', '서울교육대학교', '공학', '2.71']
['40718', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1956****', '*************', '*************', 'yahoo.com', '불교', '국민대학교', '자연', '3.64']
['52450', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1956****', '*************', '*************', 'daum.net', '천주교', '서울과학기술대학교', '교육', '1.64']
['80179', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1956****', '*************', '*************', 'yahoo.com', '무교', '상명대학교', '자연', '2.44']
['39255', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'naver.com', '무교', '홍익대학교', '교육', '1.82']
['92862', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1957****', '*************', '*************', 'gmail.com', '기독교', '중앙대학교', '교육', '3.46']
['69007', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1957****', '*************', '*************', 'naver.com', '불교', '숭실대학교', '사회', '0.94']
['78360', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1957****', '*************', '*************', 'naver.com', '무교', '한영신학대학교', '사회', '3.02']
['24598', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'gmail.com', '기독교', '서울대학교', '자연', '2.34']
['66973', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1957****', '*************', '*************', 'daum.net', '천주교', '광운대학교', '인문', '0.77']
['77473', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1957****', '*************', '*************', 'yahoo.com', '불교', '세종대학교', '의학', '1']
['37048', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1959****', '*************', '*************', 'naver.com', '무교', '성균관대학교', '교육', '0.64']
['66463', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1959****', '*************', '*************', 'gmail.com', '불교', '광운대학교', '의학', '0.68']
['97232', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1959****', '*************', '*************', 'daum.net', '무교', '장로회신학대학교', '자연', '1.29']
['33700', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1959****', '*************', '*************', 'yahoo.com', '불교', '그리스도대학교', '인문', '3.97']
['8352', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1959****', '*************', '*************', 'gmail.com', '무교', '한영신학대학교', '의학', '0.35']
['32451', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1960****', '*************', '*************', 'naver.com', '기독교', '서울교육대학교', '자연', '4.3']
['95040', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1960****', '*************', '*************', 'gmail.com', '무교', '광운대학교', '인문', '4.34']
['6986', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1960****', '*************', '*************', 'gmail.com', '무교', '명지대학교', '자연', '4.08']
['41375', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1961****', '*************', '*************', 'gmail.com', '기독교', '총신대학교', '예체능', '2.76']
['75216', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1961****', '*************', '*************', 'daum.net', '천주교', '동국대학교', '자연', '2.68']
['93835', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1961****', '*************', '*************', 'naver.com', '불교', '서울여자대학교', '자연', '2.1']
['15064', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1961****', '*************', '*************', 'gmail.com', '불교', '홍익대학교', '법학', '2.77']
['51400', '김**', '여성', '[140.6, 150.0[', '[50.0, 60.0[', 'O형', '1962****', '*************', '*************', 'naver.com', '기독교', '육군사관학교', '법학', '3']
['55936', '김**', '남성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1962****', '*************', '*************', 'naver.com', '불교', '숭실대학교', '사회', '3.57']
['69973', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1962****', '*************', '*************', 'gmail.com', '불교', '홍익대학교', '의학', '0.67']
['71533', '김**', '여성', '[140.6, 150.0[', '[50.0, 60.0[', 'B형', '1963****', '*************', '*************', 'yahoo.com', '무교', '서울기독대학교', '공학', '3.59']
['85783', '김**', '여성', '[140.6, 150.0[', '[50.0, 60.0[', 'A형', '1963****', '*************', '*************', 'daum.net', '불교', '서강대학교', '인문', '1.55']
['38662', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1963****', '*************', '*************', 'yahoo.com', '무교', '명지대학교', '공학', '2.99']
['48025', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1963****', '*************', '*************', 'daum.net', '무교', '서강대학교', '교육', '1.16']
['61142', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1963****', '*************', '*************', 'yahoo.com', '무교', '경기대학교', '인문', '1.14']
['94657', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1963****', '*************', '*************', 'yahoo.com', '천주교', '성신여자대학교', '교육', '3.16']
['95410', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1964****', '*************', '*************', 'daum.net', '불교', '상명대학교', '예체능', '0.06']
['31648', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1964****', '*************', '*************', 'naver.com', '무교', '서울기독대학교', '법학', '2.86']
['60716', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1964****', '*************', '*************', 'naver.com', '기독교', '서울대학교', '사회', '2.46']
['12175', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1965****', '*************', '*************', 'daum.net', '기독교', '광운대학교', '예체능', '2.21']
['65442', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1965****', '*************', '*************', 'daum.net', '천주교', '한국외국어대학교', '교육', '1.24']
['33166', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'daum.net', '기독교', '그리스도대학교', '의학', '1.03']
['37485', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'naver.com', '무교', '국민대학교', '법학', '3.82']
['7968', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1966****', '*************', '*************', 'naver.com', '불교', '상명대학교', '의학', '2.27']
['31166', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1966****', '*************', '*************', 'gmail.com', '기독교', '한국성서대학교', '공학', '3.42']
['4233', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1968****', '*************', '*************', 'daum.net', '무교', '서울기독대학교', '공학', '4.03']
['36366', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'yahoo.com', '무교', '서울과학기술대학교', '예체능', '0.04']
['95093', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'daum.net', '무교', '추계예술대학교', '인문', '3.16']
['98805', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'daum.net', '기독교', '서울여자대학교', '법학', '1.27']
['10413', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1968****', '*************', '*************', 'daum.net', '무교', 'KAIST', '사회', '3.26']
['10604', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1968****', '*************', '*************', 'gmail.com', '불교', '추계예술대학교', '교육', '0.52']
['89988', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1968****', '*************', '*************', 'daum.net', '불교', '중앙대학교', '교육', '0.35']
['41799', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1969****', '*************', '*************', 'naver.com', '무교', '서울시립대학교', '자연', '1.04']
['59580', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1970****', '*************', '*************', 'daum.net', '무교', '건국대학교', '의학', '1.48']
['36721', '강**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1971****', '*************', '*************', 'gmail.com', '불교', '세종대학교', '인문', '3.3']
['14972', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1971****', '*************', '*************', 'naver.com', '무교', '한양대학교', '예체능', '2.46']
['86099', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1971****', '*************', '*************', 'naver.com', '기독교', '서울과학기술대학교', '인문', '4.12']
['97189', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1972****', '*************', '*************', 'yahoo.com', '무교', '서울여자대학교', '의학', '0.96']
['86222', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1972****', '*************', '*************', 'gmail.com', '무교', '숭실대학교', '예체능', '3.39']
['87918', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1972****', '*************', '*************', 'gmail.com', '무교', '서울기독대학교', '의학', '0.52']
['21941', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1973****', '*************', '*************', 'daum.net', '불교', '건국대학교', '의학', '0.38']
['78355', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1973****', '*************', '*************', 'yahoo.com', '불교', '서울기독대학교', '공학', '1.76']
['57566', '이**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1973****', '*************', '*************', 'daum.net', '무교', '서울교육대학교', '법학', '1.36']
['84438', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1973****', '*************', '*************', 'gmail.com', '무교', '서울기독대학교', '인문', '2.69']
['3212', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1974****', '*************', '*************', 'yahoo.com', '불교', '성균관대학교', '교육', '2.05']
['42063', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1974****', '*************', '*************', 'gmail.com', '무교', '서울시립대학교', '의학', '1.06']
['57357', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1974****', '*************', '*************', 'yahoo.com', '무교', 'KAIST', '공학', '4']
['74558', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1974****', '*************', '*************', 'naver.com', '무교', '한국외국어대학교', '예체능', '3.34']
['25986', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1975****', '*************', '*************', 'gmail.com', '불교', '동덕여자대학교', '의학', '2.79']
['19447', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1975****', '*************', '*************', 'daum.net', '무교', '서울여자대학교', '의학', '2.08']
['52200', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1975****', '*************', '*************', 'daum.net', '무교', '중앙대학교', '인문', '1.24']
['85817', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1975****', '*************', '*************', 'daum.net', '무교', '경기대학교', '자연', '1.82']
['34414', '조**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1976****', '*************', '*************', 'naver.com', '기독교', '총신대학교', '교육', '2.55']
['8253', '김**', '여성', '[140.6, 150.0[', '[50.0, 60.0[', 'A형', '1977****', '*************', '*************', 'yahoo.com', '기독교', '육군사관학교', '사회', '0.33']
['10656', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1977****', '*************', '*************', 'gmail.com', '무교', '세종대학교', '인문', '1.04']
['55441', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1978****', '*************', '*************', 'gmail.com', '무교', '건국대학교', '교육', '0.94']
['36040', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1978****', '*************', '*************', 'naver.com', '무교', '연세대학교', '사회', '3.7']
['55058', '정**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'B형', '1978****', '*************', '*************', 'gmail.com', '무교', '한성대학교', '예체능', '2.5']
['4075', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1979****', '*************', '*************', 'yahoo.com', '무교', '상명대학교', '인문', '0.78']
['4194', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1979****', '*************', '*************', 'daum.net', '무교', '숙명여자대학교', '사회', '0.3']
['31026', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1980****', '*************', '*************', 'gmail.com', '무교', '서울과학기술대학교', '교육', '1.44']
['62502', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1980****', '*************', '*************', 'gmail.com', '기독교', '한국성서대학교', '교육', '0.38']
['67540', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1980****', '*************', '*************', 'naver.com', '기독교', '서강대학교', '예체능', '4.05']
['33779', '김**', '남성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1980****', '*************', '*************', 'gmail.com', '기독교', '한국체육대학교', '공학', '4.34']
['21487', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1980****', '*************', '*************', 'gmail.com', '기독교', '서울여자대학교', '공학', '0.52']
['56740', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1980****', '*************', '*************', 'yahoo.com', '불교', '동덕여자대학교', '공학', '1.28']
['47773', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1980****', '*************', '*************', 'daum.net', '불교', '장로회신학대학교', '사회', '0.72']
['12893', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1981****', '*************', '*************', 'yahoo.com', '천주교', '총신대학교', '공학', '4.07']
['11711', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1982****', '*************', '*************', 'yahoo.com', '무교', '숭실대학교', '자연', '3.13']
['76192', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1982****', '*************', '*************', 'daum.net', '기독교', '추계예술대학교', '예체능', '3.32']
['34113', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1982****', '*************', '*************', 'daum.net', '천주교', '한영신학대학교', '법학', '0.09']
['42626', '조**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1982****', '*************', '*************', 'gmail.com', '무교', '한국외국어대학교', '공학', '1.04']
['34162', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1983****', '*************', '*************', 'yahoo.com', '기독교', '한국체육대학교', '공학', '2.61']
['3661', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1983****', '*************', '*************', 'daum.net', '무교', '경기대학교', '법학', '3.18']
['6170', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1983****', '*************', '*************', 'gmail.com', '무교', '홍익대학교', '예체능', '0.73']
['17438', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1983****', '*************', '*************', 'daum.net', '무교', '성신여자대학교', '공학', '0.37']
['81222', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1984****', '*************', '*************', 'gmail.com', '기독교', '중앙대학교', '사회', '2.57']
['69852', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1985****', '*************', '*************', 'gmail.com', '천주교', '서울대학교', '자연', '0.41']
['74110', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1986****', '*************', '*************', 'daum.net', '무교', '중앙대학교', '인문', '0.69']
['10870', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1986****', '*************', '*************', 'daum.net', '기독교', '추계예술대학교', '예체능', '1.33']
['65604', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'AB형', '1986****', '*************', '*************', 'daum.net', '무교', '그리스도대학교', '자연', '3.56']
['12276', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1986****', '*************', '*************', 'gmail.com', '천주교', '한국성서대학교', '인문', '0.72']
['61919', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1986****', '*************', '*************', 'gmail.com', '무교', '이화여자대학', '사회', '3.62']
['28872', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1987****', '*************', '*************', 'daum.net', '무교', '서울기독대학교', '예체능', '2.79']
['61229', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1987****', '*************', '*************', 'yahoo.com', '무교', '동국대학교', '자연', '4.13']
['91250', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1987****', '*************', '*************', 'daum.net', '무교', '서울교육대학교', '공학', '1.08']
['27252', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1988****', '*************', '*************', 'gmail.com', '기독교', '건국대학교', '공학', '4.02']
['52574', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1988****', '*************', '*************', 'yahoo.com', '기독교', '고려대학교', '예체능', '3.33']
['85007', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1988****', '*************', '*************', 'daum.net', '기독교', '동덕여자대학교', '의학', '2.18']
['45731', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1988****', '*************', '*************', 'gmail.com', '무교', '가톨릭대학교', '인문', '1.1']
['40658', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1989****', '*************', '*************', 'daum.net', '불교', '그리스도대학교', '공학', '1.34']
['41437', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1989****', '*************', '*************', 'yahoo.com', '기독교', '연세대학교', '예체능', '4.11']
['7339', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1990****', '*************', '*************', 'daum.net', '무교', '고려대학교', '사회', '2.85']
['9701', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1990****', '*************', '*************', 'naver.com', '불교', 'KAIST', '자연', '1']
['31206', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1990****', '*************', '*************', 'gmail.com', '무교', '홍익대학교', '공학', '2.87']
['80533', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1990****', '*************', '*************', 'gmail.com', '기독교', '서울시립대학교', '공학', '3.42']
['63405', '정**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1990****', '*************', '*************', 'gmail.com', '무교', '서울과학기술대학교', '의학', '2.64']
['17511', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1991****', '*************', '*************', 'gmail.com', '기독교', '명지대학교', '법학', '2.68']
['35633', '김**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1991****', '*************', '*************', 'daum.net', '불교', '서울기독대학교', '사회', '3.76']
['23323', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'O형', '1991****', '*************', '*************', 'gmail.com', '무교', '추계예술대학교', '인문', '1.16']
['14056', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1992****', '*************', '*************', 'daum.net', '무교', '성균관대학교', '공학', '0.6']
['20369', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1992****', '*************', '*************', 'naver.com', '기독교', '동국대학교', '의학', '3.18']
['33162', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'O형', '1992****', '*************', '*************', 'yahoo.com', '무교', '국민대학교', '의학', '0.97']
['36444', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1992****', '*************', '*************', 'daum.net', '무교', '동덕여자대학교', '자연', '2.64']
['67805', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1992****', '*************', '*************', 'gmail.com', '천주교', '서울여자대학교', '자연', '1.68']
['70506', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1993****', '*************', '*************', 'naver.com', '무교', '동덕여자대학교', '공학', '2.97']
['39195', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1993****', '*************', '*************', 'gmail.com', '무교', '광운대학교', '교육', '3.21']
['774', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1994****', '*************', '*************', 'yahoo.com', '기독교', '서울여자대학교', '공학', '3.63']
['52109', '박**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1994****', '*************', '*************', 'naver.com', '무교', '동국대학교', '자연', '4.39']
['33307', '윤**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'AB형', '1994****', '*************', '*************', 'daum.net', '기독교', '명지대학교', '자연', '2.55']
['64763', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1994****', '*************', '*************', 'gmail.com', '무교', '서울기독대학교', '자연', '2.02']
['94270', '이**', '여성', '[160.0, 170.0[', '[50.0, 60.0[', 'A형', '1994****', '*************', '*************', 'daum.net', '천주교', '서울기독대학교', '공학', '2.55']
['58073', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1995****', '*************', '*************', 'yahoo.com', '기독교', '세종대학교', '인문', '3.58']
['30900', '이**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1995****', '*************', '*************', 'naver.com', '기독교', '중앙대학교', '자연', '1.49']
['71190', '최**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'A형', '1995****', '*************', '*************', 'gmail.com', '불교', '감리교신학대학교', '법학', '0.33']
['5422', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1996****', '*************', '*************', 'yahoo.com', '불교', '한영신학대학교', '교육', '1.27']
['33367', '김**', '여성', '[150.0, 160.0[', '[50.0, 60.0[', 'B형', '1996****', '*************', '*************', 'naver.com', '무교', '육군사관학교', '사회', '3.48']
