No,이름,성별,신장,체중,혈액형,생일,전화번호,이메일아이디,이메일도메인,종교관,최종학력,전공,학점
27995,김**,여성,"[160.0, 170.0[","[40.0, 50.0[",A형,1971****,*************,*************,yahoo.com,무교,총신대학교,교육,0.12
4890,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1972****,*************,*************,naver.com,무교,한국외국어대학교,사회,0.81
8328,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1972****,*************,*************,gmail.com,무교,육군사관학교,공학,3.23
25278,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1972****,*************,*************,daum.net,무교,서경대학교,예체능,1.77
12400,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1974****,*************,*************,gmail.com,불교,서울과학기술대학교,의학,4.14
33682,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1974****,*************,*************,daum.net,불교,한국외국어대학교,자연,3.3
39054,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1974****,*************,*************,gmail.com,기독교,숙명여자대학교,자연,3.12
12773,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",AB형,1985****,*************,*************,gmail.com,불교,동국대학교,법학,2.17
15300,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1985****,*************,*************,yahoo.com,기독교,서울시립대학교,법학,0.3
18421,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1985****,*************,*************,naver.com,천주교,국민대학교,사회,1.66
19931,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1985****,*************,*************,gmail.com,무교,건국대학교,예체능,2.25
1440,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1989****,*************,*************,yahoo.com,무교,한영신학대학교,의학,2.7
6054,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1989****,*************,*************,naver.com,불교,동국대학교,인문,4.44
20778,이**,여성,"[150.0, 160.0[","[40.0, 50.0[",B형,1989****,*************,*************,naver.com,무교,성신여자대학교,교육,2.71
24391,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1994****,*************,*************,daum.net,기독교,육군사관학교,사회,2.81
27610,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1994****,*************,*************,naver.com,불교,동덕여자대학교,법학,0.15
36839,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1994****,*************,*************,gmail.com,무교,서경대학교,공학,4.05
6732,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1995****,*************,*************,daum.net,불교,총신대학교,교육,2.49
11366,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",A형,1995****,*************,*************,daum.net,기독교,삼육대학교,사회,2.65
23274,김**,여성,"[150.0, 160.0[","[40.0, 50.0[",O형,1995****,*************,*************,naver.com,불교,서울교육대학교,인문,2.43
543,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,naver.com,기독교,감리교신학대학교,자연,2.69
3517,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,yahoo.com,무교,동덕여자대학교,법학,0.45
11298,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,naver.com,천주교,서울기독대학교,인문,3.27
12315,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,yahoo.com,무교,장로회신학대학교,교육,2.59
13244,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,yahoo.com,기독교,숙명여자대학교,공학,1.06
17942,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,daum.net,무교,국민대학교,인문,2.64
28173,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,yahoo.com,무교,가톨릭대학교,예체능,3.32
28487,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,yahoo.com,불교,육군사관학교,예체능,1.17
34610,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1946****,*************,*************,daum.net,무교,광운대학교,사회,0.24
35696,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,daum.net,무교,한국예술종합학교,사회,3.81
35716,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,yahoo.com,불교,연세대학교,자연,1.08
8070,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",AB형,1946****,*************,*************,daum.net,불교,국민대학교,자연,4.17
8747,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1946****,*************,*************,yahoo.com,무교,명지대학교,인문,1.3
15329,김**,남성,"[160.0, 170.0[","[50.0, 60.0[",B형,1946****,*************,*************,yahoo.com,무교,서강대학교,교육,2.35
30606,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1946****,*************,*************,daum.net,무교,성신여자대학교,공학,1.14
33807,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1946****,*************,*************,yahoo.com,무교,고려대학교,자연,0.57
6697,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,yahoo.com,무교,홍익대학교,예체능,1.9
11494,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1946****,*************,*************,naver.com,천주교,성공회대학교,법학,0.8
25159,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,naver.com,기독교,한성대학교,예체능,0.78
31777,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,naver.com,무교,한국방송통신대학교,사회,0.77
34807,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,gmail.com,무교,성공회대학교,인문,3.71
39242,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,gmail.com,불교,삼육대학교,의학,0.6
3482,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,yahoo.com,기독교,국민대학교,자연,0.42
7212,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,yahoo.com,무교,그리스도대학교,법학,3.71
9111,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,gmail.com,무교,한국방송통신대학교,법학,0.86
12132,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,yahoo.com,무교,한양대학교,교육,0.92
12160,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,gmail.com,기독교,한영신학대학교,예체능,1.22
20234,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,naver.com,불교,국민대학교,공학,3.19
23116,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,gmail.com,무교,서강대학교,법학,3.58
23877,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1946****,*************,*************,yahoo.com,불교,경기대학교,자연,1.08
25900,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,naver.com,기독교,중앙대학교,자연,0.93
27027,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,yahoo.com,무교,가톨릭대학교,공학,0.76
28867,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,gmail.com,불교,한영신학대학교,사회,3.76
30687,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,naver.com,기독교,서울시립대학교,의학,0.3
35291,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,naver.com,무교,그리스도대학교,교육,1.47
7627,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,gmail.com,천주교,서울과학기술대학교,공학,3.98
14111,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,naver.com,무교,장로회신학대학교,교육,1.73
17631,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,gmail.com,무교,이화여자대학,사회,2.72
2198,홍**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,gmail.com,무교,서울여자대학교,인문,0.24
16803,홍**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1946****,*************,*************,naver.com,무교,광운대학교,인문,3.92
27096,홍**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,yahoo.com,기독교,한국외국어대학교,사회,4.28
5949,황**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1946****,*************,*************,naver.com,무교,건국대학교,교육,4.35
34991,황**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1946****,*************,*************,daum.net,무교,한국예술종합학교,인문,3.14
35733,황**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1946****,*************,*************,naver.com,불교,동국대학교,교육,4.29
137,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,daum.net,무교,이화여자대학,사회,0.66
1044,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1947****,*************,*************,naver.com,기독교,숙명여자대학교,인문,2.49
2306,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1947****,*************,*************,gmail.com,무교,광운대학교,사회,3.7
4779,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1947****,*************,*************,gmail.com,무교,경기대학교,법학,4.42
6891,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1947****,*************,*************,gmail.com,기독교,경기대학교,의학,2.74
8228,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,daum.net,천주교,서울기독대학교,사회,1.72
14352,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,gmail.com,무교,한성대학교,사회,2.04
16126,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,naver.com,불교,총신대학교,법학,1.51
24000,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1947****,*************,*************,gmail.com,무교,한성대학교,자연,3.69
33333,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1947****,*************,*************,gmail.com,무교,건국대학교,의학,1.92
39317,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,naver.com,무교,한성대학교,인문,1.69
25653,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",O형,1947****,*************,*************,gmail.com,무교,세종대학교,인문,3.17
29317,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1947****,*************,*************,daum.net,기독교,서울시립대학교,공학,0.22
30869,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1947****,*************,*************,daum.net,무교,동덕여자대학교,예체능,4.43
32834,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",AB형,1947****,*************,*************,naver.com,천주교,건국대학교,인문,3.18
38788,김**,남성,"[160.0, 170.0[","[50.0, 60.0[",O형,1947****,*************,*************,daum.net,무교,한국성서대학교,인문,3.65
3879,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,yahoo.com,무교,한성대학교,공학,2.04
29677,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,daum.net,천주교,육군사관학교,예체능,4.08
31151,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1947****,*************,*************,yahoo.com,무교,동덕여자대학교,교육,0.72
8402,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1947****,*************,*************,daum.net,기독교,한국체육대학교,예체능,2.36
13277,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1947****,*************,*************,yahoo.com,무교,한성대학교,자연,3.06
15854,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,naver.com,불교,서울기독대학교,공학,3.28
16804,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1947****,*************,*************,naver.com,무교,서경대학교,예체능,1.75
27453,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1947****,*************,*************,gmail.com,무교,광운대학교,예체능,0.93
35075,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1947****,*************,*************,yahoo.com,무교,한영신학대학교,법학,3.97
37463,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,naver.com,무교,장로회신학대학교,공학,3.04
37821,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,naver.com,무교,광운대학교,인문,2.32
18171,이**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1947****,*************,*************,gmail.com,무교,숙명여자대학교,공학,0.98
20796,이**,여성,"[160.0, 170.0[","[50.0, 60.0[",O형,1947****,*************,*************,naver.com,기독교,서울시립대학교,공학,0.29
34044,이**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1947****,*************,*************,naver.com,무교,추계예술대학교,인문,3.61
5550,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1947****,*************,*************,gmail.com,무교,감리교신학대학교,의학,1.77
18506,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1947****,*************,*************,naver.com,무교,덕성자대학교,예체능,4.43
19908,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1947****,*************,*************,yahoo.com,기독교,세종대학교,인문,3.41
20062,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,yahoo.com,천주교,삼육대학교,의학,3.05
33640,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1947****,*************,*************,yahoo.com,기독교,서울시립대학교,예체능,2.47
4543,강**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,naver.com,불교,총신대학교,사회,3.16
27666,강**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,naver.com,불교,숙명여자대학교,자연,3.33
36495,강**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,naver.com,기독교,KAIST,의학,4.49
1505,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,daum.net,기독교,서울시립대학교,법학,0.95
6816,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,naver.com,천주교,한국성서대학교,예체능,0.39
9530,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,gmail.com,무교,경희대학교,의학,2.24
10172,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1948****,*************,*************,gmail.com,무교,서울과학기술대학교,사회,0.26
17382,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,daum.net,기독교,숭실대학교,의학,4.04
17502,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,naver.com,불교,명지대학교,법학,0.02
18587,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,daum.net,무교,숭실대학교,의학,3.8
22610,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,yahoo.com,무교,한국예술종합학교,사회,3.3
23834,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,naver.com,기독교,경기대학교,인문,4.11
26539,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,naver.com,불교,한성대학교,예체능,1.88
26893,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,gmail.com,기독교,서경대학교,법학,2.42
30147,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,gmail.com,기독교,연세대학교,사회,2.33
31133,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,yahoo.com,기독교,중앙대학교,교육,1.29
38492,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,naver.com,무교,덕성자대학교,법학,0.49
39311,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1948****,*************,*************,gmail.com,무교,홍익대학교,사회,3.38
9056,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",AB형,1948****,*************,*************,yahoo.com,불교,장로회신학대학교,의학,0.83
15928,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1948****,*************,*************,gmail.com,무교,성공회대학교,예체능,1.07
20673,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1948****,*************,*************,daum.net,기독교,숭실대학교,사회,3.79
23729,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1948****,*************,*************,gmail.com,불교,서울대학교,공학,1.3
23789,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1948****,*************,*************,gmail.com,불교,한국방송통신대학교,자연,0.41
27639,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1948****,*************,*************,naver.com,무교,서울과학기술대학교,의학,2.77
31353,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1948****,*************,*************,yahoo.com,불교,그리스도대학교,예체능,1.05
33696,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1948****,*************,*************,daum.net,기독교,명지대학교,법학,2.35
36486,김**,여성,"[160.0, 170.0[","[50.0, 60.0[",O형,1948****,*************,*************,yahoo.com,무교,성공회대학교,교육,3.07
3351,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,daum.net,무교,고려대학교,공학,2.86
9074,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,daum.net,무교,서경대학교,예체능,3.13
23365,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,daum.net,불교,총신대학교,사회,4.15
30460,박**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,gmail.com,불교,명지대학교,자연,3.21
5476,박**,여성,"[160.0, 170.0[","[50.0, 60.0[",B형,1948****,*************,*************,gmail.com,무교,한영신학대학교,사회,0.62
6043,박**,여성,"[160.0, 170.0[","[50.0, 60.0[",O형,1948****,*************,*************,naver.com,무교,감리교신학대학교,예체능,2.58
30278,박**,남성,"[160.0, 170.0[","[50.0, 60.0[",AB형,1948****,*************,*************,daum.net,무교,고려대학교,사회,4.08
3778,이**,여성,"[140.0, 150.0[","[50.0, 60.0[",B형,1948****,*************,*************,naver.com,무교,서울여자대학교,법학,3.52
6213,이**,여성,"[140.0, 150.0[","[50.0, 60.0[",AB형,1948****,*************,*************,naver.com,불교,성균관대학교,자연,1.87
26665,이**,여성,"[140.0, 150.0[","[50.0, 60.0[",O형,1948****,*************,*************,naver.com,천주교,한국방송통신대학교,교육,4.37
285,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,gmail.com,불교,서울여자대학교,의학,4
6889,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,gmail.com,무교,광운대학교,인문,1.9
19842,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,yahoo.com,무교,그리스도대학교,인문,2.28
25816,이**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,gmail.com,기독교,장로회신학대학교,교육,3.71
5043,이**,여성,"[160.0, 170.0[","[50.0, 60.0[",AB형,1948****,*************,*************,naver.com,불교,숙명여자대학교,자연,0.59
19201,이**,여성,"[160.0, 170.0[","[50.0, 60.0[",A형,1948****,*************,*************,naver.com,무교,동국대학교,인문,1.04
27160,이**,남성,"[160.0, 170.0[","[50.0, 60.0[",A형,1948****,*************,*************,gmail.com,기독교,한국방송통신대학교,예체능,3.25
1260,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,naver.com,불교,중앙대학교,예체능,4.24
8962,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,daum.net,무교,한국체육대학교,법학,0.41
13122,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",AB형,1948****,*************,*************,yahoo.com,기독교,숙명여자대학교,공학,1.99
13177,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,yahoo.com,무교,고려대학교,인문,3.12
18405,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,naver.com,불교,한양대학교,의학,1.69
21497,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,gmail.com,무교,중앙대학교,인문,2.56
31580,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,gmail.com,천주교,서강대학교,자연,4.21
32461,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,gmail.com,불교,감리교신학대학교,자연,3.37
34559,정**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1948****,*************,*************,daum.net,천주교,총신대학교,법학,3.95
644,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,gmail.com,불교,성균관대학교,공학,1.7
801,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1948****,*************,*************,yahoo.com,기독교,성균관대학교,자연,4.14
25192,최**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1948****,*************,*************,naver.com,무교,서경대학교,사회,1.16
13600,김**,여성,"[140.0, 150.0[","[50.0, 60.0[",A형,1949****,*************,*************,naver.com,기독교,경희대학교,예체능,2.48
21237,김**,여성,"[140.0, 150.0[","[50.0, 60.0[",AB형,1949****,*************,*************,yahoo.com,무교,홍익대학교,법학,2.44
29475,김**,여성,"[140.0, 150.0[","[50.0, 60.0[",B형,1949****,*************,*************,gmail.com,천주교,서울교육대학교,사회,2.68
2847,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1949****,*************,*************,gmail.com,기독교,서울여자대학교,법학,0.92
6026,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1949****,*************,*************,naver.com,무교,KAIST,예체능,1.68
8214,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1949****,*************,*************,gmail.com,무교,국민대학교,공학,0.75
11839,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1949****,*************,*************,gmail.com,불교,동국대학교,예체능,1.52
13334,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1949****,*************,*************,gmail.com,불교,한국성서대학교,예체능,1.86
14609,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1949****,*************,*************,yahoo.com,불교,KAIST,사회,2.02
15783,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1949****,*************,*************,gmail.com,무교,세종대학교,법학,2.6
18432,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1949****,*************,*************,naver.com,불교,한국성서대학교,인문,2.21
20106,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1949****,*************,*************,daum.net,무교,한국방송통신대학교,의학,2.17
20110,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1949****,*************,*************,naver.com,무교,한성대학교,인문,2.85
30535,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1949****,*************,*************,gmail.com,무교,서울기독대학교,의학,4.48
33435,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",O형,1949****,*************,*************,daum.net,불교,국민대학교,법학,3.56
35021,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",A형,1949****,*************,*************,naver.com,기독교,동국대학교,인문,4.25
35582,김**,여성,"[150.0, 160.0[","[50.0, 60.0[",B형,1949****,*************,*************,daum.net,무교,경희대학교,교육,3.33
